OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.9537645788236571,https://ror.org/05kmcre68,US,Berea,Berea College,education
0.9239575661298893,https://ror.org/02d9tbb08,US,Dearborn,Henry Ford College,education
0.760390135997216,https://ror.org/051j7cj03,US,Minot,Minot State University,education
0.6993548570558901,https://ror.org/02nwxzm09,US,Lansing,Lansing Community College,education
0.6666666665943778,https://ror.org/02sshz518,US,Macomb,Western Illinois University,education
0.5000000153630942,https://ror.org/011vh9z64,US,Newark,Rutgers University–Newark,education
0.5000000153630942,https://ror.org/02qp2hh41,US,Minneapolis,Walden University,education
0.4526544447115346,https://ror.org/032tx7v10,US,Morristown,College of Saint Elizabeth,education
0.3773010245785149,https://ror.org/042nb2s44,US,Cambridge,Massachusetts Institute of Technology,education
0.23093244590828177,https://ror.org/03r24vd05,US,Pittsburgh,Robert Morris University,education
0.186217490904421,https://ror.org/042tdr378,US,Dallas,Southern Methodist University,education
0.1799821943816245,https://ror.org/05e94g991,US,Urbana,University of Illinois System,education
0.1724791573756018,https://ror.org/01an3r305,US,Pittsburgh,University of Pittsburgh,education
0.15746204442699502,https://ror.org/03grvy078,US,Minneapolis,University of Minnesota System,education
0.1358245411390774,https://ror.org/00hx57361,US,Princeton,Princeton University,education
0.11996551609654664,https://ror.org/05bnh6r87,US,Ithaca,Cornell University,education
0.11512336667856683,https://ror.org/042bbge36,US,Fort Lauderdale,Nova Southeastern University,education
0.09716997656711371,https://ror.org/03taz7m60,US,Los Angeles,University of Southern California,education
0.0831417650811121,https://ror.org/00f54p054,US,Stanford,Stanford University,education
0.0802954082088908,https://ror.org/025r5qe02,US,Syracuse,Syracuse University,education
0.06664645103602944,https://ror.org/00yn2fy02,US,Portland,Portland State University,education
0.05740083236068154,https://ror.org/01yc7t268,US,St Louis,Washington University in St. Louis,education
0.049696382559637604,https://ror.org/05maved80,US,Maryville,Northwest Missouri State University,education
0.019150300058625135,https://ror.org/05p8z3f47,US,West Lafayette,Purdue University System,education
0.00983655161143087,https://ror.org/00b30xv10,US,Philadelphia,University of Pennsylvania,education
0.00027696352552078154,https://ror.org/000e0be47,US,Evanston,Northwestern University,education
0.0,https://ror.org/0152qkr29,US,Little Rock,Arkansas State University System,education
