Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
6,https://ror.org/000e0be47 -> https://ror.org/000e0be47,https://ror.org/000e0be47,https://ror.org/000e0be47,US,US,Evanston,Evanston,Northwestern University,Northwestern University,education,education
1,https://ror.org/000e0be47 -> https://ror.org/00py81415,https://ror.org/000e0be47,https://ror.org/00py81415,US,US,Evanston,Durham,Northwestern University,Duke University,education,education
1,https://ror.org/000e0be47 -> https://ror.org/01gek1696,https://ror.org/000e0be47,https://ror.org/01gek1696,US,US,Evanston,Austin,Northwestern University,The University of Texas System,education,education
1,https://ror.org/000e0be47 -> https://ror.org/01r0c1p88,https://ror.org/000e0be47,https://ror.org/01r0c1p88,US,US,Evanston,Adelphi,Northwestern University,University System of Maryland,education,education
1,https://ror.org/000e0be47 -> https://ror.org/02fvaj957,https://ror.org/000e0be47,https://ror.org/02fvaj957,US,US,Evanston,Atlanta,Northwestern University,Spelman College,education,education
1,https://ror.org/000e0be47 -> https://ror.org/032va1j59,https://ror.org/000e0be47,https://ror.org/032va1j59,US,US,Evanston,Columbia,Northwestern University,University of Missouri System,education,education
1,https://ror.org/000e0be47 -> https://ror.org/037t3ry66,https://ror.org/000e0be47,https://ror.org/037t3ry66,US,US,Evanston,Chicago,Northwestern University,Illinois Institute of Technology,education,education
1,https://ror.org/000e0be47 -> https://ror.org/03czfpz43,https://ror.org/000e0be47,https://ror.org/03czfpz43,US,US,Evanston,Atlanta,Northwestern University,Emory University,education,education
2,https://ror.org/000e0be47 -> https://ror.org/03qbxj466,https://ror.org/000e0be47,https://ror.org/03qbxj466,US,US,Evanston,Dallas,Northwestern University,University of North Texas System,education,education
1,https://ror.org/000e0be47 -> https://ror.org/03taz7m60,https://ror.org/000e0be47,https://ror.org/03taz7m60,US,US,Evanston,Los Angeles,Northwestern University,University of Southern California,education,education
