OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.92754564936298,https://ror.org/010e8pt90,AE,Abu Dhabi,Abu Dhabi National Oil (United Arab Emirates),company
1.4041913925290117,https://ror.org/05hvw0333,AE,Dubai,Mohammed Bin Rashid School of Government,education
1.110124088952301,https://ror.org/0258gkt32,AE,Abu Dhabi,Mohamed bin Zayed University of Artificial Intelligence,education
1.0156479281615522,https://ror.org/00mc18523,AE,Dubai,British University in Dubai,education
0.9275188178672276,https://ror.org/05hffr360,AE,Abu Dhabi,Khalifa University of Science and Technology,education
0.919903321997132,https://ror.org/05wweqh04,AE,Abu Dhabi,Emirates College for Advanced Education,education
0.9146819463441894,https://ror.org/03e1ymy32,AE,Abu Dhabi,Sorbonne University Abu Dhabi,education
0.8942480008838564,https://ror.org/029zgsn59,AE,Dubai,Canadian University of Dubai,education
0.6314764565623593,https://ror.org/05g48k331,AE,Dubai,Hamdan Bin Mohammed Smart University,education
0.5418973300014159,https://ror.org/01km6p862,AE,Al Ain City,United Arab Emirates University,education
0.5078075314712265,https://ror.org/03zmfa837,AE,Dubai,Rochester Institute of Technology - Dubai,education
0.3651352308384158,https://ror.org/05h0z7c09,AE,Dubai,University of Dubai,education
0.1420312758913573,https://ror.org/058tx1a56,AE,Dubai,Heriot-Watt University Dubai,education
0.08228116194415165,https://ror.org/00fkbtp02,AE,Abu Dhabi,Alhosn University,education
0.06793805455251903,https://ror.org/00r6fph53,AE,Abu Dhabi,Liwa College,education
0.05058914622010659,https://ror.org/04s2w8b69,AE,Abu Dhabi,Al Khawarizmi International College,education
0.015675267105994855,https://ror.org/0540vvc38,AE,Dubai,American University in Dubai,education
0.0,https://ror.org/012w90b89,AE,Dubai,Emirates Academy of Hospitality Management,other
0.0,https://ror.org/013aq5m10,AE,Dubai,Dubai Pharmacy College,education
0.0,https://ror.org/02ehrn304,AE,Abu Dhabi,Zayed Military Hospital,healthcare
0.0,https://ror.org/04gck6g78,AE,Dubai,University of Modern Sciences,education
0.0,https://ror.org/056c6h780,AE,Dubai,American University in the Emirates,education
-1.605471804084467e-05,https://ror.org/001g2fj96,AE,Sharjah,American University of Sharjah,education
-0.06389416468590156,https://ror.org/03snqfa66,AE,Abu Dhabi,Zayed University,education
-0.07245808520332139,https://ror.org/001kv2y39,AE,Abu Dhabi,Technology Innovation Institute,facility
-0.08011958384927423,https://ror.org/00qmy9z88,AE,Abu Dhabi,Higher Colleges of Technology,education
-0.10577696349384534,https://ror.org/00engpz63,AE,Sharjah,University of Sharjah,education
-0.10680163391481692,https://ror.org/01r3kjq03,AE,Abu Dhabi,Abu Dhabi University,education
-0.17125032446959096,https://ror.org/02kaerj47,AE,Ajman City,Gulf Medical University,education
-0.3107244551103247,https://ror.org/01j1rma10,AE,Ajman,Ajman University,education
-0.45807941047483935,https://ror.org/00gk5fa11,AE,Abu Dhabi,Sheikh Shakhbout Medical City,healthcare
-0.45807941047483935,https://ror.org/023abrt21,AE,Al Ain City,Al Ain University of Science and Technology,education
-0.5450547677312061,https://ror.org/00zb4qh40,AE,Ajman City,City University College of Ajman,education
-0.6434812517144686,https://ror.org/0440yjn92,AE,Ras Al Khaimah City,American University of Ras Al Khaimah,education
-1.1057680755649737,https://ror.org/05y8x6h30,AE,Dubai,Al Ghurair University,education
-1.3106995824144523,https://ror.org/02qrax274,AE,Ras Al Khaimah City,Ras al-Khaimah Medical and Health Sciences University,education
