Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
38,https://ror.org/001g2fj96 -> https://ror.org/001g2fj96,https://ror.org/001g2fj96,https://ror.org/001g2fj96,AE,AE,Sharjah,Sharjah,American University of Sharjah,American University of Sharjah,education,education
4,https://ror.org/001g2fj96 -> https://ror.org/00engpz63,https://ror.org/001g2fj96,https://ror.org/00engpz63,AE,AE,Sharjah,Sharjah,American University of Sharjah,University of Sharjah,education,education
1,https://ror.org/001g2fj96 -> https://ror.org/01km6p862,https://ror.org/001g2fj96,https://ror.org/01km6p862,AE,AE,Sharjah,Al Ain City,American University of Sharjah,United Arab Emirates University,education,education
1,https://ror.org/001g2fj96 -> https://ror.org/0440yjn92,https://ror.org/001g2fj96,https://ror.org/0440yjn92,AE,AE,Sharjah,Ras Al Khaimah City,American University of Sharjah,American University of Ras Al Khaimah,education,education
2,https://ror.org/00engpz63 -> https://ror.org/001g2fj96,https://ror.org/00engpz63,https://ror.org/001g2fj96,AE,AE,Sharjah,Sharjah,University of Sharjah,American University of Sharjah,education,education
53,https://ror.org/00engpz63 -> https://ror.org/00engpz63,https://ror.org/00engpz63,https://ror.org/00engpz63,AE,AE,Sharjah,Sharjah,University of Sharjah,University of Sharjah,education,education
2,https://ror.org/00engpz63 -> https://ror.org/00qmy9z88,https://ror.org/00engpz63,https://ror.org/00qmy9z88,AE,AE,Sharjah,Abu Dhabi,University of Sharjah,Higher Colleges of Technology,education,education
1,https://ror.org/00engpz63 -> https://ror.org/00zb4qh40,https://ror.org/00engpz63,https://ror.org/00zb4qh40,AE,AE,Sharjah,Ajman City,University of Sharjah,City University College of Ajman,education,education
1,https://ror.org/00engpz63 -> https://ror.org/01j1rma10,https://ror.org/00engpz63,https://ror.org/01j1rma10,AE,AE,Sharjah,Ajman,University of Sharjah,Ajman University,education,education
1,https://ror.org/00engpz63 -> https://ror.org/05g48k331,https://ror.org/00engpz63,https://ror.org/05g48k331,AE,AE,Sharjah,Dubai,University of Sharjah,Hamdan Bin Mohammed Smart University,education,education
3,https://ror.org/00engpz63 -> https://ror.org/05y8x6h30,https://ror.org/00engpz63,https://ror.org/05y8x6h30,AE,AE,Sharjah,Dubai,University of Sharjah,Al Ghurair University,education,education
1,https://ror.org/00fkbtp02 -> https://ror.org/01j1rma10,https://ror.org/00fkbtp02,https://ror.org/01j1rma10,AE,AE,Abu Dhabi,Ajman,Alhosn University,Ajman University,education,education
2,https://ror.org/00mc18523 -> https://ror.org/00engpz63,https://ror.org/00mc18523,https://ror.org/00engpz63,AE,AE,Dubai,Sharjah,British University in Dubai,University of Sharjah,education,education
1,https://ror.org/00mc18523 -> https://ror.org/00fkbtp02,https://ror.org/00mc18523,https://ror.org/00fkbtp02,AE,AE,Dubai,Abu Dhabi,British University in Dubai,Alhosn University,education,education
1,https://ror.org/00mc18523 -> https://ror.org/00mc18523,https://ror.org/00mc18523,https://ror.org/00mc18523,AE,AE,Dubai,Dubai,British University in Dubai,British University in Dubai,education,education
1,https://ror.org/00mc18523 -> https://ror.org/00zb4qh40,https://ror.org/00mc18523,https://ror.org/00zb4qh40,AE,AE,Dubai,Ajman City,British University in Dubai,City University College of Ajman,education,education
1,https://ror.org/00mc18523 -> https://ror.org/01km6p862,https://ror.org/00mc18523,https://ror.org/01km6p862,AE,AE,Dubai,Al Ain City,British University in Dubai,United Arab Emirates University,education,education
1,https://ror.org/00mc18523 -> https://ror.org/01r3kjq03,https://ror.org/00mc18523,https://ror.org/01r3kjq03,AE,AE,Dubai,Abu Dhabi,British University in Dubai,Abu Dhabi University,education,education
2,https://ror.org/00mc18523 -> https://ror.org/03snqfa66,https://ror.org/00mc18523,https://ror.org/03snqfa66,AE,AE,Dubai,Abu Dhabi,British University in Dubai,Zayed University,education,education
1,https://ror.org/00mc18523 -> https://ror.org/03zmfa837,https://ror.org/00mc18523,https://ror.org/03zmfa837,AE,AE,Dubai,Dubai,British University in Dubai,Rochester Institute of Technology - Dubai,education,education
1,https://ror.org/00mc18523 -> https://ror.org/0540vvc38,https://ror.org/00mc18523,https://ror.org/0540vvc38,AE,AE,Dubai,Dubai,British University in Dubai,American University in Dubai,education,education
