Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/00jpzfk69 -> https://ror.org/02jkgrk30,https://ror.org/00jpzfk69,https://ror.org/02jkgrk30,AF,AF,Kabul,Charikar,Kabul Education University of Rabbani,Parwan University,education,education
1,https://ror.org/01yzgk702 -> https://ror.org/02ndvz068,https://ror.org/01yzgk702,https://ror.org/02ndvz068,AF,AF,Kabul,Kabul,Ministry of Public Health,Kabul Medical University,government,education
2,https://ror.org/02ht5pq60 -> https://ror.org/00jpzfk69,https://ror.org/02ht5pq60,https://ror.org/00jpzfk69,AF,AF,Kabul,Kabul,Kabul University,Kabul Education University of Rabbani,education,education
1,https://ror.org/02ht5pq60 -> https://ror.org/016jrh007,https://ror.org/02ht5pq60,https://ror.org/016jrh007,AF,AF,Kabul,Khōst,Kabul University,Khost University,education,education
6,https://ror.org/02ht5pq60 -> https://ror.org/02ht5pq60,https://ror.org/02ht5pq60,https://ror.org/02ht5pq60,AF,AF,Kabul,Kabul,Kabul University,Kabul University,education,education
1,https://ror.org/02ht5pq60 -> https://ror.org/050zs3956,https://ror.org/02ht5pq60,https://ror.org/050zs3956,AF,AF,Kabul,Herāt,Kabul University,Herat University,education,education
1,https://ror.org/02ht5pq60 -> https://ror.org/059zvbg42,https://ror.org/02ht5pq60,https://ror.org/059zvbg42,AF,AF,Kabul,Mazār-e Sharīf,Kabul University,Balkh University,education,education
1,https://ror.org/02ht5pq60 -> https://ror.org/05n47cs30,https://ror.org/02ht5pq60,https://ror.org/05n47cs30,AF,AF,Kabul,Jalālābād,Kabul University,Nangarhar University,education,education
1,https://ror.org/02ht5pq60 -> https://ror.org/05v7khz67,https://ror.org/02ht5pq60,https://ror.org/05v7khz67,AF,AF,Kabul,Kabul,Kabul University,Bakhtar University,education,education
1,https://ror.org/02ndvz068 -> https://ror.org/02ndvz068,https://ror.org/02ndvz068,https://ror.org/02ndvz068,AF,AF,Kabul,Kabul,Kabul Medical University,Kabul Medical University,education,education
2,https://ror.org/0451w9n55 -> https://ror.org/02ht5pq60,https://ror.org/0451w9n55,https://ror.org/02ht5pq60,AF,AF,Kabul,Kabul,Polytechnical University of Kabul,Kabul University,education,education
1,https://ror.org/0451w9n55 -> https://ror.org/03eczrc37,https://ror.org/0451w9n55,https://ror.org/03eczrc37,AF,AF,Kabul,Kabul,Polytechnical University of Kabul,Dawat University,education,education
2,https://ror.org/0451w9n55 -> https://ror.org/0451w9n55,https://ror.org/0451w9n55,https://ror.org/0451w9n55,AF,AF,Kabul,Kabul,Polytechnical University of Kabul,Polytechnical University of Kabul,education,education
1,https://ror.org/0451w9n55 -> https://ror.org/05n47cs30,https://ror.org/0451w9n55,https://ror.org/05n47cs30,AF,AF,Kabul,Jalālābād,Polytechnical University of Kabul,Nangarhar University,education,education
1,https://ror.org/04fe8b875 -> https://ror.org/04fe8b875,https://ror.org/04fe8b875,https://ror.org/04fe8b875,AF,AF,Kabul,Kabul,American University of Afghanistan,American University of Afghanistan,education,education
1,https://ror.org/04vts6h49 -> https://ror.org/04vts6h49,https://ror.org/04vts6h49,https://ror.org/04vts6h49,AF,AF,Kabul,Kabul,Kardan University,Kardan University,education,education
1,https://ror.org/050k1mp73 -> https://ror.org/050k1mp73,https://ror.org/050k1mp73,https://ror.org/050k1mp73,AF,AF,Jalalabad,Jalalabad,Khurasan University,Khurasan University,education,education
1,https://ror.org/050zs3956 -> https://ror.org/02ht5pq60,https://ror.org/050zs3956,https://ror.org/02ht5pq60,AF,AF,Herāt,Kabul,Herat University,Kabul University,education,education
6,https://ror.org/050zs3956 -> https://ror.org/050zs3956,https://ror.org/050zs3956,https://ror.org/050zs3956,AF,AF,Herāt,Herāt,Herat University,Herat University,education,education
1,https://ror.org/059zvbg42 -> https://ror.org/059zvbg42,https://ror.org/059zvbg42,https://ror.org/059zvbg42,AF,AF,Mazār-e Sharīf,Mazār-e Sharīf,Balkh University,Balkh University,education,education
1,https://ror.org/05n47cs30 -> https://ror.org/05n47cs30,https://ror.org/05n47cs30,https://ror.org/05n47cs30,AF,AF,Jalālābād,Jalālābād,Nangarhar University,Nangarhar University,education,education
1,https://ror.org/05v7khz67 -> https://ror.org/02ht5pq60,https://ror.org/05v7khz67,https://ror.org/02ht5pq60,AF,AF,Kabul,Kabul,Bakhtar University,Kabul University,education,education
