OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.9942140971616029,https://ror.org/03k793y62,AL,Tirana,Agricultural University of Tirana,education
0.8537137548553165,https://ror.org/05r7c5x85,AL,Tirana,European University of Tirana,education
0.7109232491939651,https://ror.org/03y2x8717,AL,Tirana,University of Medicine Tirana,education
0.6709419286067703,https://ror.org/02f8a6404,AL,Tirana,Albanian University,education
0.6595313740408394,https://ror.org/03g9v2404,AL,Tirana,University of Tirana,education
0.32974399573105284,https://ror.org/01d3tej48,AL,Tirana,University of New York Tirana,education
0.16198264916000424,https://ror.org/023p15505,AL,Durrës,Aleksandër Moisiu University,education
0.14177255652921933,https://ror.org/023y4pd41,AL,Tirana,Polis University,education
0.0,https://ror.org/030rcn265,AL,Tirana,University of Arts,education
-1.7173628092242275e-05,https://ror.org/007zp0p53,AL,Tirana,Canadian Institute of Technology,education
-0.0057936827841431416,https://ror.org/04xgcc957,AL,Tirana,Epoka University,education
-0.1463590830002298,https://ror.org/03d88a580,AL,Tirana,Marin Barleti University,education
-0.1463590830002298,https://ror.org/058p2fn24,AL,Tirana,Vitrina University,education
-0.21101958187444114,https://ror.org/05xknxa42,AL,Tirana,Bedër University,education
-0.24340166766126636,https://ror.org/05qwfk367,AL,Tirana,Luarasi University,education
-0.2679361675741873,https://ror.org/05aec4025,AL,Tirana,Polytechnic University of Tirana,education
-0.3347811140208214,https://ror.org/03c19jm06,AL,Elbasan,University of Elbasan,education
-0.3404833727861419,https://ror.org/03dy9v459,AL,Korçë,Fan Noli University,education
-0.3404833727861419,https://ror.org/05jsntm46,AL,Shkodër,"University of Shkodra ""Luigj Gurakuqi""",education
-0.34049552157032503,https://ror.org/04sdbjc29,AL,Korçë,Kristal University,education
-0.34049552157032503,https://ror.org/05dg6kp30,AL,Vlorë,University Pavaresia Vlore,education
-0.34049552157032503,https://ror.org/05ger6s34,AL,Vlorë,University of Vlorë,education
-0.6496338861969473,https://ror.org/05k2yek35,AL,Tirana,Universiteti Metropolitan Tirana,education
