Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
10,https://ror.org/002s77n28 -> https://ror.org/002s77n28,https://ror.org/002s77n28,https://ror.org/002s77n28,AM,AM,Yerevan,Yerevan,National University of Architecture and Construction of Armenia,National University of Architecture and Construction of Armenia,education,education
1,https://ror.org/002s77n28 -> https://ror.org/01e6gz331,https://ror.org/002s77n28,https://ror.org/01e6gz331,AM,AM,Yerevan,Yerevan,National University of Architecture and Construction of Armenia,Armenian State University of Economics,education,education
15,https://ror.org/007b9cn27 -> https://ror.org/007b9cn27,https://ror.org/007b9cn27,https://ror.org/007b9cn27,AM,AM,Yerevan,Yerevan,National Polytechnic University of Armenia,National Polytechnic University of Armenia,education,education
1,https://ror.org/00ad27c73 -> https://ror.org/0057rcj45,https://ror.org/00ad27c73,https://ror.org/0057rcj45,AM,AM,Yerevan,Yerevan,Alikhanyan National Laboratory,Institute for Theoretical Physics and Modeling,facility,facility
7,https://ror.org/00ad27c73 -> https://ror.org/00ad27c73,https://ror.org/00ad27c73,https://ror.org/00ad27c73,AM,AM,Yerevan,Yerevan,Alikhanyan National Laboratory,Alikhanyan National Laboratory,facility,facility
3,https://ror.org/00ad27c73 -> https://ror.org/00s8vne50,https://ror.org/00ad27c73,https://ror.org/00s8vne50,AM,AM,Yerevan,Yerevan,Alikhanyan National Laboratory,Yerevan State University,facility,education
1,https://ror.org/00ad27c73 -> https://ror.org/03zhk3020,https://ror.org/00ad27c73,https://ror.org/03zhk3020,AM,AM,Yerevan,Yerevan,Alikhanyan National Laboratory,Armenian State Pedagogical University after Khachatur Abovian,facility,education
2,https://ror.org/00s8vne50 -> https://ror.org/002s77n28,https://ror.org/00s8vne50,https://ror.org/002s77n28,AM,AM,Yerevan,Yerevan,Yerevan State University,National University of Architecture and Construction of Armenia,education,education
4,https://ror.org/00s8vne50 -> https://ror.org/007b9cn27,https://ror.org/00s8vne50,https://ror.org/007b9cn27,AM,AM,Yerevan,Yerevan,Yerevan State University,National Polytechnic University of Armenia,education,education
2,https://ror.org/00s8vne50 -> https://ror.org/00ad27c73,https://ror.org/00s8vne50,https://ror.org/00ad27c73,AM,AM,Yerevan,Yerevan,Yerevan State University,Alikhanyan National Laboratory,education,facility
1,https://ror.org/00s8vne50 -> https://ror.org/00fkm8n81,https://ror.org/00s8vne50,https://ror.org/00fkm8n81,AM,AM,Yerevan,Yerevan,Yerevan State University,European University of Armenia,education,education
361,https://ror.org/00s8vne50 -> https://ror.org/00s8vne50,https://ror.org/00s8vne50,https://ror.org/00s8vne50,AM,AM,Yerevan,Yerevan,Yerevan State University,Yerevan State University,education,education
6,https://ror.org/00s8vne50 -> https://ror.org/01e6gz331,https://ror.org/00s8vne50,https://ror.org/01e6gz331,AM,AM,Yerevan,Yerevan,Yerevan State University,Armenian State University of Economics,education,education
1,https://ror.org/00s8vne50 -> https://ror.org/01fh9nm31,https://ror.org/00s8vne50,https://ror.org/01fh9nm31,AM,AM,Yerevan,Yerevan,Yerevan State University,Center for Ecological Noosphere Studies,education,nonprofit
2,https://ror.org/00s8vne50 -> https://ror.org/01g7a7y43,https://ror.org/00s8vne50,https://ror.org/01g7a7y43,AM,AM,Yerevan,Yerevan,Yerevan State University,Noravank Foundation,education,nonprofit
1,https://ror.org/00s8vne50 -> https://ror.org/01qegt208,https://ror.org/00s8vne50,https://ror.org/01qegt208,AM,AM,Yerevan,Yerevan,Yerevan State University,Armenian Genocide Museum-Institute Foundation,education,nonprofit
4,https://ror.org/00s8vne50 -> https://ror.org/01s3m0650,https://ror.org/00s8vne50,https://ror.org/01s3m0650,AM,AM,Yerevan,Yerevan,Yerevan State University,Institute of Chemical Physics NAS RA,education,facility
3,https://ror.org/00s8vne50 -> https://ror.org/01v4e7289,https://ror.org/00s8vne50,https://ror.org/01v4e7289,AM,AM,Yerevan,Yerevan,Yerevan State University,Russian-Armenian University,education,education
2,https://ror.org/00s8vne50 -> https://ror.org/01vkzj587,https://ror.org/00s8vne50,https://ror.org/01vkzj587,AM,AM,Yerevan,Yerevan,Yerevan State University,Yerevan State Medical University,education,education
8,https://ror.org/00s8vne50 -> https://ror.org/03zhk3020,https://ror.org/00s8vne50,https://ror.org/03zhk3020,AM,AM,Yerevan,Yerevan,Yerevan State University,Armenian State Pedagogical University after Khachatur Abovian,education,education
6,https://ror.org/00s8vne50 -> https://ror.org/04dngzj56,https://ror.org/00s8vne50,https://ror.org/04dngzj56,AM,AM,Yerevan,Yerevan,Yerevan State University,American University of Armenia,education,education
11,https://ror.org/00s8vne50 -> https://ror.org/04mczx267,https://ror.org/00s8vne50,https://ror.org/04mczx267,AM,AM,Yerevan,Yerevan,Yerevan State University,National Academy of Sciences of Armenia,education,government
2,https://ror.org/00s8vne50 -> https://ror.org/05xvhyj32,https://ror.org/00s8vne50,https://ror.org/05xvhyj32,AM,AM,Yerevan,Yerevan,Yerevan State University,Armenian National Agrarian University,education,education
