Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
3,https://ror.org/0002pcv65 -> https://ror.org/0002pcv65,https://ror.org/0002pcv65,https://ror.org/0002pcv65,AR,AR,Córdoba,Córdoba,National University of Río Cuarto,National University of Río Cuarto,education,education
1,https://ror.org/0002pcv65 -> https://ror.org/01wgfva68,https://ror.org/0002pcv65,https://ror.org/01wgfva68,AR,AR,Córdoba,Concepción del Uruguay,National University of Río Cuarto,Universidad Nacional de Entre Ríos,education,education
1,https://ror.org/0002pcv65 -> https://ror.org/03cqe8w59,https://ror.org/0002pcv65,https://ror.org/03cqe8w59,AR,AR,Córdoba,Buenos Aires,National University of Río Cuarto,Consejo Nacional de Investigaciones Científicas y Técnicas,education,government
1,https://ror.org/000rhjc77 -> https://ror.org/000rhjc77,https://ror.org/000rhjc77,https://ror.org/000rhjc77,AR,AR,Buenos Aires,Buenos Aires,Universidad Centro de Altos Estudios en Ciencias Exactas,Universidad Centro de Altos Estudios en Ciencias Exactas,education,education
1,https://ror.org/000rhjc77 -> https://ror.org/00v29jp57,https://ror.org/000rhjc77,https://ror.org/00v29jp57,AR,AR,Buenos Aires,Buenos Aires,Universidad Centro de Altos Estudios en Ciencias Exactas,National University of General San Martín,education,education
1,https://ror.org/000rhjc77 -> https://ror.org/029efta16,https://ror.org/000rhjc77,https://ror.org/029efta16,AR,AR,Buenos Aires,Buenos Aires,Universidad Centro de Altos Estudios en Ciencias Exactas,Universidad del Salvador,education,education
257,https://ror.org/0081fs513 -> https://ror.org/0081fs513,https://ror.org/0081fs513,https://ror.org/0081fs513,AR,AR,Buenos Aires,Buenos Aires,University of Buenos Aires,University of Buenos Aires,education,education
2,https://ror.org/0081fs513 -> https://ror.org/00bq4rw46,https://ror.org/0081fs513,https://ror.org/00bq4rw46,AR,AR,Buenos Aires,Buenos Aires,University of Buenos Aires,Hospital Italiano de Buenos Aires,education,healthcare
2,https://ror.org/0081fs513 -> https://ror.org/00c8e6e47,https://ror.org/0081fs513,https://ror.org/00c8e6e47,AR,AR,Buenos Aires,Junín,University of Buenos Aires,National University of Northwestern Buenos Aires,education,education
5,https://ror.org/0081fs513 -> https://ror.org/00ccxmy30,https://ror.org/0081fs513,https://ror.org/00ccxmy30,AR,AR,Buenos Aires,Lanús,University of Buenos Aires,Universidad Nacional de Lanús,education,education
5,https://ror.org/0081fs513 -> https://ror.org/00ep21g81,https://ror.org/0081fs513,https://ror.org/00ep21g81,AR,AR,Buenos Aires,Florencio Varela,University of Buenos Aires,Universidad Nacional Arturo Jauretche,education,education
11,https://ror.org/0081fs513 -> https://ror.org/00g2qdz89,https://ror.org/0081fs513,https://ror.org/00g2qdz89,AR,AR,Buenos Aires,Buenos Aires,University of Buenos Aires,Universidad de la Ciudad de Buenos Aires,education,education
1,https://ror.org/0081fs513 -> https://ror.org/00hn65a26,https://ror.org/0081fs513,https://ror.org/00hn65a26,AR,AR,Buenos Aires,Buenos Aires,University of Buenos Aires,Central Bank of Argentina,education,other
1,https://ror.org/0081fs513 -> https://ror.org/00htwgm11,https://ror.org/0081fs513,https://ror.org/00htwgm11,AR,AR,Buenos Aires,Salta,University of Buenos Aires,National University of Salta,education,education
1,https://ror.org/0081fs513 -> https://ror.org/00mczdx43,https://ror.org/0081fs513,https://ror.org/00mczdx43,AR,AR,Buenos Aires,San Luis,University of Buenos Aires,National University of San Luis,education,education
4,https://ror.org/0081fs513 -> https://ror.org/00p094v10,https://ror.org/0081fs513,https://ror.org/00p094v10,AR,AR,Buenos Aires,Hurlingham,University of Buenos Aires,Universidad Nacional de Hurlingham,education,education
4,https://ror.org/0081fs513 -> https://ror.org/00pt8r998,https://ror.org/0081fs513,https://ror.org/00pt8r998,AR,AR,Buenos Aires,Santa Fe,University of Buenos Aires,National University of the Littoral,education,education
1,https://ror.org/0081fs513 -> https://ror.org/00r54sf44,https://ror.org/0081fs513,https://ror.org/00r54sf44,AR,AR,Buenos Aires,Morón,University of Buenos Aires,Universidad de Morón,education,education
3,https://ror.org/0081fs513 -> https://ror.org/00v29jp57,https://ror.org/0081fs513,https://ror.org/00v29jp57,AR,AR,Buenos Aires,Buenos Aires,University of Buenos Aires,National University of General San Martín,education,education
2,https://ror.org/0081fs513 -> https://ror.org/00vgfzn51,https://ror.org/0081fs513,https://ror.org/00vgfzn51,AR,AR,Buenos Aires,Buenos Aires,University of Buenos Aires,Universidad Argentina de la Empresa,education,education
4,https://ror.org/0081fs513 -> https://ror.org/011gakh74,https://ror.org/0081fs513,https://ror.org/011gakh74,AR,AR,Buenos Aires,Tandil,University of Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,education,education
2,https://ror.org/0081fs513 -> https://ror.org/014nx0w70,https://ror.org/0081fs513,https://ror.org/014nx0w70,AR,AR,Buenos Aires,Buenos Aires,University of Buenos Aires,Hospital Universitario Austral,education,healthcare
8,https://ror.org/0081fs513 -> https://ror.org/01bmj8t37,https://ror.org/0081fs513,https://ror.org/01bmj8t37,AR,AR,Buenos Aires,Buenos Aires,University of Buenos Aires,Universidad Nacional de La Matanza,education,education
1,https://ror.org/0081fs513 -> https://ror.org/01c0q4919,https://ror.org/0081fs513,https://ror.org/01c0q4919,AR,AR,Buenos Aires,Buenos Aires,University of Buenos Aires,Ministerio de Educación,education,government
1,https://ror.org/0081fs513 -> https://ror.org/01jxef645,https://ror.org/0081fs513,https://ror.org/01jxef645,AR,AR,Buenos Aires,Mar del Plata,University of Buenos Aires,Hospital Privado de Comunidad,education,healthcare
6,https://ror.org/0081fs513 -> https://ror.org/01k6h2m87,https://ror.org/0081fs513,https://ror.org/01k6h2m87,AR,AR,Buenos Aires,Buenos Aires,University of Buenos Aires,National University of General Sarmiento,education,education
1,https://ror.org/0081fs513 -> https://ror.org/01n006s45,https://ror.org/0081fs513,https://ror.org/01n006s45,AR,AR,Buenos Aires,Salta,University of Buenos Aires,Universidad Católica de Salta,education,education
14,https://ror.org/0081fs513 -> https://ror.org/01r53hz59,https://ror.org/0081fs513,https://ror.org/01r53hz59,AR,AR,Buenos Aires,Bernal,University of Buenos Aires,National University of Quilmes,education,education
2,https://ror.org/0081fs513 -> https://ror.org/01sewfq88,https://ror.org/0081fs513,https://ror.org/01sewfq88,AR,AR,Buenos Aires,Buenos Aires,University of Buenos Aires,Universidad Isalud,education,education
16,https://ror.org/0081fs513 -> https://ror.org/01tjs6929,https://ror.org/0081fs513,https://ror.org/01tjs6929,AR,AR,Buenos Aires,La Plata,University of Buenos Aires,Universidad Nacional de La Plata,education,education
3,https://ror.org/0081fs513 -> https://ror.org/01tkmq646,https://ror.org/0081fs513,https://ror.org/01tkmq646,AR,AR,Buenos Aires,Buenos Aires,University of Buenos Aires,Universidad Maimónides,education,education
