OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.9317457943059559,https://ror.org/05twjp994,AT,Vienna,Gregor Mendel Institute of Molecular Plant Biology,facility
0.9059433955182948,https://ror.org/016sds817,AT,Innsbruck,Tyrolean Cancer Research Institute,facility
0.7298170704341581,https://ror.org/02fhfw393,AT,Leoben,Montanuniversität Leoben,education
0.7009081410525482,https://ror.org/03prydq77,AT,Vienna,University of Vienna,education
0.6669426132684493,https://ror.org/00d7xrm67,AT,Graz,Graz University of Technology,education
0.47281641310912387,https://ror.org/05gs8cd61,AT,Salzburg,University of Salzburg,education
0.45926351760531914,https://ror.org/01faaaf77,AT,Graz,University of Graz,education
0.41779713313733613,https://ror.org/057ff4y42,AT,Vienna,"University of Natural Resources and Life Sciences, Vienna",education
0.3943642593726548,https://ror.org/03yn8s215,AT,Vienna,Vienna University of Economics and Business,education
0.3921629836698843,https://ror.org/02cms1514,AT,Graz,CAMPUS 02 University for Applied Sciences,education
0.37250903231002863,https://ror.org/04d836q62,AT,Vienna,TU Wien,education
0.3570185209222531,https://ror.org/054pv6659,AT,Innsbruck,Universität Innsbruck,education
0.33900535765266065,https://ror.org/02c5jsm26,AT,Vienna,Research Institute of Molecular Pathology,facility
0.33370533666611346,https://ror.org/01jwm2188,AT,Linz,University of Applied Sciences the health professions Upper Austria,education
0.23368956732253388,https://ror.org/0541v4g57,AT,Graz,University of Music and Performing Arts Graz,education
0.18251326128994408,https://ror.org/052r2xn60,AT,Linz,Johannes Kepler University of Linz,education
0.17911603878715862,https://ror.org/031wyx077,AT,Dornbirn,Vorarlberg University of Applied Sciences,education
0.1748421516777358,https://ror.org/02zx40v98,AT,Vienna,Central European University,education
0.15728480844835313,https://ror.org/05q9m0937,AT,Klagenfurt,University of Klagenfurt,education
0.14178291696533493,https://ror.org/04khwmr87,AT,Vienna,Vienna Biocenter,other
0.12986531765484555,https://ror.org/05yjy4360,AT,Vienna,University of Applied Arts Vienna,education
0.10641822721996441,https://ror.org/029djt864,AT,Vienna,Academy of Fine Arts Vienna,education
0.10123584505488195,https://ror.org/05cz70a34,AT,Vienna,Max Perutz Labs,facility
