Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
12,https://ror.org/000ymgt65 -> https://ror.org/000ymgt65,https://ror.org/000ymgt65,https://ror.org/000ymgt65,AT,AT,Vienna,Vienna,University of Music and Performing Arts Vienna,University of Music and Performing Arts Vienna,education,education
1,https://ror.org/000ymgt65 -> https://ror.org/03anc3s24,https://ror.org/000ymgt65,https://ror.org/03anc3s24,AT,AT,Vienna,Vienna,University of Music and Performing Arts Vienna,Austrian Academy of Sciences,education,government
2,https://ror.org/000ymgt65 -> https://ror.org/03prydq77,https://ror.org/000ymgt65,https://ror.org/03prydq77,AT,AT,Vienna,Vienna,University of Music and Performing Arts Vienna,University of Vienna,education,education
1,https://ror.org/000ymgt65 -> https://ror.org/0541v4g57,https://ror.org/000ymgt65,https://ror.org/0541v4g57,AT,AT,Vienna,Graz,University of Music and Performing Arts Vienna,University of Music and Performing Arts Graz,education,education
11,https://ror.org/003f4pg83 -> https://ror.org/003f4pg83,https://ror.org/003f4pg83,https://ror.org/003f4pg83,AT,AT,Vienna,Vienna,FH Campus Wien,FH Campus Wien,education,education
1,https://ror.org/003f4pg83 -> https://ror.org/00eaycp31,https://ror.org/003f4pg83,https://ror.org/00eaycp31,AT,AT,Vienna,Krems an der Donau,FH Campus Wien,IMC University of Applied Sciences Krems,education,education
1,https://ror.org/003f4pg83 -> https://ror.org/04jsx0x49,https://ror.org/003f4pg83,https://ror.org/04jsx0x49,AT,AT,Vienna,Vienna,FH Campus Wien,University of Applied Sciences Technikum Wien,education,education
1,https://ror.org/003f4pg83 -> https://ror.org/052r2xn60,https://ror.org/003f4pg83,https://ror.org/052r2xn60,AT,AT,Vienna,Linz,FH Campus Wien,Johannes Kepler University of Linz,education,education
2,https://ror.org/0072dxg89 -> https://ror.org/0072dxg89,https://ror.org/0072dxg89,https://ror.org/0072dxg89,AT,AT,Salzburg,Salzburg,Salzburg University of Applied Sciences,Salzburg University of Applied Sciences,education,education
1,https://ror.org/0072dxg89 -> https://ror.org/039a2re55,https://ror.org/0072dxg89,https://ror.org/039a2re55,AT,AT,Salzburg,St. Pölten,Salzburg University of Applied Sciences,St. Pölten University of Applied Sciences,education,education
1,https://ror.org/0072dxg89 -> https://ror.org/04r1x2k35,https://ror.org/0072dxg89,https://ror.org/04r1x2k35,AT,AT,Salzburg,Kufstein,Salzburg University of Applied Sciences,University of Applied Sciences Kufstein,education,education
