OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.816991427248993,https://ror.org/00f99yp81,AU,Malvern East,Royal Australasian College of Medical Administrators,education
1.816991427248993,https://ror.org/04c6fcr68,AU,Sydney,Canterbury Hospital,healthcare
1.768013812479961,https://ror.org/0240tjc76,AU,Adelaide,Royal Society of South Australia,other
1.7248617027455144,https://ror.org/01tj2ez11,AU,West Perth,Clough (Australia),company
1.6032422529644843,https://ror.org/02xhx4j26,AU,Hobart,Centre for Marine Socioecology,other
1.514770433738725,https://ror.org/05qendg40,AU,Brisbane,Queensland Theological College,education
1.4406672787349415,https://ror.org/0288wcg94,AU,Sydney,ARC Centre of Excellence for Climate System Science,facility
1.364312661535983,https://ror.org/044b7p696,AU,Sydney,ARC Centre of Excellence in Cognition and its Disorders,facility
1.2554050160209627,https://ror.org/047kx5j58,AU,Adelaide,Hanson Institute,facility
1.2123242852133786,https://ror.org/023p1v236,AU,Richmond,Australian Childhood Foundation,nonprofit
1.1923056435576964,https://ror.org/0568w4770,AU,Adelaide,Bible College of South Australia,education
1.1503031063001294,https://ror.org/03vb6df93,AU,Penrith,Nepean Hospital,healthcare
1.1249380505519007,https://ror.org/02e3vax31,AU,Sydney,Sydney Missionary and Bible College,education
1.0618354174217022,https://ror.org/02fjxcw19,AU,Parramatta,New South Wales Institute of Psychiatry,education
1.0076539318316664,https://ror.org/00p6her27,AU,Sydney,Sydney College of Divinity,education
0.9884830014505673,https://ror.org/03w6p2n94,AU,Bendigo,Bendigo Health,healthcare
0.9479195409343506,https://ror.org/01atz5j40,AU,Sydney,Australian College of Theology,education
0.8604246346914264,https://ror.org/019wvm592,AU,Canberra,Australian National University,education
0.8319096922680029,https://ror.org/00rnbty21,AU,Sydney,Centre for Quantum Computation and Communication Technology,facility
0.8246958698935588,https://ror.org/02gdmq314,AU,Melbourne,Ridley College,education
0.818449150072824,https://ror.org/00892tw58,AU,Adelaide,University of Adelaide,education
0.8168959354865598,https://ror.org/0384j8v12,AU,Sydney,University of Sydney,education
0.7801390403802145,https://ror.org/01sf06y89,AU,Sydney,Macquarie University,education
0.7717315539785823,https://ror.org/008b3br98,AU,Woodville,Basil Hetzel Institute,facility
0.7435158783861413,https://ror.org/047272k79,AU,Perth,University of Western Australia,education
0.7380896428947171,https://ror.org/03jsnw290,AU,Canberra,Australian College of Nursing,education
0.7315341915205806,https://ror.org/01ej9dk98,AU,Melbourne,University of Melbourne,education
0.731460830585297,https://ror.org/0020x6414,AU,Newcastle,Hunter Medical Research Institute,facility
0.7247921397963373,https://ror.org/00rqy9422,AU,Brisbane,University of Queensland,education
0.7242408616023687,https://ror.org/05sm9st23,AU,Sydney,Chartered Accountants Australia and New Zealand,other
0.7167256458191115,https://ror.org/02bfwt286,AU,Melbourne,Monash University,education
0.6874323296021999,https://ror.org/00jtmb277,AU,Wollongong,University of Wollongong,education
0.6765833295694047,https://ror.org/007ht4b44,AU,Sydney,Financial Services Institute of Australasia,nonprofit
0.6691885229298951,https://ror.org/04gsp2c11,AU,Townsville,James Cook University,education
