Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
36,https://ror.org/000y2g343 -> https://ror.org/000y2g343,https://ror.org/000y2g343,https://ror.org/000y2g343,AZ,AZ,Baku,Baku,Azerbaijan State University of Economics,Azerbaijan State University of Economics,education,education
1,https://ror.org/000y2g343 -> https://ror.org/00g1psz15,https://ror.org/000y2g343,https://ror.org/00g1psz15,AZ,AZ,Baku,Baku,Azerbaijan State University of Economics,Azerbaijan University,education,education
1,https://ror.org/000y2g343 -> https://ror.org/00hvga705,https://ror.org/000y2g343,https://ror.org/00hvga705,AZ,AZ,Baku,Baku,Azerbaijan State University of Economics,Baku Higher Oil School,education,education
2,https://ror.org/000y2g343 -> https://ror.org/014te7048,https://ror.org/000y2g343,https://ror.org/014te7048,AZ,AZ,Baku,Baku,Azerbaijan State University of Economics,Khazar University,education,education
2,https://ror.org/000y2g343 -> https://ror.org/01qe1a488,https://ror.org/000y2g343,https://ror.org/01qe1a488,AZ,AZ,Baku,Baku,Azerbaijan State University of Economics,Azerbaijan Technical University,education,education
1,https://ror.org/000y2g343 -> https://ror.org/026gk3798,https://ror.org/000y2g343,https://ror.org/026gk3798,AZ,AZ,Baku,Baku,Azerbaijan State University of Economics,Baku Slavic University,education,education
1,https://ror.org/000y2g343 -> https://ror.org/02wne9d91,https://ror.org/000y2g343,https://ror.org/02wne9d91,AZ,AZ,Baku,Nakhchivan,Azerbaijan State University of Economics,Nakhchivan State University,education,education
3,https://ror.org/000y2g343 -> https://ror.org/050dyg448,https://ror.org/000y2g343,https://ror.org/050dyg448,AZ,AZ,Baku,Baku,Azerbaijan State University of Economics,Azerbaijan University of Languages,education,education
1,https://ror.org/000y2g343 -> https://ror.org/0538j0209,https://ror.org/000y2g343,https://ror.org/0538j0209,AZ,AZ,Baku,Baku,Azerbaijan State University of Economics,Qafqaz University,education,education
1,https://ror.org/000y2g343 -> https://ror.org/053ez2v94,https://ror.org/000y2g343,https://ror.org/053ez2v94,AZ,AZ,Baku,Baku,Azerbaijan State University of Economics,ADA University,education,education
