OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.0582156648569399,https://ror.org/01z4e5797,BA,Travnik,University of Travnik,education
1.0582156648569399,https://ror.org/03hw0dp08,BA,Travnik,International University of Travnik,education
1.0000586328126957,https://ror.org/018f17m70,BA,Travnik,Univerzitet Vitez,education
0.907027688547863,https://ror.org/0282m7c06,BA,Banja Luka,University of Banja Luka,education
0.8605183153910853,https://ror.org/022mv6k27,BA,Lukavica,University of East Sarajevo,education
0.50000007485622,https://ror.org/05wcbg446,BA,Mostar,University Clinical Hospital Mostar,healthcare
0.17447897944884064,https://ror.org/036gzhj81,BA,Tuzla,University of Tuzla,education
0.174476845602636,https://ror.org/0474ygz28,BA,Tuzla,University Clinical Center Tuzla,healthcare
0.0582043807802118,https://ror.org/02hhwgd43,BA,Sarajevo,University of Sarajevo,education
5.298240708880597e-05,https://ror.org/00ey4b732,BA,Mostar,Dzemal Bijedic University of Mostar,education
0.0,https://ror.org/05cv9ex33,BA,Bijeljina,University Sinergija,education
-0.37202992401022333,https://ror.org/040cm8d21,BA,Sarajevo,International Burch University,education
-0.50000007485622,https://ror.org/00v89p354,BA,Mostar,University of Mostar,education
-0.6278413545797469,https://ror.org/01aa4jj71,BA,Sarajevo,International University of Sarajevo,education
-0.8255219123047091,https://ror.org/01aadv713,BA,Mostar,Herzegovina University,education
-0.9417616432740518,https://ror.org/02s9jxg24,BA,Zenica,University of Zenica,education
-0.94178883085481,https://ror.org/019bz1656,BA,Sarajevo,Clinical Center University of Sarajevo,healthcare
-1.0464518239423963,https://ror.org/00xx8vr92,BA,Sarajevo,Sarajevo School of Science and Technology,education
-1.941732067890407,https://ror.org/03y601s20,BA,Bihać,University of Bihać,education
