Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/00ey4b732 -> https://ror.org/00ey4b732,https://ror.org/00ey4b732,https://ror.org/00ey4b732,BA,BA,Mostar,Mostar,Dzemal Bijedic University of Mostar,Dzemal Bijedic University of Mostar,education,education
2,https://ror.org/00ey4b732 -> https://ror.org/02hhwgd43,https://ror.org/00ey4b732,https://ror.org/02hhwgd43,BA,BA,Mostar,Sarajevo,Dzemal Bijedic University of Mostar,University of Sarajevo,education,education
10,https://ror.org/00v89p354 -> https://ror.org/00v89p354,https://ror.org/00v89p354,https://ror.org/00v89p354,BA,BA,Mostar,Mostar,University of Mostar,University of Mostar,education,education
1,https://ror.org/018f17m70 -> https://ror.org/00ey4b732,https://ror.org/018f17m70,https://ror.org/00ey4b732,BA,BA,Travnik,Mostar,Univerzitet Vitez,Dzemal Bijedic University of Mostar,education,education
1,https://ror.org/018f17m70 -> https://ror.org/018f17m70,https://ror.org/018f17m70,https://ror.org/018f17m70,BA,BA,Travnik,Travnik,Univerzitet Vitez,Univerzitet Vitez,education,education
23,https://ror.org/01aa4jj71 -> https://ror.org/01aa4jj71,https://ror.org/01aa4jj71,https://ror.org/01aa4jj71,BA,BA,Sarajevo,Sarajevo,International University of Sarajevo,International University of Sarajevo,education,education
1,https://ror.org/01aa4jj71 -> https://ror.org/02hhwgd43,https://ror.org/01aa4jj71,https://ror.org/02hhwgd43,BA,BA,Sarajevo,Sarajevo,International University of Sarajevo,University of Sarajevo,education,education
1,https://ror.org/01z4e5797 -> https://ror.org/02hhwgd43,https://ror.org/01z4e5797,https://ror.org/02hhwgd43,BA,BA,Travnik,Sarajevo,University of Travnik,University of Sarajevo,education,education
1,https://ror.org/022mv6k27 -> https://ror.org/00ey4b732,https://ror.org/022mv6k27,https://ror.org/00ey4b732,BA,BA,Lukavica,Mostar,University of East Sarajevo,Dzemal Bijedic University of Mostar,education,education
6,https://ror.org/022mv6k27 -> https://ror.org/022mv6k27,https://ror.org/022mv6k27,https://ror.org/022mv6k27,BA,BA,Lukavica,Lukavica,University of East Sarajevo,University of East Sarajevo,education,education
1,https://ror.org/022mv6k27 -> https://ror.org/0282m7c06,https://ror.org/022mv6k27,https://ror.org/0282m7c06,BA,BA,Lukavica,Banja Luka,University of East Sarajevo,University of Banja Luka,education,education
1,https://ror.org/022mv6k27 -> https://ror.org/040cm8d21,https://ror.org/022mv6k27,https://ror.org/040cm8d21,BA,BA,Lukavica,Sarajevo,University of East Sarajevo,International Burch University,education,education
1,https://ror.org/0282m7c06 -> https://ror.org/00ey4b732,https://ror.org/0282m7c06,https://ror.org/00ey4b732,BA,BA,Banja Luka,Mostar,University of Banja Luka,Dzemal Bijedic University of Mostar,education,education
1,https://ror.org/0282m7c06 -> https://ror.org/022mv6k27,https://ror.org/0282m7c06,https://ror.org/022mv6k27,BA,BA,Banja Luka,Lukavica,University of Banja Luka,University of East Sarajevo,education,education
10,https://ror.org/0282m7c06 -> https://ror.org/0282m7c06,https://ror.org/0282m7c06,https://ror.org/0282m7c06,BA,BA,Banja Luka,Banja Luka,University of Banja Luka,University of Banja Luka,education,education
