OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.082512620020703,https://ror.org/00b718e82,BD,Dhaka,Shanto-Mariam University of Creative Technology,education
0.8074738470384609,https://ror.org/01zmzpt10,BD,Dhaka,Bangladesh Rice Research Institute,government
0.8017685830834316,https://ror.org/05ahxa252,BD,Dhaka,ASA University Bangladesh,education
0.7409471273822877,https://ror.org/05s3ca234,BD,Dhaka,Bangladesh Open University,education
0.7182866098390658,https://ror.org/05y4r9290,BD,Sylhet,Sylhet International University,education
0.5635968359885796,https://ror.org/02m2dej40,BD,Dhaka,University of South Asia,education
0.4438358577265966,https://ror.org/042mrsz23,BD,Dhaka,Bangabandhu Sheikh Mujib Medical University,education
0.4004602403427697,https://ror.org/018bg7z10,BD,Dhaka,Bangladesh Institute of Bank Management,facility
0.39997655554010775,https://ror.org/05wdbfp45,BD,Dhaka,North South University,education
0.3717381830083015,https://ror.org/00sge8677,BD,Dhaka,BRAC University,education
0.36770734104261665,https://ror.org/05nsh7a69,BD,Dhaka,Dhaka International University,education
0.3517370965600925,https://ror.org/05a1qpv97,BD,Dhaka,Bangladesh University of Engineering and Technology,education
0.3083359595123625,https://ror.org/01tqv1p28,BD,Dhaka,United International University,education
0.28690864618218886,https://ror.org/05qbbf772,BD,Dhaka,Independent University,education
0.15885498893273872,https://ror.org/04ywb0864,BD,Dhaka,Jahangirnagar University,education
0.13964314010723083,https://ror.org/03k5zb271,BD,Mymensingh,Bangladesh Agricultural University,education
0.1076032684489718,https://ror.org/04tgrx733,BD,Dhaka,Bangabandhu Sheikh Mujibur Rahman Agricultural University,education
0.10333847039178602,https://ror.org/01zphyp78,BD,Dhaka,Bangladesh University of Professionals,education
0.08243856249858068,https://ror.org/05wv2vq37,BD,Dhaka,University of Dhaka,education
0.08235650452488454,https://ror.org/01g14tq52,BD,Dhaka,State University of Bangladesh,education
0.07138148458698282,https://ror.org/04j1w0q97,BD,Kushtia,Islamic University,education
0.00027024700757759235,https://ror.org/000kb2a90,BD,Mymensingh,Mymensingh Medical College Hospital,healthcare
0.0,https://ror.org/01vg6n598,BD,Dhaka,Darul Ihsan University,education
0.0,https://ror.org/03v05gb64,BD,Dhaka,Centre for the Rehabilitation of the Paralysed,facility
-0.020281221245779614,https://ror.org/02j8ga255,BD,Dhaka,American International University-Bangladesh,education
-0.03032321250793684,https://ror.org/045v4z873,BD,Chittagong,Chittagong Veterinary and Animal Sciences University,education
-0.03202743207982615,https://ror.org/031evmb56,BD,Dhaka,Bangladesh University of Textiles,education
-0.05873179663759048,https://ror.org/04dtzbe22,BD,Dhaka,Shaheed Suhrawardy Medical College,education
-0.06403506717563683,https://ror.org/03eb1ae70,BD,Sylhet,Leading University,education
-0.0699793238619721,https://ror.org/01y8zn427,BD,Chittagong,Chittagong Medical College,healthcare
-0.10477656682371171,https://ror.org/03qxvyy35,BD,Dhaka,Dhaka University of Engineering & Technology,education
-0.11763253478907701,https://ror.org/052qsay17,BD,Chittagong,Chittagong University of Engineering & Technology,education
-0.17443528527137658,https://ror.org/057gnqw22,BD,Dhaka,Islamic University of Technology,education
-0.1886253611543197,https://ror.org/04y58d606,BD,Khulna,Khulna University of Engineering and Technology,education
-0.192597049460242,https://ror.org/05nnyr510,BD,Rajshahi,University of Rajshahi,education
-0.2817372989928801,https://ror.org/04hdrrs71,BD,Sylhet,Metropolitan University,education
-0.3124557775723225,https://ror.org/03dk4hf38,BD,Dhaka,University of Asia Pacific,education
-0.31735860991646075,https://ror.org/01jc1xp35,BD,Dhaka,Northern University Bangladesh,education
-0.3313471802299515,https://ror.org/00gvj4587,BD,Dhaka,Mawlana Bhashani Science and Technology University,education
-0.33208183553758563,https://ror.org/01vxg3438,BD,Pābna,Pabna University of Science and Technology,education
-0.3326668976371063,https://ror.org/05p0tzt32,BD,Dhaka,East West University,education
-0.3587720016341359,https://ror.org/02c4z7527,BD,Dhaka,Jagannath University,education
-0.36187475822817755,https://ror.org/05297fh87,BD,Dhaka,Primeasia University,education
-0.3645300922560742,https://ror.org/012br3z79,BD,Dhaka,University of Liberal Arts Bangladesh,education
-0.36515449636511466,https://ror.org/03ht0cf17,BD,Dhaka,Sher-e-Bangla Agricultural University,education
-0.3887742204664195,https://ror.org/022j25y55,BD,Chittagong,East Delta University,education
-0.4283263477663595,https://ror.org/01wajxa36,BD,Dhaka,Bangladesh University of Health Sciences,education
-0.43646920169776554,https://ror.org/00sxnz850,BD,Dhaka,University of Development Alternative,education
-0.45750812451525075,https://ror.org/000n1k313,BD,Sylhet,Sylhet Agricultural University,education
-0.4687251753734189,https://ror.org/001yxxw51,BD,Sylhet,Sylhet MAG Osmani Medical College,education
-0.46986419385490474,https://ror.org/04j1jjs80,BD,Dhaka,University of Information Technology and Sciences,education
-0.4966562774763544,https://ror.org/00w9tx359,BD,Chittagong,University of Science and Technology Chittagong,education
-0.5035500446346911,https://ror.org/01173vs27,BD,Chittagong,University of Chittagong,education
-0.5339817402647214,https://ror.org/05w5r2e40,BD,Dhaka,Atish Dipankar University of Science and Technology,education
-0.5550391055230359,https://ror.org/03fnc0m43,BD,Dhaka,"Kidney Foundation Hospital and Research Institute, Bangladesh",healthcare
-0.5550391055230359,https://ror.org/047mvza98,BD,Dhaka,Bangladesh Institute of Research and Rehabilitation for Diabetes Endocrine and Metabolic Disorders,healthcare
-0.5550391055230359,https://ror.org/0581as286,BD,Dhaka,Square Hospitals,healthcare
-0.599968868494936,https://ror.org/03vzjn737,BD,Dhaka,Presidency University,education
-0.6235899736258352,https://ror.org/05bg0c903,BD,Chittagong,Southern University,education
-0.6247355778352975,https://ror.org/035zypg15,BD,Dhaka,Uttara University,education
-0.6313068908097538,https://ror.org/049ysg747,BD,Rājshāhi,Rajshahi University of Engineering and Technology,education
-0.6323232081850327,https://ror.org/045p37n96,BD,Dhaka,National University Bangladesh,education
-0.6361894190160065,https://ror.org/00194tb08,BD,Dhaka,People's University of Bangladesh,education
-0.6482210248713057,https://ror.org/01bw5rm87,BD,Dhaka,Bangladesh Atomic Energy Commission,government
-0.6482337992333052,https://ror.org/01t7cnb95,BD,Dhaka,Institute of Water Modelling,nonprofit
-0.6634662743094878,https://ror.org/052t4a858,BD,Dhaka,Daffodil International University,education
-0.6707239306356022,https://ror.org/05hm0vv72,BD,Sylhet,Shahjalal University of Science and Technology,education
-0.703139450562637,https://ror.org/00kvxt616,BD,Rangpur,Hajee Mohammad Danesh Science & Technology University,education
-0.7038630588103296,https://ror.org/0150ewf57,BD,Dhaka,Dhaka Medical College and Hospital,education
-0.7050681579157636,https://ror.org/01wp52t96,BD,Chittagong,Asian University for Women,education
-0.7366617109150472,https://ror.org/050g6df85,BD,Dhaka,National Institute of Cancer Research and Hospital,healthcare
-0.7528348999918532,https://ror.org/04wfbp123,BD,Dhaka,Ahsanullah University of Science and Technology,education
-0.7556914313495696,https://ror.org/03zta4r50,BD,Dhaka,Bangladesh University,education
-0.7587505356628216,https://ror.org/02k4h0b10,BD,Rājshāhi,Rajshahi Medical College,education
-0.7596563132343606,https://ror.org/05pny7s12,BD,Khulna,Khulna University,education
-0.7658999203508423,https://ror.org/0400am365,BD,Dhaka,Bangladesh University of Business and Technology,education
-0.7678197224387803,https://ror.org/0441jdk54,BD,Dhaka,Stamford University Bangladesh,education
-0.7720036379751746,https://ror.org/02bnddg69,BD,Comilla,Comilla University,education
-0.8025956082620335,https://ror.org/00eda4j42,BD,Chittagong,International Islamic University Chittagong,education
-0.8036480466537094,https://ror.org/03m50n726,BD,Patuakhali,Patuakhali Science and Technology University,education
-0.8100269055295232,https://ror.org/04fm9y474,BD,Sylhet,North East University,education
-0.8293627207878056,https://ror.org/01de7ab51,BD,Dhaka,Gono University,education
-0.8411017049393156,https://ror.org/04a3gjw65,BD,Dhaka,Ministry of Education,government
-0.8411017049393156,https://ror.org/05gmmwe91,BD,Comilla,Britannia University,education
-0.8603181840836459,https://ror.org/01n09m616,BD,Dhaka,Bangladesh Agricultural Research Institute,facility
-0.864094302479144,https://ror.org/009kcw598,BD,Dhaka,Jatiya Kabi Kazi Nazrul Islam University,education
