Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/000kb2a90 -> https://ror.org/0150ewf57,https://ror.org/000kb2a90,https://ror.org/0150ewf57,BD,BD,Mymensingh,Dhaka,Mymensingh Medical College Hospital,Dhaka Medical College and Hospital,healthcare,education
6,https://ror.org/000kb2a90 -> https://ror.org/04vsvr128,https://ror.org/000kb2a90,https://ror.org/04vsvr128,BD,BD,Mymensingh,Dhaka,Mymensingh Medical College Hospital,International Centre for Diarrhoeal Disease Research,healthcare,facility
1,https://ror.org/000kb2a90 -> https://ror.org/052qsay17,https://ror.org/000kb2a90,https://ror.org/052qsay17,BD,BD,Mymensingh,Chittagong,Mymensingh Medical College Hospital,Chittagong University of Engineering & Technology,healthcare,education
55,https://ror.org/000n1k313 -> https://ror.org/000n1k313,https://ror.org/000n1k313,https://ror.org/000n1k313,BD,BD,Sylhet,Sylhet,Sylhet Agricultural University,Sylhet Agricultural University,education,education
3,https://ror.org/000n1k313 -> https://ror.org/03ht0cf17,https://ror.org/000n1k313,https://ror.org/03ht0cf17,BD,BD,Sylhet,Dhaka,Sylhet Agricultural University,Sher-e-Bangla Agricultural University,education,education
1,https://ror.org/000n1k313 -> https://ror.org/03k5zb271,https://ror.org/000n1k313,https://ror.org/03k5zb271,BD,BD,Sylhet,Mymensingh,Sylhet Agricultural University,Bangladesh Agricultural University,education,education
3,https://ror.org/000n1k313 -> https://ror.org/04vsvr128,https://ror.org/000n1k313,https://ror.org/04vsvr128,BD,BD,Sylhet,Dhaka,Sylhet Agricultural University,International Centre for Diarrhoeal Disease Research,education,facility
1,https://ror.org/00194tb08 -> https://ror.org/045p37n96,https://ror.org/00194tb08,https://ror.org/045p37n96,BD,BD,Dhaka,Dhaka,People's University of Bangladesh,National University Bangladesh,education,education
1,https://ror.org/001yxxw51 -> https://ror.org/037rveh76,https://ror.org/001yxxw51,https://ror.org/037rveh76,BD,BD,Sylhet,Dhaka,Sylhet MAG Osmani Medical College,Bangladesh College of Physicians and Surgeons,education,education
1,https://ror.org/001yxxw51 -> https://ror.org/04vsvr128,https://ror.org/001yxxw51,https://ror.org/04vsvr128,BD,BD,Sylhet,Dhaka,Sylhet MAG Osmani Medical College,International Centre for Diarrhoeal Disease Research,education,facility
8,https://ror.org/009kcw598 -> https://ror.org/009kcw598,https://ror.org/009kcw598,https://ror.org/009kcw598,BD,BD,Dhaka,Dhaka,Jatiya Kabi Kazi Nazrul Islam University,Jatiya Kabi Kazi Nazrul Islam University,education,education
1,https://ror.org/00b718e82 -> https://ror.org/00b718e82,https://ror.org/00b718e82,https://ror.org/00b718e82,BD,BD,Dhaka,Dhaka,Shanto-Mariam University of Creative Technology,Shanto-Mariam University of Creative Technology,education,education
1,https://ror.org/00b718e82 -> https://ror.org/05wv2vq37,https://ror.org/00b718e82,https://ror.org/05wv2vq37,BD,BD,Dhaka,Dhaka,Shanto-Mariam University of Creative Technology,University of Dhaka,education,education
1,https://ror.org/00cf0ab87 -> https://ror.org/04f7afq11,https://ror.org/00cf0ab87,https://ror.org/04f7afq11,BD,BD,Dhaka,Dhaka,Southeast University,Green University of Bangladesh,education,education
11,https://ror.org/00eda4j42 -> https://ror.org/00eda4j42,https://ror.org/00eda4j42,https://ror.org/00eda4j42,BD,BD,Chittagong,Chittagong,International Islamic University Chittagong,International Islamic University Chittagong,education,education
1,https://ror.org/00eda4j42 -> https://ror.org/03mkzcg89,https://ror.org/00eda4j42,https://ror.org/03mkzcg89,BD,BD,Chittagong,Dhaka,International Islamic University Chittagong,Hamdard University Bangladesh,education,education
1,https://ror.org/00eda4j42 -> https://ror.org/04j1jjs80,https://ror.org/00eda4j42,https://ror.org/04j1jjs80,BD,BD,Chittagong,Dhaka,International Islamic University Chittagong,University of Information Technology and Sciences,education,education
