OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.0003861823181248,https://ror.org/03e84cm85,BE,Brussels,VIB-VUB Center for Structural Biology,facility
0.9857395465186568,https://ror.org/01r4bn552,BE,Sint-Genesius-Rode,Von Karman Institute for Fluid Dynamics,nonprofit
0.5685070933189831,https://ror.org/02xyaf767,BE,Diepenbeek,Transnational University Limburg,education
0.5404405341982509,https://ror.org/01hr7tp17,BE,Namur,Institut Supérieur de Musique et de Pédagogie,education
0.4138368348256129,https://ror.org/0079jgp14,BE,Brugge,College of Europe,education
0.11153819812771187,https://ror.org/00afp2z80,BE,Liège,University of Liège,education
0.09112341592322702,https://ror.org/04hbttm44,BE,Gent,VIB-UGent Center for Medical Biotechnology,facility
0.09100924255089994,https://ror.org/00cv9y106,BE,Ghent,Ghent University,education
0.07513562566455921,https://ror.org/05f950310,BE,Leuven,KU Leuven,education
0.0003466800355246693,https://ror.org/006e5kg04,BE,Brussels,Vrije Universiteit Brussel,education
0.0,https://ror.org/053e9nw85,BE,Leuven,Evangelical Theological Faculty,education
-0.014375667570164417,https://ror.org/01r9htc13,BE,Brussels,Université Libre de Bruxelles,education
-0.03961138347210981,https://ror.org/04qxsrb28,BE,Brussels,Flemish Government,government
-0.19105820196162632,https://ror.org/008x57b05,BE,Antwerpen,University of Antwerp,education
-0.22092325229690854,https://ror.org/022em3k58,BE,Brussels,de Duve Institute,facility
-0.25282983262443676,https://ror.org/05cjt1n05,BE,Merelbeke,Instituut voor Landbouw en Visserijonderzoek,facility
-0.36633626840937905,https://ror.org/02495e989,BE,Louvain-la-Neuve,UCLouvain,education
-0.3895830632884867,https://ror.org/0424bsv16,BE,Leuven,Universitair Ziekenhuis Leuven,healthcare
-0.4600697854176457,https://ror.org/03d1maw17,BE,Namur,University of Namur,education
-0.5023322008020334,https://ror.org/03xrhmk39,BE,Ghent,Vlaams Instituut voor Biotechnologie,facility
-0.5283255760548415,https://ror.org/03q83t159,BE,Brussels,Fund for Scientific Research,nonprofit
-0.5472192060707354,https://ror.org/03w5j8p12,BE,Leuven,Rega Institute for Medical Research,facility
-0.5489622670276407,https://ror.org/02qnnz951,BE,Mons,University of Mons,education
-0.5510981765389301,https://ror.org/056t38c37,BE,Gent,Vlerick Business School,education
-0.6248132581038409,https://ror.org/0153sam53,BE,Brussels,Veterinary and Agrochemical Research Centre,facility
-0.6548045566125741,https://ror.org/00xmkp704,BE,Gent,Ghent University Hospital,healthcare
-0.6721556160488671,https://ror.org/04nbhqj75,BE,Hasselt,Hasselt University,education
-0.6799905964092353,https://ror.org/00hjks330,BE,Brussels,Royal Observatory of Belgium,facility
-0.7081098783677212,https://ror.org/045c7t348,BE,Leuven,VIB-KU Leuven Center for Brain & Disease Research,facility
-0.7184796308491282,https://ror.org/016n74679,BE,Gembloux,Walloon Agricultural Research Centre,facility
-0.7388849486056079,https://ror.org/01qnqmc89,BE,Gent,VIB-UGent Center for Plant Systems Biology,facility
-0.7920433553301229,https://ror.org/03xq4x896,BE,Antwerp,Instituut voor Tropische Geneeskunde,nonprofit
-0.8161806824708807,https://ror.org/03qtxy027,BE,Brussels,Research Foundation - Flanders,government
-0.8881135117675757,https://ror.org/005cv6b38,BE,Herve,Celabor,facility
-0.8881135117675757,https://ror.org/044s61914,BE,Liège,Centre Hospitalier Universitaire de Liège,healthcare
-0.8881135117675757,https://ror.org/0472xg466,BE,Gembloux,StratiCELL (Belgium),company
-0.8881135117675757,https://ror.org/04sv11p30,BE,Namur,Haute École de la Province de Namur,education
-0.8881135117675757,https://ror.org/052x1x555,BE,Liège,Haute École Libre Mosane,education
-0.8883407158126658,https://ror.org/03kmar131,BE,Liège,Haute École de la Province de Liège,education
-0.8959885467294313,https://ror.org/00rs45z86,BE,Ghent,University College Ghent,education
-0.8976647311399699,https://ror.org/02bpp8r91,BE,Leuven,VIB-KU Leuven Center for Microbiology,facility
-0.8986613526236927,https://ror.org/020xs5r81,BE,Mol,Belgian Nuclear Research Centre,facility
-0.90877339310297,https://ror.org/00yhmjd28,BE,Kortrijk,Research Institute for Chromatography,facility
-0.90877339310297,https://ror.org/01fapfv42,BE,Brussels,Belgian Federal Science Policy Office,government
-0.90877339310297,https://ror.org/03jmahf97,BE,Brussels,Research Institute of Organic Agriculture,nonprofit
-0.90877339310297,https://ror.org/03rhhdt14,BE,Antwerp,Flanders Hydraulics,facility
-0.90877339310297,https://ror.org/04r9e1a13,BE,Zelzate,OnderzoeksCentrum voor de Aanwending van Staal,facility
-0.90877339310297,https://ror.org/05bm1gr16,BE,Gent,VIB - International Plant Biotechnology Outreach,nonprofit
-0.9088765839526837,https://ror.org/00j54wy13,BE,Geraardsbergen,Research Institute for Nature and Forest,facility
-0.9088765839526837,https://ror.org/030h1vb90,BE,Brugge,AZ Sint-Jan,healthcare
-0.9137306889599323,https://ror.org/02rnb8t27,BE,Kortrijk,Katholieke Hogeschool Vives,education
-0.9154729267512532,https://ror.org/04gq0w522,BE,Mol,Flemish Institute for Technological Research,facility
-0.9198651354544901,https://ror.org/02kcbn207,BE,Leuven,IMEC,nonprofit
-0.9200799375067482,https://ror.org/02c89h825,BE,Brussels,University College Odisee,education
-0.9246530203174145,https://ror.org/00pp54p18,BE,Leuven,Transport & Mobility Leuven (Belgium),company
-0.9246530203174145,https://ror.org/00tc93763,BE,Leuven,Materialise (Belgium),company
-0.9246530203174145,https://ror.org/00zqa9n78,BE,Mechelen,Rode Kruis-Vlaanderen,healthcare
-0.9246530203174145,https://ror.org/023es3c27,BE,Leuven,Anheuser-Busch InBev (Belgium),company
-0.9246530203174145,https://ror.org/02c191v59,BE,Gent,Orpheus Institute,education
-0.9246530203174145,https://ror.org/045kh6832,BE,Charleroi,Ogeda (Belgium),company
-0.9247502501003027,https://ror.org/00eyng893,BE,Leuven,VIB-KU Leuven Center for Cancer Biology,facility
-0.9247502501003027,https://ror.org/00qkhxq50,BE,Hasselt,Jessa Hospital,healthcare
-0.935308345501162,https://ror.org/0496vr396,BE,Ostend,Flanders Marine Institute,nonprofit
-0.9391596157902381,https://ror.org/03qsbr555,BE,Hasselt,Hogeschool PXL,education
-0.9394675887094771,https://ror.org/00fy5v859,BE,Kortrijk,University College West Flanders,education
-0.9493325148865877,https://ror.org/034wxcc35,BE,Brussels,European Organisation for Research and Treatment of Cancer,nonprofit
-0.9510937717840212,https://ror.org/04ffw0491,BE,Gent,Artevelde University College Ghent,education
-0.9515589466530898,https://ror.org/05s030550,BE,Gent,Ablynx (Belgium),company
-0.9526525920361882,https://ror.org/02gkfsf47,BE,Brussels,LUCA School of Arts,education
-0.9526594214107355,https://ror.org/01767d733,BE,Brussels,Erasmus University College Brussels,education
-0.979449945389386,https://ror.org/02depad46,BE,Brussels,Belgian Health Care Knowledge Centre,healthcare
-0.981805436603473,https://ror.org/00tjjak64,BE,Brussels,Centexbel,nonprofit
-0.9845040684575935,https://ror.org/038f7y939,BE,Brussels,Universitair Ziekenhuis Brussel,healthcare
-0.9865355546542767,https://ror.org/019w4f821,BE,Brussels,European Union,government
-0.9993119537655958,https://ror.org/04fg7az81,BE,Genk,Ziekenhuis Oost-Limburg,healthcare
-0.9993119537655958,https://ror.org/04q2cc503,BE,Brussels,Network of the Universities from the Capitals of Europe,education
-0.9993119537655958,https://ror.org/05cmp5q80,BE,Brussels,Centre Hospitalier Universitaire de Saint-Pierre,healthcare
-0.9993119537655958,https://ror.org/05jkk6v05,BE,Brussels,European Brain Council,nonprofit
-1.009457480882846,https://ror.org/02vmnye06,BE,Brussels,Royal Military Academy,education
-1.013958589565067,https://ror.org/00cm6et23,BE,Brussels,Higher Education Institution Lucia de Brouckère,education
-1.013958589565067,https://ror.org/019axjh19,BE,Brussels,ECAM Institut Supérieur Industriel,education
-1.013958589565067,https://ror.org/027jqwm11,BE,Brussels,Haute École Francisco Ferrer,education
-1.013958589565067,https://ror.org/02k7e9603,BE,Brussels,Haute École Libre de Bruxelles Ilya Prigogine,education
-1.013958589565067,https://ror.org/02n64v793,BE,Brussels,Infor Jeunes Bruxelles,nonprofit
-1.013958589565067,https://ror.org/04ws26165,BE,Brussels,Institut Scientifique de Santé Publique,facility
-1.0142545286521158,https://ror.org/05e8s8534,BE,Brussels,Institut Jules Bordet,healthcare
-1.0249432975484307,https://ror.org/04ejags36,BE,Brussels,Sciensano (Belgium),company
-1.0249462262240043,https://ror.org/00ed5y156,BE,Antwerpen,Royal Zoological Society of Antwerp,other
-1.027611150087218,https://ror.org/04q4ydz28,BE,Gent,VIB-UGent Center for Inflammation Research,facility
-1.0431792829352964,https://ror.org/02ndjfz59,BE,Lommel,Flanders Make (Belgium),company
-1.0578470709614862,https://ror.org/041x7eh14,BE,Antwerpen,VIB-UAntwerp Center for Molecular Neurology,facility
-1.057903488184222,https://ror.org/00h1gfz86,BE,Brasschaat,AZ Klina,healthcare
-1.0744624907105278,https://ror.org/03vfw8w96,BE,Brussels,Royal Belgian Institute for Space Aeronomy,facility
-1.0755977440355005,https://ror.org/04e7kpf57,BE,Geel,Thomas More Kempen,education
-1.079270150140151,https://ror.org/04e4j5d46,BE,Mechelen,Galapagos (Belgium),company
-1.1006396379816392,https://ror.org/03zq0dg86,BE,Leuven,University Colleges Leuven-Limburg,education
-1.1016713603500803,https://ror.org/01gcdtm70,BE,Liège,Institut Scientifique de Service Public,nonprofit
-1.1276136649045667,https://ror.org/0075f1c08,BE,Antwerp,Artesis Plantijn Hogeschool Antwerpen,education
-1.129948955600502,https://ror.org/058qm9p63,BE,Brussels,Royal Meteorological Institute of Belgium,facility
-1.172046189349098,https://ror.org/05acs9g96,BE,Antwerpen,Karel de Grote University College,education
-1.1834404414548556,https://ror.org/01hwamj44,BE,Antwerp,Antwerp University Hospital,healthcare
-1.190851684441133,https://ror.org/00kss4e25,BE,Antwerpen,GZA Ziekenhuizen Campus Sint-Augustinus,healthcare
-1.190851684441133,https://ror.org/015bz4634,BE,Mortsel,Agfa-Gevaert (Belgium),company
