Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
332,https://ror.org/006e5kg04 -> https://ror.org/006e5kg04,https://ror.org/006e5kg04,https://ror.org/006e5kg04,BE,BE,Brussels,Brussels,Vrije Universiteit Brussel,Vrije Universiteit Brussel,education,education
1,https://ror.org/006e5kg04 -> https://ror.org/0075f1c08,https://ror.org/006e5kg04,https://ror.org/0075f1c08,BE,BE,Brussels,Antwerp,Vrije Universiteit Brussel,Artesis Plantijn Hogeschool Antwerpen,education,education
19,https://ror.org/006e5kg04 -> https://ror.org/008x57b05,https://ror.org/006e5kg04,https://ror.org/008x57b05,BE,BE,Brussels,Antwerpen,Vrije Universiteit Brussel,University of Antwerp,education,education
3,https://ror.org/006e5kg04 -> https://ror.org/00afp2z80,https://ror.org/006e5kg04,https://ror.org/00afp2z80,BE,BE,Brussels,Liège,Vrije Universiteit Brussel,University of Liège,education,education
32,https://ror.org/006e5kg04 -> https://ror.org/00cv9y106,https://ror.org/006e5kg04,https://ror.org/00cv9y106,BE,BE,Brussels,Ghent,Vrije Universiteit Brussel,Ghent University,education,education
3,https://ror.org/006e5kg04 -> https://ror.org/00fy5v859,https://ror.org/006e5kg04,https://ror.org/00fy5v859,BE,BE,Brussels,Kortrijk,Vrije Universiteit Brussel,University College West Flanders,education,education
3,https://ror.org/006e5kg04 -> https://ror.org/00rs45z86,https://ror.org/006e5kg04,https://ror.org/00rs45z86,BE,BE,Brussels,Ghent,Vrije Universiteit Brussel,University College Ghent,education,education
3,https://ror.org/006e5kg04 -> https://ror.org/01767d733,https://ror.org/006e5kg04,https://ror.org/01767d733,BE,BE,Brussels,Brussels,Vrije Universiteit Brussel,Erasmus University College Brussels,education,education
11,https://ror.org/006e5kg04 -> https://ror.org/01r9htc13,https://ror.org/006e5kg04,https://ror.org/01r9htc13,BE,BE,Brussels,Brussels,Vrije Universiteit Brussel,Université Libre de Bruxelles,education,education
2,https://ror.org/006e5kg04 -> https://ror.org/020xs5r81,https://ror.org/006e5kg04,https://ror.org/020xs5r81,BE,BE,Brussels,Mol,Vrije Universiteit Brussel,Belgian Nuclear Research Centre,education,facility
2,https://ror.org/006e5kg04 -> https://ror.org/02495e989,https://ror.org/006e5kg04,https://ror.org/02495e989,BE,BE,Brussels,Louvain-la-Neuve,Vrije Universiteit Brussel,UCLouvain,education,education
1,https://ror.org/006e5kg04 -> https://ror.org/02kcbn207,https://ror.org/006e5kg04,https://ror.org/02kcbn207,BE,BE,Brussels,Leuven,Vrije Universiteit Brussel,IMEC,education,nonprofit
2,https://ror.org/006e5kg04 -> https://ror.org/02ndjfz59,https://ror.org/006e5kg04,https://ror.org/02ndjfz59,BE,BE,Brussels,Lommel,Vrije Universiteit Brussel,Flanders Make (Belgium),education,company
1,https://ror.org/006e5kg04 -> https://ror.org/02qnnz951,https://ror.org/006e5kg04,https://ror.org/02qnnz951,BE,BE,Brussels,Mons,Vrije Universiteit Brussel,University of Mons,education,education
1,https://ror.org/006e5kg04 -> https://ror.org/02vmnye06,https://ror.org/006e5kg04,https://ror.org/02vmnye06,BE,BE,Brussels,Brussels,Vrije Universiteit Brussel,Royal Military Academy,education,education
5,https://ror.org/006e5kg04 -> https://ror.org/038f7y939,https://ror.org/006e5kg04,https://ror.org/038f7y939,BE,BE,Brussels,Brussels,Vrije Universiteit Brussel,Universitair Ziekenhuis Brussel,education,healthcare
3,https://ror.org/006e5kg04 -> https://ror.org/03qsbr555,https://ror.org/006e5kg04,https://ror.org/03qsbr555,BE,BE,Brussels,Hasselt,Vrije Universiteit Brussel,Hogeschool PXL,education,education
16,https://ror.org/006e5kg04 -> https://ror.org/03qtxy027,https://ror.org/006e5kg04,https://ror.org/03qtxy027,BE,BE,Brussels,Brussels,Vrije Universiteit Brussel,Research Foundation - Flanders,education,government
1,https://ror.org/006e5kg04 -> https://ror.org/03vfw8w96,https://ror.org/006e5kg04,https://ror.org/03vfw8w96,BE,BE,Brussels,Brussels,Vrije Universiteit Brussel,Royal Belgian Institute for Space Aeronomy,education,facility
6,https://ror.org/006e5kg04 -> https://ror.org/03xrhmk39,https://ror.org/006e5kg04,https://ror.org/03xrhmk39,BE,BE,Brussels,Ghent,Vrije Universiteit Brussel,Vlaams Instituut voor Biotechnologie,education,facility
1,https://ror.org/006e5kg04 -> https://ror.org/0424bsv16,https://ror.org/006e5kg04,https://ror.org/0424bsv16,BE,BE,Brussels,Leuven,Vrije Universiteit Brussel,Universitair Ziekenhuis Leuven,education,healthcare
1,https://ror.org/006e5kg04 -> https://ror.org/04e4j5d46,https://ror.org/006e5kg04,https://ror.org/04e4j5d46,BE,BE,Brussels,Mechelen,Vrije Universiteit Brussel,Galapagos (Belgium),education,company
1,https://ror.org/006e5kg04 -> https://ror.org/04ffw0491,https://ror.org/006e5kg04,https://ror.org/04ffw0491,BE,BE,Brussels,Gent,Vrije Universiteit Brussel,Artevelde University College Ghent,education,education
1,https://ror.org/006e5kg04 -> https://ror.org/04fg7az81,https://ror.org/006e5kg04,https://ror.org/04fg7az81,BE,BE,Brussels,Genk,Vrije Universiteit Brussel,Ziekenhuis Oost-Limburg,education,healthcare
1,https://ror.org/006e5kg04 -> https://ror.org/04gq0w522,https://ror.org/006e5kg04,https://ror.org/04gq0w522,BE,BE,Brussels,Mol,Vrije Universiteit Brussel,Flemish Institute for Technological Research,education,facility
3,https://ror.org/006e5kg04 -> https://ror.org/04nbhqj75,https://ror.org/006e5kg04,https://ror.org/04nbhqj75,BE,BE,Brussels,Hasselt,Vrije Universiteit Brussel,Hasselt University,education,education
1,https://ror.org/006e5kg04 -> https://ror.org/04q2cc503,https://ror.org/006e5kg04,https://ror.org/04q2cc503,BE,BE,Brussels,Brussels,Vrije Universiteit Brussel,Network of the Universities from the Capitals of Europe,education,education
1,https://ror.org/006e5kg04 -> https://ror.org/05cmp5q80,https://ror.org/006e5kg04,https://ror.org/05cmp5q80,BE,BE,Brussels,Brussels,Vrije Universiteit Brussel,Centre Hospitalier Universitaire de Saint-Pierre,education,healthcare
26,https://ror.org/006e5kg04 -> https://ror.org/05f950310,https://ror.org/006e5kg04,https://ror.org/05f950310,BE,BE,Brussels,Leuven,Vrije Universiteit Brussel,KU Leuven,education,education
1,https://ror.org/006e5kg04 -> https://ror.org/05jkk6v05,https://ror.org/006e5kg04,https://ror.org/05jkk6v05,BE,BE,Brussels,Brussels,Vrije Universiteit Brussel,European Brain Council,education,nonprofit
2,https://ror.org/006e5kg04 -> https://ror.org/05s030550,https://ror.org/006e5kg04,https://ror.org/05s030550,BE,BE,Brussels,Gent,Vrije Universiteit Brussel,Ablynx (Belgium),education,company
1,https://ror.org/0075f1c08 -> https://ror.org/0075f1c08,https://ror.org/0075f1c08,https://ror.org/0075f1c08,BE,BE,Antwerp,Antwerp,Artesis Plantijn Hogeschool Antwerpen,Artesis Plantijn Hogeschool Antwerpen,education,education
1,https://ror.org/0079jgp14 -> https://ror.org/00cv9y106,https://ror.org/0079jgp14,https://ror.org/00cv9y106,BE,BE,Brugge,Ghent,College of Europe,Ghent University,education,education
1,https://ror.org/0079jgp14 -> https://ror.org/05f950310,https://ror.org/0079jgp14,https://ror.org/05f950310,BE,BE,Brugge,Leuven,College of Europe,KU Leuven,education,education
11,https://ror.org/008x57b05 -> https://ror.org/006e5kg04,https://ror.org/008x57b05,https://ror.org/006e5kg04,BE,BE,Antwerpen,Brussels,University of Antwerp,Vrije Universiteit Brussel,education,education
4,https://ror.org/008x57b05 -> https://ror.org/0075f1c08,https://ror.org/008x57b05,https://ror.org/0075f1c08,BE,BE,Antwerpen,Antwerp,University of Antwerp,Artesis Plantijn Hogeschool Antwerpen,education,education
570,https://ror.org/008x57b05 -> https://ror.org/008x57b05,https://ror.org/008x57b05,https://ror.org/008x57b05,BE,BE,Antwerpen,Antwerpen,University of Antwerp,University of Antwerp,education,education
30,https://ror.org/008x57b05 -> https://ror.org/00cv9y106,https://ror.org/008x57b05,https://ror.org/00cv9y106,BE,BE,Antwerpen,Ghent,University of Antwerp,Ghent University,education,education
2,https://ror.org/008x57b05 -> https://ror.org/00ed5y156,https://ror.org/008x57b05,https://ror.org/00ed5y156,BE,BE,Antwerpen,Antwerpen,University of Antwerp,Royal Zoological Society of Antwerp,education,other
2,https://ror.org/008x57b05 -> https://ror.org/00h1gfz86,https://ror.org/008x57b05,https://ror.org/00h1gfz86,BE,BE,Antwerpen,Brasschaat,University of Antwerp,AZ Klina,education,healthcare
1,https://ror.org/008x57b05 -> https://ror.org/00kss4e25,https://ror.org/008x57b05,https://ror.org/00kss4e25,BE,BE,Antwerpen,Antwerpen,University of Antwerp,GZA Ziekenhuizen Campus Sint-Augustinus,education,healthcare
1,https://ror.org/008x57b05 -> https://ror.org/00rs45z86,https://ror.org/008x57b05,https://ror.org/00rs45z86,BE,BE,Antwerpen,Ghent,University of Antwerp,University College Ghent,education,education
1,https://ror.org/008x57b05 -> https://ror.org/015bz4634,https://ror.org/008x57b05,https://ror.org/015bz4634,BE,BE,Antwerpen,Mortsel,University of Antwerp,Agfa-Gevaert (Belgium),education,company
2,https://ror.org/008x57b05 -> https://ror.org/019w4f821,https://ror.org/008x57b05,https://ror.org/019w4f821,BE,BE,Antwerpen,Brussels,University of Antwerp,European Union,education,government
9,https://ror.org/008x57b05 -> https://ror.org/01hwamj44,https://ror.org/008x57b05,https://ror.org/01hwamj44,BE,BE,Antwerpen,Antwerp,University of Antwerp,Antwerp University Hospital,education,healthcare
5,https://ror.org/008x57b05 -> https://ror.org/01r9htc13,https://ror.org/008x57b05,https://ror.org/01r9htc13,BE,BE,Antwerpen,Brussels,University of Antwerp,Université Libre de Bruxelles,education,education
2,https://ror.org/008x57b05 -> https://ror.org/020xs5r81,https://ror.org/008x57b05,https://ror.org/020xs5r81,BE,BE,Antwerpen,Mol,University of Antwerp,Belgian Nuclear Research Centre,education,facility
2,https://ror.org/008x57b05 -> https://ror.org/02495e989,https://ror.org/008x57b05,https://ror.org/02495e989,BE,BE,Antwerpen,Louvain-la-Neuve,University of Antwerp,UCLouvain,education,education
1,https://ror.org/008x57b05 -> https://ror.org/0289e7d92,https://ror.org/008x57b05,https://ror.org/0289e7d92,BE,BE,Antwerpen,Brussels,University of Antwerp,Belgian Road Research Centre,education,nonprofit
1,https://ror.org/008x57b05 -> https://ror.org/02depad46,https://ror.org/008x57b05,https://ror.org/02depad46,BE,BE,Antwerpen,Brussels,University of Antwerp,Belgian Health Care Knowledge Centre,education,healthcare
1,https://ror.org/008x57b05 -> https://ror.org/02gkfsf47,https://ror.org/008x57b05,https://ror.org/02gkfsf47,BE,BE,Antwerpen,Brussels,University of Antwerp,LUCA School of Arts,education,education
5,https://ror.org/008x57b05 -> https://ror.org/02kcbn207,https://ror.org/008x57b05,https://ror.org/02kcbn207,BE,BE,Antwerpen,Leuven,University of Antwerp,IMEC,education,nonprofit
4,https://ror.org/008x57b05 -> https://ror.org/02ndjfz59,https://ror.org/008x57b05,https://ror.org/02ndjfz59,BE,BE,Antwerpen,Lommel,University of Antwerp,Flanders Make (Belgium),education,company
