Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
4,https://ror.org/008t11f85 -> https://ror.org/008t11f85,https://ror.org/008t11f85,https://ror.org/008t11f85,BF,BF,Ouagadougou,Ouagadougou,Université Ouaga II,Université Ouaga II,education,education
2,https://ror.org/008t11f85 -> https://ror.org/02hrqje66,https://ror.org/008t11f85,https://ror.org/02hrqje66,BF,BF,Ouagadougou,Koudougou,Université Ouaga II,University of Koudougou,education,education
2,https://ror.org/00t5e2y66 -> https://ror.org/008t11f85,https://ror.org/00t5e2y66,https://ror.org/008t11f85,BF,BF,Ouagadougou,Ouagadougou,Université Joseph Ki-Zerbo,Université Ouaga II,education,education
20,https://ror.org/00t5e2y66 -> https://ror.org/00t5e2y66,https://ror.org/00t5e2y66,https://ror.org/00t5e2y66,BF,BF,Ouagadougou,Ouagadougou,Université Joseph Ki-Zerbo,Université Joseph Ki-Zerbo,education,education
1,https://ror.org/00t5e2y66 -> https://ror.org/0138r3j35,https://ror.org/00t5e2y66,https://ror.org/0138r3j35,BF,BF,Ouagadougou,Ouagadougou,Université Joseph Ki-Zerbo,International Institute for Water and Environmental Engineering,education,education
3,https://ror.org/00t5e2y66 -> https://ror.org/01tytrg27,https://ror.org/00t5e2y66,https://ror.org/01tytrg27,BF,BF,Ouagadougou,Ouagadougou,Université Joseph Ki-Zerbo,Centre National de la Recherche Scientifique et Technologique,education,facility
1,https://ror.org/00t5e2y66 -> https://ror.org/02hrqje66,https://ror.org/00t5e2y66,https://ror.org/02hrqje66,BF,BF,Ouagadougou,Koudougou,Université Joseph Ki-Zerbo,University of Koudougou,education,education
2,https://ror.org/00t5e2y66 -> https://ror.org/04cq90n15,https://ror.org/00t5e2y66,https://ror.org/04cq90n15,BF,BF,Ouagadougou,Bobo-Dioulasso,Université Joseph Ki-Zerbo,Nazi Boni University,education,education
2,https://ror.org/00t5e2y66 -> https://ror.org/04nhm0g90,https://ror.org/00t5e2y66,https://ror.org/04nhm0g90,BF,BF,Ouagadougou,Bobo-Dioulasso,Université Joseph Ki-Zerbo,Centre Muraz,education,other
8,https://ror.org/0138r3j35 -> https://ror.org/0138r3j35,https://ror.org/0138r3j35,https://ror.org/0138r3j35,BF,BF,Ouagadougou,Ouagadougou,International Institute for Water and Environmental Engineering,International Institute for Water and Environmental Engineering,education,education
2,https://ror.org/01tytrg27 -> https://ror.org/01tytrg27,https://ror.org/01tytrg27,https://ror.org/01tytrg27,BF,BF,Ouagadougou,Ouagadougou,Centre National de la Recherche Scientifique et Technologique,Centre National de la Recherche Scientifique et Technologique,facility,facility
1,https://ror.org/0404w7c41 -> https://ror.org/0404w7c41,https://ror.org/0404w7c41,https://ror.org/0404w7c41,BF,BF,Bobo-Dioulasso,Bobo-Dioulasso,AFRICSanté,AFRICSanté,other,other
1,https://ror.org/04cq90n15 -> https://ror.org/00t5e2y66,https://ror.org/04cq90n15,https://ror.org/00t5e2y66,BF,BF,Bobo-Dioulasso,Ouagadougou,Nazi Boni University,Université Joseph Ki-Zerbo,education,education
1,https://ror.org/04cq90n15 -> https://ror.org/01tytrg27,https://ror.org/04cq90n15,https://ror.org/01tytrg27,BF,BF,Bobo-Dioulasso,Ouagadougou,Nazi Boni University,Centre National de la Recherche Scientifique et Technologique,education,facility
2,https://ror.org/04cq90n15 -> https://ror.org/04cq90n15,https://ror.org/04cq90n15,https://ror.org/04cq90n15,BF,BF,Bobo-Dioulasso,Bobo-Dioulasso,Nazi Boni University,Nazi Boni University,education,education
