OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.955051930947,https://ror.org/053mnhb64,BG,Sofia,"University of Finance, Business and Entrepreneurship",education
1.4898935523187513,https://ror.org/02fdpqd66,BG,Svishtov,D. A. Tsenov Academy of Economics,education
1.392219170701544,https://ror.org/05dzk6h94,BG,Plovdiv,Maritsa Vegetable Crops Research Institute,facility
1.3922135417081336,https://ror.org/058kdrc56,BG,Sofia,National Center of Radiobiology and Radiation Protection,healthcare
1.3272980804961905,https://ror.org/0402pty94,BG,Sofia,University of Chemical Technology and Metallurgy,education
1.2335976850269323,https://ror.org/04b8y3f13,BG,Sofia,Alexandrovska Hospital,healthcare
1.2159397244895127,https://ror.org/00jrbwm32,BG,Sofia,Acibadem City Clinic,healthcare
1.112869515705828,https://ror.org/01n9zy652,BG,Sofia,Medical University of Sofia,education
1.1113807209403523,https://ror.org/052prhs50,BG,Sofia,Technical University of Sofia,education
1.024566517370148,https://ror.org/05vv5ch57,BG,Sofia,National Center of Infectious and Parasitic Diseases,education
0.9823351875104032,https://ror.org/017ph0934,BG,Sofia,University of National and World Economy,education
0.9748334235394582,https://ror.org/05cka2t18,BG,Sofia,Agricultural Academy,government
0.9550534943225052,https://ror.org/02jv3k292,BG,Sofia,"Sofia University ""St. Kliment Ohridski""",education
0.9323548716689131,https://ror.org/01psx1920,BG,Sofia,National Academy of Arts,education
0.9013793461763208,https://ror.org/03zrwm897,BG,Varna,Technical University of Varna,education
0.8335932129762563,https://ror.org/00t954r14,BG,Varna,University Hospital St. Marina,healthcare
0.7684339340321994,https://ror.org/01z014940,BG,Sofia,"University of Mining and Geology ""Saint Ivan Rilski""",education
0.7172069415363508,https://ror.org/05fe2ew26,BG,Sofia,National Sports Academy Vassil Levski,education
0.7133524289357082,https://ror.org/05m7h6793,BG,Plovdiv,"Academy of Music, Dance and Fine Arts",education
0.6863249454847125,https://ror.org/03jfnxv58,BG,Sofia,G. S. Rakovski National Defence College,education
0.6732349290888588,https://ror.org/01akc7468,BG,Sofia,University Hospital St. Ivan Rilski,healthcare
0.672798995295922,https://ror.org/020ak9w19,BG,Burgas,Prof. Assen Zlatarov University,education
0.6633626927585253,https://ror.org/02psj8r24,BG,Plovdiv,"University Multipurpose Hospital for Active Treatment ""Sveti Georgi""",healthcare
0.5524604636449286,https://ror.org/00e97v486,BG,Varna,Varna Free University,education
0.5174577106883915,https://ror.org/03g67sb77,BG,Varna,University of Economics Varna,education
0.5160551739907331,https://ror.org/01x8hew03,BG,Sofia,Bulgarian Academy of Sciences,government
0.5107696766518103,https://ror.org/003tr6n25,BG,Sofia,National Academy for Theatre and Film Arts,education
0.46417438624002555,https://ror.org/002qhr126,BG,Sofia,New Bulgarian University,education
0.4633577447972896,https://ror.org/02kzxd152,BG,Plovdiv,Medical University Plovdiv,education
0.4203947978664808,https://ror.org/001nkz398,BG,Sofia,University of Library Studies and Information Technologies,education
0.39220433188440657,https://ror.org/04p2cym91,BG,Stara Zagora,Trakia University,education
0.32585386680720557,https://ror.org/00a9b0g29,BG,Veliko Tŭrnovo,Vasil Levski National Military University,education
0.3231747865238626,https://ror.org/027n8z047,BG,Veliko Tŭrnovo,St. Cyril and St. Methodius University of Veliko Tarnovo,education
0.2975877692522141,https://ror.org/002wcjr61,BG,Blagoevgrad,"South-West University ""Neofit Rilski""",education
0.293931653481756,https://ror.org/032y5zj91,BG,Sofia,Military Medical Academy,healthcare
0.28053372822773043,https://ror.org/033t8gt11,BG,Sofia,University of Forestry,education
0.24871066664683758,https://ror.org/01g09ef73,BG,Rousse,Angel Kanchev University of Ruse,education
0.23358874734200225,https://ror.org/03jkshc47,BG,Varna,Medical University of Varna,education
0.21592921111295574,https://ror.org/049ztct72,BG,Pleven,Medical University Pleven,education
0.11288219786882302,https://ror.org/0204j6811,BG,Sofia,Specialized Hospital for Active Treatment of Children's Diseases,healthcare
0.11288219786882302,https://ror.org/02qktq607,BG,Sofia,Bulgarian Cardiac Institute,healthcare
0.11288142520177184,https://ror.org/04hnqrf16,BG,Sofia,National Center of Public Health and Analyses,facility
0.11138699143934133,https://ror.org/02ek1bx64,BG,Burgas,Burgas Free University,education
0.11128450324364654,https://ror.org/0415vh479,BG,Sofia,Ministry of Interior,government
0.10383718411692237,https://ror.org/0545p3742,BG,Plovdiv,Plovdiv University,education
0.09783370417522515,https://ror.org/033cz7157,BG,Sofia,"University of Architecture, Civil Engineering and Geodesy",education
0.0016988954328408805,https://ror.org/02myn8n47,BG,Sofia,Todor Kableshkov University of Transport,education
0.0,https://ror.org/002rp9w47,BG,Sofia,"National Institute of Emergency Medicine ""Pirogov""",healthcare
0.0,https://ror.org/030d7rf51,BG,Sofia,National Specialized Hospital for Active Treatment of Hematologic Diseases,healthcare
-6.264323963572059e-05,https://ror.org/0014fb593,BG,Plovdiv,University of Food Technologies,education
-0.017657051685650595,https://ror.org/00jccxv75,BG,Sofia,Law and Internet Foundation,nonprofit
-0.0251511245946051,https://ror.org/057mgt359,BG,Sofia,Institute of Cryobiology and Food Technology,facility
-0.044932454026685845,https://ror.org/042pns516,BG,Sofia,Center for the Study of Democracy,nonprofit
-0.04494048498492005,https://ror.org/029508905,BG,Sofia,International Center for Minority Studies and Intercultural Relations,nonprofit
-0.11739622531145272,https://ror.org/00w7fxv12,BG,Pleven,University Hospital Dr. Georgi Stranski,healthcare
-0.16577788715623265,https://ror.org/0308pcp34,BG,Sofia,National Academy of Music Prof. Pancho Vladigerov,education
-0.18478079422041302,https://ror.org/04rszy995,BG,Varna,Nikola Vaptsarov Naval Academy,education
-0.2644319285135353,https://ror.org/03yht3k11,BG,Shumen,Shumen University,education
-0.4217164431325566,https://ror.org/03gtr6m06,BG,Sofia,University of Telecommunications and Post,education
-0.4384813882501465,https://ror.org/04e5bwf87,BG,Plovdiv,Agricultural University Plovdiv,education
-0.4705481715790688,https://ror.org/05n8fe870,BG,Blagoevgrad,American University in Bulgaria,education
-0.4825329515078051,https://ror.org/018xbyb32,BG,Blagoevgrad,College of Tourism,education
-0.4839337430851411,https://ror.org/01jcvk244,BG,Varna,Institute of Fish Resources - Varna (Agricultural Academy),facility
-0.4839337430851411,https://ror.org/03cq1m515,BG,Sofia,Bulgarian Society for the Protection of Birds,nonprofit
-0.4839337430851411,https://ror.org/048zn2n32,BG,Sofia,Ontotext (Bulgaria),company
-0.5366319382963843,https://ror.org/020eh2733,BG,Sofia,National Heart Hospital,healthcare
-0.6538966918604021,https://ror.org/0020pnp42,BG,Plovdiv,Center of Plant Systems Biology and Biotechnology,facility
-0.671703851935262,https://ror.org/00xcb0s16,BG,Botevgrad,International Business School,education
-0.6893382395331512,https://ror.org/01xaxtt28,BG,Dobrich,Varna University of Management,education
-0.7024003587100756,https://ror.org/05bzd1d42,BG,Sofia,Executive Forests Agency,government
-1.000042440618378,https://ror.org/028d5by70,BG,Gabrovo,Technical University of Gabrovo,education
-1.43846538240214,https://ror.org/00rb8n537,BG,Sofia,University of Structural Engineering and Architecture Lyuben Karavelov,education
