Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
20,https://ror.org/0014fb593 -> https://ror.org/0014fb593,https://ror.org/0014fb593,https://ror.org/0014fb593,BG,BG,Plovdiv,Plovdiv,University of Food Technologies,University of Food Technologies,education,education
1,https://ror.org/0014fb593 -> https://ror.org/028d5by70,https://ror.org/0014fb593,https://ror.org/028d5by70,BG,BG,Plovdiv,Gabrovo,University of Food Technologies,Technical University of Gabrovo,education,education
1,https://ror.org/0014fb593 -> https://ror.org/02jv3k292,https://ror.org/0014fb593,https://ror.org/02jv3k292,BG,BG,Plovdiv,Sofia,University of Food Technologies,"Sofia University ""St. Kliment Ohridski""",education,education
7,https://ror.org/001nkz398 -> https://ror.org/001nkz398,https://ror.org/001nkz398,https://ror.org/001nkz398,BG,BG,Sofia,Sofia,University of Library Studies and Information Technologies,University of Library Studies and Information Technologies,education,education
1,https://ror.org/001nkz398 -> https://ror.org/002wcjr61,https://ror.org/001nkz398,https://ror.org/002wcjr61,BG,BG,Sofia,Blagoevgrad,University of Library Studies and Information Technologies,"South-West University ""Neofit Rilski""",education,education
1,https://ror.org/001nkz398 -> https://ror.org/00xcb0s16,https://ror.org/001nkz398,https://ror.org/00xcb0s16,BG,BG,Sofia,Botevgrad,University of Library Studies and Information Technologies,International Business School,education,education
1,https://ror.org/001nkz398 -> https://ror.org/027n8z047,https://ror.org/001nkz398,https://ror.org/027n8z047,BG,BG,Sofia,Veliko Tŭrnovo,University of Library Studies and Information Technologies,St. Cyril and St. Methodius University of Veliko Tarnovo,education,education
1,https://ror.org/001nkz398 -> https://ror.org/02jv3k292,https://ror.org/001nkz398,https://ror.org/02jv3k292,BG,BG,Sofia,Sofia,University of Library Studies and Information Technologies,"Sofia University ""St. Kliment Ohridski""",education,education
1,https://ror.org/001nkz398 -> https://ror.org/033t8gt11,https://ror.org/001nkz398,https://ror.org/033t8gt11,BG,BG,Sofia,Sofia,University of Library Studies and Information Technologies,University of Forestry,education,education
22,https://ror.org/002qhr126 -> https://ror.org/002qhr126,https://ror.org/002qhr126,https://ror.org/002qhr126,BG,BG,Sofia,Sofia,New Bulgarian University,New Bulgarian University,education,education
1,https://ror.org/002qhr126 -> https://ror.org/017ph0934,https://ror.org/002qhr126,https://ror.org/017ph0934,BG,BG,Sofia,Sofia,New Bulgarian University,University of National and World Economy,education,education
2,https://ror.org/002qhr126 -> https://ror.org/01x8hew03,https://ror.org/002qhr126,https://ror.org/01x8hew03,BG,BG,Sofia,Sofia,New Bulgarian University,Bulgarian Academy of Sciences,education,government
1,https://ror.org/002qhr126 -> https://ror.org/027n8z047,https://ror.org/002qhr126,https://ror.org/027n8z047,BG,BG,Sofia,Veliko Tŭrnovo,New Bulgarian University,St. Cyril and St. Methodius University of Veliko Tarnovo,education,education
4,https://ror.org/002qhr126 -> https://ror.org/02jv3k292,https://ror.org/002qhr126,https://ror.org/02jv3k292,BG,BG,Sofia,Sofia,New Bulgarian University,"Sofia University ""St. Kliment Ohridski""",education,education
1,https://ror.org/002qhr126 -> https://ror.org/052prhs50,https://ror.org/002qhr126,https://ror.org/052prhs50,BG,BG,Sofia,Sofia,New Bulgarian University,Technical University of Sofia,education,education
1,https://ror.org/002qhr126 -> https://ror.org/0545p3742,https://ror.org/002qhr126,https://ror.org/0545p3742,BG,BG,Sofia,Plovdiv,New Bulgarian University,Plovdiv University,education,education
1,https://ror.org/002rp9w47 -> https://ror.org/002rp9w47,https://ror.org/002rp9w47,https://ror.org/002rp9w47,BG,BG,Sofia,Sofia,"National Institute of Emergency Medicine ""Pirogov""","National Institute of Emergency Medicine ""Pirogov""",healthcare,healthcare
1,https://ror.org/002wcjr61 -> https://ror.org/002qhr126,https://ror.org/002wcjr61,https://ror.org/002qhr126,BG,BG,Blagoevgrad,Sofia,"South-West University ""Neofit Rilski""",New Bulgarian University,education,education
46,https://ror.org/002wcjr61 -> https://ror.org/002wcjr61,https://ror.org/002wcjr61,https://ror.org/002wcjr61,BG,BG,Blagoevgrad,Blagoevgrad,"South-West University ""Neofit Rilski""","South-West University ""Neofit Rilski""",education,education
3,https://ror.org/002wcjr61 -> https://ror.org/00xcb0s16,https://ror.org/002wcjr61,https://ror.org/00xcb0s16,BG,BG,Blagoevgrad,Botevgrad,"South-West University ""Neofit Rilski""",International Business School,education,education
