OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.09964785108244,https://ror.org/04j820197,BR,Trindade,Fundação de Amparo à Pesquisa e Extensão Universitária,other
1.9481097175235234,https://ror.org/0366k5v88,BR,Recife,Instituto de Tecnologia de Pernambuco,facility
1.9166416080525905,https://ror.org/009kef261,BR,Rio de Janeiro,Instituto Universitário de Pesquisas do Rio de Janeiro,facility
1.878613686438081,https://ror.org/05k5nmp03,BR,Belo Horizonte,Prefeitura Municipal de Belo Horizonte,government
1.8155658157137318,https://ror.org/04skjvf92,BR,Recife,Hospital da Restauração,healthcare
1.813545659066417,https://ror.org/03d47z838,BR,Rio de Janeiro,National Observatory,facility
1.7293638188586247,https://ror.org/05s768n96,BR,Santo André,Fundação do ABC,nonprofit
1.7152925088140845,https://ror.org/05xv38e59,BR,São Paulo,Brf (Brazil),company
1.6909258859477174,https://ror.org/051wkpd79,BR,Lorena,Faculdades Integradas Teresa D'Ávila,education
1.68821829344305,https://ror.org/05c6jzf22,BR,São Paulo,Faculdades Integradas de São Paulo,education
1.6614121368255452,https://ror.org/01pmf1z12,BR,Rio de Janeiro,Hospital São Vicente de Paulo,healthcare
1.6520233103197008,https://ror.org/03c1bg807,BR,Votuporanga,Centro Universitário de Votuporanga,education
1.6111333360328812,https://ror.org/05jnejj89,BR,São Leopoldo,Faculdades EST,education
1.6057713330934245,https://ror.org/05nvmzs58,BR,São Paulo,Universidade de Santo Amaro,education
1.549405617362637,https://ror.org/00em27a94,BR,São Paulo,Instituto de Infectologia Emílio Ribas,healthcare
1.5468364161756076,https://ror.org/04djvx395,BR,Brasília,Foundation for Research Support of the Federal District,facility
1.533769875662681,https://ror.org/05gf6dk22,BR,Brasília,Hospital de Base,healthcare
1.5283743405053287,https://ror.org/04wffgt70,BR,Campinas,Universidade Estadual de Campinas (UNICAMP),education
1.489072325358477,https://ror.org/01qcg0c38,BR,Vitória,Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória,education
1.447858232963338,https://ror.org/0101zye71,BR,Rio de Janeiro,Brazilian Institute of Geography and Statistics,government
1.441622829150082,https://ror.org/0469ct910,BR,Curitiba,Prefeitura Municipal de Curitiba,government
1.4335550595953879,https://ror.org/00swrq011,BR,São Paulo,Instituto de Pesquisas Ecológicas,nonprofit
1.433073495975455,https://ror.org/036rp1748,BR,São Paulo,Universidade de São Paulo,education
1.4325810084546948,https://ror.org/05ssnx856,BR,Rio de Janeiro,Fundação Técnico Educacional Souza Marques,education
1.4094949766731921,https://ror.org/02gcdp811,BR,São Paulo,Instituto de Pesca,facility
1.3989318686616525,https://ror.org/01fptm710,BR,São Paulo,Instituto de Botânica,facility
1.391488415639414,https://ror.org/01dg47b60,BR,Rio de Janeiro,Pontifical Catholic University of Rio de Janeiro,education
1.3885782772850797,https://ror.org/04e7rcy65,BR,Recife,Faculdade de Odontologia do Recife,education
1.3700413518296333,https://ror.org/0498ekt05,BR,Petrópolis,Laboratório Nacional de Computação Científica,government
1.359604547955916,https://ror.org/00kgb4w19,BR,Recife,Prefeitura da Cidade do Recife,government
1.3547325545723352,https://ror.org/01xe86309,BR,Manaus,National Institute of Amazonian Research,facility
1.339785892996812,https://ror.org/05vh67662,BR,São José dos Campos,Instituto Tecnológico de Aeronáutica,education
1.3005677839810765,https://ror.org/041yk2d64,BR,Porto Alegre,Universidade Federal do Rio Grande do Sul,education
1.2672475599378477,https://ror.org/03025ga79,BR,São Paulo,AC Camargo Hospital,healthcare
1.2610671345077267,https://ror.org/050zdnc69,BR,Brasília,"Ministry of Science, Technology and Innovation",government
1.2380479726840599,https://ror.org/02x4pnt63,BR,Rio de Janeiro,Hospital Geral de Bonsucesso,healthcare
1.2352513310459285,https://ror.org/02dngnr16,BR,Jaú,Hospital Amaral Carvalho,healthcare
1.2178550632512115,https://ror.org/05ryccv79,BR,Belo Horizonte,Escola Superior Dom Helder Câmara,education
1.2121810721340216,https://ror.org/04ds6er14,BR,Curitiba,Faculdade Evangélica do Paraná,education
1.2019856968522158,https://ror.org/03490as77,BR,Rio de Janeiro,Universidade Federal do Rio de Janeiro,education
1.1872407134730922,https://ror.org/00sfmx060,BR,São Paulo,Pontifícia Universidade Católica de São Paulo,education
1.1745312625605466,https://ror.org/05a99n355,BR,Itabira,Vale (Brazil),company
1.1731955344116365,https://ror.org/02x0mcx56,BR,Natal,Prefeitura Municipal do Natal,government
1.1603339585897157,https://ror.org/00qdc6m37,BR,São Carlos,Universidade Federal de São Carlos,education
1.133036669953077,https://ror.org/0176yjw32,BR,Belo Horizonte,Universidade Federal de Minas Gerais,education
1.1211327350337759,https://ror.org/005e8tf31,BR,Belo Horizonte,Centro de Desenvolvimento da Tecnologia Nuclear,facility
1.118638062080602,https://ror.org/03veakt65,BR,Rio de Janeiro,Military Institute of Engineering,education
1.1182233584241776,https://ror.org/01ttgmj63,BR,Porto Alegre,Fundação Universitária de Cardiologia,healthcare
1.1083298465606042,https://ror.org/0121en785,BR,São Paulo,Prefeitura do Município de São Paulo,government
1.0999977914397736,https://ror.org/041akq887,BR,Florianópolis,Universidade Federal de Santa Catarina,education
1.0993899277153008,https://ror.org/0021fvv57,BR,São Paulo,ICTP South American Institute for Fundamental Research,facility
1.0796282411307034,https://ror.org/02k5swt12,BR,São Paulo,Universidade Federal de São Paulo,education
1.0666673786247538,https://ror.org/025vmq686,BR,Porto Alegre,Pontifícia Universidade Católica do Rio Grande do Sul,education
1.0596354263279708,https://ror.org/01rtyyz33,BR,Recife,Instituto de Medicina Integral Professor Fernando Figueira,healthcare
1.0589877837809678,https://ror.org/00720xw25,BR,Itaperuna,Faculdade Redentor,education
1.052704289355474,https://ror.org/04jhswv08,BR,Rio de Janeiro,Fundação Oswaldo Cruz,facility
1.0457936372566694,https://ror.org/045nsn047,BR,Manaus,Instituto Federal do Amazonas,education
1.042588166467722,https://ror.org/03ks3nw90,BR,São Paulo,Escola da Cidade,education
1.0242741819348333,https://ror.org/041mvdf76,BR,São Paulo,Instituto de Pesquisas Tecnológicas,facility
1.0004089589409737,https://ror.org/00xb6aw94,BR,Rio de Janeiro,State University of Norte Fluminense,education
0.9972474876709145,https://ror.org/052e6h087,BR,São José do Rio Preto,Faculdade de Medicina de São José do Rio Preto,education
0.9964304280696797,https://ror.org/007kf5222,BR,São Bernardo do Campo,Centro Universitário da FEI,education
0.9870375544051885,https://ror.org/0409dgb37,BR,Viçosa,Universidade Federal de Viçosa,education
0.9689998652274541,https://ror.org/00987cb86,BR,São Paulo,Universidade Estadual Paulista (Unesp),education
0.9492537050322284,https://ror.org/047908t24,BR,Recife,Universidade Federal de Pernambuco,education
0.9318845971678287,https://ror.org/01amqg398,BR,São Paulo,Fundação de Apoio ao Instituto de Pesquisas Tecnológicas,other
0.9313452125707521,https://ror.org/05syd6y78,BR,Curitiba,Universidade Federal do Paraná,education
0.9205170848434283,https://ror.org/02xfp8v59,BR,Brasília,Universidade de Brasília,education
0.9199916864384245,https://ror.org/003fyqt13,BR,Rio de Janeiro,AVM Faculdade Integrada,education
0.9170392095231273,https://ror.org/0198v2949,BR,Rio de Janeiro,Rio de Janeiro State University,education
0.9083108635886545,https://ror.org/028kg9j04,BR,Santo André,Universidade Federal do ABC,education
0.891434324664284,https://ror.org/0033xm087,BR,Arraial do Cabo,Instituto de Estudos do Mar Almirante Paulo Moreira,government
0.8851385598108972,https://ror.org/0122bmm03,BR,Lavras,Universidade Federal de Lavras,education
0.8835399715942643,https://ror.org/044khe761,BR,São Paulo,Santa Marcelina Colégio,education
0.8828420347319639,https://ror.org/055n68305,BR,Rio de Janeiro,Instituto Nacional do Câncer,healthcare
0.8742081991134276,https://ror.org/02rjhbb08,BR,Niterói,Universidade Federal Fluminense,education
0.8532980879979454,https://ror.org/00f2kew86,BR,Barretos,Hospital de Câncer de Barretos,healthcare
0.8437240418267388,https://ror.org/00ey54k21,BR,Ribeirão Preto,Universidade de Ribeirão Preto,education
0.8427451736843106,https://ror.org/009afhj46,BR,Vitória,Fucape Business School,education
0.842025150576068,https://ror.org/04sgy9050,BR,São Paulo,Hospital Santa Marcelina,healthcare
0.8391829668026757,https://ror.org/04m4fy391,BR,São Paulo,Senac University Center,education
0.8379440289933159,https://ror.org/04bqqa360,BR,Maringá,Universidade Estadual de Maringá,education
0.820647386265172,https://ror.org/045ae7j03,BR,Bragança Paulista,Universidade São Francisco,education
0.8167101453827327,https://ror.org/03se9eg94,BR,São Paulo,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo,healthcare
0.8103463372162022,https://ror.org/05ctmmy43,BR,São Leopoldo,Universidade do Vale do Rio dos Sinos,education
0.8066263536175508,https://ror.org/01z6qpb13,BR,São Paulo,Faculdade de Ciências Médicas da Santa Casa de São Paulo,education
0.802528763045439,https://ror.org/013pajk64,BR,Belo Horizonte,Universidade Fundação Mineira de Educação e Cultura,education
0.7911397712648507,https://ror.org/01evzkn27,BR,Rio de Janeiro,Fundação Getulio Vargas,education
0.7900223607701176,https://ror.org/014n7xm98,BR,Parnaíba,Universidade Federal do Delta do Parnaíba,education
0.7888716024153943,https://ror.org/04wsxm558,BR,São Paulo,Faculdade Cásper Líbero,education
0.7836075068828876,https://ror.org/01gt7sg63,BR,Taubaté,Universidade de Taubaté,education
0.7827759449658092,https://ror.org/025zd8760,BR,Pouso Alegre,Universidade do Vale do Sapucaí,education
0.7796323758146003,https://ror.org/03ywskk07,BR,Jundiaí,Faculdade de Medicina de Jundiaí,education
0.7716762014628172,https://ror.org/00shzgx32,BR,Piracicaba,Methodist University of Piracicaba,education
0.7640197212349975,https://ror.org/02rpqwp12,BR,São Paulo,Instituto Vita,healthcare
0.7570014533173367,https://ror.org/04cfzks03,BR,Rio de Janeiro,Escola de Comando e Estado-Maior do Exército,education
0.7487820591726047,https://ror.org/01585b035,BR,Londrina,Universidade Estadual de Londrina,education
0.7445177814880277,https://ror.org/01whwkf30,BR,São Paulo,Instituto Butantan,facility
0.7303274964585899,https://ror.org/047s7ag77,BR,Santo André,Faculdade de Medicina do ABC,education
0.7164240486089272,https://ror.org/04x3wvr31,BR,Uberlândia,Universidade Federal de Uberlândia,education
0.7096260573112952,https://ror.org/03gf7q691,BR,Barroso,Faculdade Única,education
0.708816018379399,https://ror.org/01p7p3890,BR,Belo Horizonte,Faculdade de Ciências Médicas de Minas Gerais,education
