Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/0009eqg37 -> https://ror.org/0009eqg37,https://ror.org/0009eqg37,https://ror.org/0009eqg37,BR,BR,Rio de Janeiro,Rio de Janeiro,Instituto Federal Fluminense,Instituto Federal Fluminense,education,education
1,https://ror.org/00114hq16 -> https://ror.org/04wn09761,https://ror.org/00114hq16,https://ror.org/04wn09761,BR,BR,São José dos Campos,Natal,Centro Nacional de Monitoramento e Alertas de Desastres Naturais,Universidade Federal do Rio Grande do Norte,government,education
2,https://ror.org/001fypf81 -> https://ror.org/001fypf81,https://ror.org/001fypf81,https://ror.org/001fypf81,BR,BR,Rio de Janeiro,Rio de Janeiro,Universidade Unigranrio,Universidade Unigranrio,education,education
1,https://ror.org/001fypf81 -> https://ror.org/00kays408,https://ror.org/001fypf81,https://ror.org/00kays408,BR,BR,Rio de Janeiro,Rio de Janeiro,Universidade Unigranrio,University Gama Filho,education,education
1,https://ror.org/001fypf81 -> https://ror.org/02xfp8v59,https://ror.org/001fypf81,https://ror.org/02xfp8v59,BR,BR,Rio de Janeiro,Brasília,Universidade Unigranrio,Universidade de Brasília,education,education
1,https://ror.org/001fypf81 -> https://ror.org/036rp1748,https://ror.org/001fypf81,https://ror.org/036rp1748,BR,BR,Rio de Janeiro,São Paulo,Universidade Unigranrio,Universidade de São Paulo,education,education
1,https://ror.org/0021fvv57 -> https://ror.org/036rp1748,https://ror.org/0021fvv57,https://ror.org/036rp1748,BR,BR,São Paulo,São Paulo,ICTP South American Institute for Fundamental Research,Universidade de São Paulo,facility,education
2,https://ror.org/00235nr42 -> https://ror.org/0009eqg37,https://ror.org/00235nr42,https://ror.org/0009eqg37,BR,BR,Itajubá,Rio de Janeiro,Universidade Federal de Itajubá,Instituto Federal Fluminense,education,education
58,https://ror.org/00235nr42 -> https://ror.org/00235nr42,https://ror.org/00235nr42,https://ror.org/00235nr42,BR,BR,Itajubá,Itajubá,Universidade Federal de Itajubá,Universidade Federal de Itajubá,education,education
1,https://ror.org/00235nr42 -> https://ror.org/002v2kq79,https://ror.org/00235nr42,https://ror.org/002v2kq79,BR,BR,Itajubá,Curitiba,Universidade Federal de Itajubá,Universidade Tecnológica Federal do Paraná,education,education
1,https://ror.org/00235nr42 -> https://ror.org/0039d5757,https://ror.org/00235nr42,https://ror.org/0039d5757,BR,BR,Itajubá,Goiânia,Universidade Federal de Itajubá,Universidade Federal de Goiás,education,education
1,https://ror.org/00235nr42 -> https://ror.org/00987cb86,https://ror.org/00235nr42,https://ror.org/00987cb86,BR,BR,Itajubá,São Paulo,Universidade Federal de Itajubá,Universidade Estadual Paulista (Unesp),education,education
2,https://ror.org/00235nr42 -> https://ror.org/00n0s9w57,https://ror.org/00235nr42,https://ror.org/00n0s9w57,BR,BR,Itajubá,Brasília,Universidade Federal de Itajubá,Federal Government of Brazil,education,government
