Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/00nfn7821 -> https://ror.org/00nfn7821,https://ror.org/00nfn7821,https://ror.org/00nfn7821,BW,BW,Gaborone,Gaborone,Botho University,Botho University,education,education
1,https://ror.org/00nfn7821 -> https://ror.org/01encsj80,https://ror.org/00nfn7821,https://ror.org/01encsj80,BW,BW,Gaborone,Gaborone,Botho University,University of Botswana,education,education
55,https://ror.org/01encsj80 -> https://ror.org/01encsj80,https://ror.org/01encsj80,https://ror.org/01encsj80,BW,BW,Gaborone,Gaborone,University of Botswana,University of Botswana,education,education
1,https://ror.org/01encsj80 -> https://ror.org/03h7rjb68,https://ror.org/01encsj80,https://ror.org/03h7rjb68,BW,BW,Gaborone,Gaborone,University of Botswana,Botswana Institute for Technology Research and Innovation,education,facility
1,https://ror.org/01encsj80 -> https://ror.org/04cr2sq58,https://ror.org/01encsj80,https://ror.org/04cr2sq58,BW,BW,Gaborone,Palapye,University of Botswana,Botswana International University of Science and Technology,education,education
1,https://ror.org/01encsj80 -> https://ror.org/050nwww65,https://ror.org/01encsj80,https://ror.org/050nwww65,BW,BW,Gaborone,Gaborone,University of Botswana,Botswana Accountancy College,education,education
3,https://ror.org/04cr2sq58 -> https://ror.org/01encsj80,https://ror.org/04cr2sq58,https://ror.org/01encsj80,BW,BW,Palapye,Gaborone,Botswana International University of Science and Technology,University of Botswana,education,education
8,https://ror.org/04cr2sq58 -> https://ror.org/04cr2sq58,https://ror.org/04cr2sq58,https://ror.org/04cr2sq58,BW,BW,Palapye,Palapye,Botswana International University of Science and Technology,Botswana International University of Science and Technology,education,education
1,https://ror.org/04cr2sq58 -> https://ror.org/050nwww65,https://ror.org/04cr2sq58,https://ror.org/050nwww65,BW,BW,Palapye,Gaborone,Botswana International University of Science and Technology,Botswana Accountancy College,education,education
2,https://ror.org/050nwww65 -> https://ror.org/01encsj80,https://ror.org/050nwww65,https://ror.org/01encsj80,BW,BW,Gaborone,Gaborone,Botswana Accountancy College,University of Botswana,education,education
