Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/007rxxd52 -> https://ror.org/007rxxd52,https://ror.org/007rxxd52,https://ror.org/007rxxd52,BY,BY,Brest,Brest,Brest State Technical University,Brest State Technical University,education,education
1,https://ror.org/0087nx645 -> https://ror.org/040a2r459,https://ror.org/0087nx645,https://ror.org/040a2r459,BY,BY,Minsk,Minsk,Belarusian State Academy of Arts,Belarusian National Technical University,education,education
18,https://ror.org/00cp8c465 -> https://ror.org/00cp8c465,https://ror.org/00cp8c465,https://ror.org/00cp8c465,BY,BY,Minsk,Minsk,Belarusian State Technological University,Belarusian State Technological University,education,education
3,https://ror.org/00cp8c465 -> https://ror.org/021036w13,https://ror.org/00cp8c465,https://ror.org/021036w13,BY,BY,Minsk,Minsk,Belarusian State Technological University,Belarusian State University,education,education
2,https://ror.org/00cp8c465 -> https://ror.org/02j8pe645,https://ror.org/00cp8c465,https://ror.org/02j8pe645,BY,BY,Minsk,Minsk,Belarusian State Technological University,National Academy of Sciences of Belarus,education,government
2,https://ror.org/00cp8c465 -> https://ror.org/040a2r459,https://ror.org/00cp8c465,https://ror.org/040a2r459,BY,BY,Minsk,Minsk,Belarusian State Technological University,Belarusian National Technical University,education,education
1,https://ror.org/00cp8c465 -> https://ror.org/04t2ykm02,https://ror.org/00cp8c465,https://ror.org/04t2ykm02,BY,BY,Minsk,Minsk,Belarusian State Technological University,Minsk State Linguistic University,education,education
16,https://ror.org/00p8b0t20 -> https://ror.org/00p8b0t20,https://ror.org/00p8b0t20,https://ror.org/00p8b0t20,BY,BY,Minsk,Minsk,Belarusian State Medical University,Belarusian State Medical University,education,education
1,https://ror.org/00p8b0t20 -> https://ror.org/014zhhr61,https://ror.org/00p8b0t20,https://ror.org/014zhhr61,BY,BY,Minsk,Minsk,Belarusian State Medical University,Belarusian Medical Academy of Post-Graduate Education,education,education
3,https://ror.org/00p8b0t20 -> https://ror.org/021036w13,https://ror.org/00p8b0t20,https://ror.org/021036w13,BY,BY,Minsk,Minsk,Belarusian State Medical University,Belarusian State University,education,education
1,https://ror.org/00p8b0t20 -> https://ror.org/02ttmd632,https://ror.org/00p8b0t20,https://ror.org/02ttmd632,BY,BY,Minsk,Pinsk,Belarusian State Medical University,Polessky State University,education,education
1,https://ror.org/00p8b0t20 -> https://ror.org/054dshd81,https://ror.org/00p8b0t20,https://ror.org/054dshd81,BY,BY,Minsk,Minsk,Belarusian State Medical University,International University MITSO,education,education
1,https://ror.org/00p8b0t20 -> https://ror.org/05f16n416,https://ror.org/00p8b0t20,https://ror.org/05f16n416,BY,BY,Minsk,Minsk,Belarusian State Medical University,Republican Scientific and Practical Center of Cardiology,education,healthcare
1,https://ror.org/00q96wx12 -> https://ror.org/040a2r459,https://ror.org/00q96wx12,https://ror.org/040a2r459,BY,BY,Vitebsk,Minsk,Vitebsk State Technological University,Belarusian National Technical University,education,education
3,https://ror.org/014zhhr61 -> https://ror.org/014zhhr61,https://ror.org/014zhhr61,https://ror.org/014zhhr61,BY,BY,Minsk,Minsk,Belarusian Medical Academy of Post-Graduate Education,Belarusian Medical Academy of Post-Graduate Education,education,education
2,https://ror.org/014zhhr61 -> https://ror.org/02d8ecr17,https://ror.org/014zhhr61,https://ror.org/02d8ecr17,BY,BY,Minsk,Vitebsk,Belarusian Medical Academy of Post-Graduate Education,Vitebsk State Medical University,education,education
1,https://ror.org/014zhhr61 -> https://ror.org/02j8pe645,https://ror.org/014zhhr61,https://ror.org/02j8pe645,BY,BY,Minsk,Minsk,Belarusian Medical Academy of Post-Graduate Education,National Academy of Sciences of Belarus,education,government
14,https://ror.org/01fkzt617 -> https://ror.org/01fkzt617,https://ror.org/01fkzt617,https://ror.org/01fkzt617,BY,BY,Minsk,Minsk,Belarusian State Economic University,Belarusian State Economic University,education,education
