Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/0029f8q94 -> https://ror.org/02xh9x144,https://ror.org/0029f8q94,https://ror.org/02xh9x144,CA,CA,Fort McMurray,Charlottetown,Keyano College,University of Prince Edward Island,education,education
17,https://ror.org/003s89n44 -> https://ror.org/003s89n44,https://ror.org/003s89n44,https://ror.org/003s89n44,CA,CA,Edmonton,Edmonton,MacEwan University,MacEwan University,education,education
1,https://ror.org/003s89n44 -> https://ror.org/0160cpw27,https://ror.org/003s89n44,https://ror.org/0160cpw27,CA,CA,Edmonton,Edmonton,MacEwan University,University of Alberta,education,education
1,https://ror.org/003s89n44 -> https://ror.org/03rmrcq20,https://ror.org/003s89n44,https://ror.org/03rmrcq20,CA,CA,Edmonton,Vancouver,MacEwan University,University of British Columbia,education,education
2,https://ror.org/003s89n44 -> https://ror.org/04013rx15,https://ror.org/003s89n44,https://ror.org/04013rx15,CA,CA,Edmonton,Edmonton,MacEwan University,Concordia University of Edmonton,education,education
1,https://ror.org/003s89n44 -> https://ror.org/04evsam41,https://ror.org/003s89n44,https://ror.org/04evsam41,CA,CA,Edmonton,Calgary,MacEwan University,Mount Royal University,education,education
1,https://ror.org/0064zg438 -> https://ror.org/01e6qks80,https://ror.org/0064zg438,https://ror.org/01e6qks80,CA,CA,Halifax,Halifax,Izaak Walton Killam Health Centre,Dalhousie University,healthcare,education
1,https://ror.org/007ygk571 -> https://ror.org/03dbr7087,https://ror.org/007ygk571,https://ror.org/03dbr7087,CA,CA,Toronto,Toronto,Dystonia Medical Research Foundation Canada,University of Toronto,nonprofit,education
20,https://ror.org/00839we02 -> https://ror.org/00839we02,https://ror.org/00839we02,https://ror.org/00839we02,CA,CA,Wolfville,Wolfville,Acadia University,Acadia University,education,education
2,https://ror.org/00839we02 -> https://ror.org/010zh7098,https://ror.org/00839we02,https://ror.org/010zh7098,CA,CA,Wolfville,Halifax,Acadia University,Saint Mary's University,education,education
