OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.239999999999999,https://ror.org/01mn7k054,CD,Lubumbashi,University of Lubumbashi,education
0.6399999999999996,https://ror.org/05rrz2q74,CD,Kinshasa,University of Kinshasa,education
0.5,https://ror.org/0306pcd50,CD,Bukavu,Université Evangélique en Afrique,education
0.0,https://ror.org/00pdgtx79,CD,Bukavu,Institut Supérieur de Développement Rural,education
0.0,https://ror.org/028svp844,CD,Kisangani,Université de Kisangani,education
0.0,https://ror.org/02pad2v09,CD,Bukavu,Université Officielle de Bukavu,education
0.0,https://ror.org/03a6cpb51,CD,Goma,University of Goma,education
0.0,https://ror.org/0432yv872,CD,Kinshasa,Université Pédagogique Nationale,education
-0.16000000000000064,https://ror.org/03qyfje32,CD,Kinshasa,National Institute of Biomedical Research,government
-0.3600000000000003,https://ror.org/03ea76440,CD,Kinshasa,Université Libre de Kinshasa,education
-0.5,https://ror.org/03cg80535,CD,Bukavu,Université Catholique de Bukavu,education
-1.3599999999999997,https://ror.org/01q3qwp65,CD,Kananga,Université de Notre-Dame du Kasai,education
