Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/00pdgtx79 -> https://ror.org/00pdgtx79,https://ror.org/00pdgtx79,https://ror.org/00pdgtx79,CD,CD,Bukavu,Bukavu,Institut Supérieur de Développement Rural,Institut Supérieur de Développement Rural,education,education
3,https://ror.org/01mn7k054 -> https://ror.org/01mn7k054,https://ror.org/01mn7k054,https://ror.org/01mn7k054,CD,CD,Lubumbashi,Lubumbashi,University of Lubumbashi,University of Lubumbashi,education,education
1,https://ror.org/01mn7k054 -> https://ror.org/03qyfje32,https://ror.org/01mn7k054,https://ror.org/03qyfje32,CD,CD,Lubumbashi,Kinshasa,University of Lubumbashi,National Institute of Biomedical Research,education,government
1,https://ror.org/01mn7k054 -> https://ror.org/05rrz2q74,https://ror.org/01mn7k054,https://ror.org/05rrz2q74,CD,CD,Lubumbashi,Kinshasa,University of Lubumbashi,University of Kinshasa,education,education
2,https://ror.org/028svp844 -> https://ror.org/028svp844,https://ror.org/028svp844,https://ror.org/028svp844,CD,CD,Kisangani,Kisangani,Université de Kisangani,Université de Kisangani,education,education
1,https://ror.org/02pad2v09 -> https://ror.org/02pad2v09,https://ror.org/02pad2v09,https://ror.org/02pad2v09,CD,CD,Bukavu,Bukavu,Université Officielle de Bukavu,Université Officielle de Bukavu,education,education
2,https://ror.org/0306pcd50 -> https://ror.org/0306pcd50,https://ror.org/0306pcd50,https://ror.org/0306pcd50,CD,CD,Bukavu,Bukavu,Université Evangélique en Afrique,Université Evangélique en Afrique,education,education
1,https://ror.org/0306pcd50 -> https://ror.org/03cg80535,https://ror.org/0306pcd50,https://ror.org/03cg80535,CD,CD,Bukavu,Bukavu,Université Evangélique en Afrique,Université Catholique de Bukavu,education,education
1,https://ror.org/03a6cpb51 -> https://ror.org/03a6cpb51,https://ror.org/03a6cpb51,https://ror.org/03a6cpb51,CD,CD,Goma,Goma,University of Goma,University of Goma,education,education
4,https://ror.org/03cg80535 -> https://ror.org/03cg80535,https://ror.org/03cg80535,https://ror.org/03cg80535,CD,CD,Bukavu,Bukavu,Université Catholique de Bukavu,Université Catholique de Bukavu,education,education
1,https://ror.org/03ea76440 -> https://ror.org/01q3qwp65,https://ror.org/03ea76440,https://ror.org/01q3qwp65,CD,CD,Kinshasa,Kananga,Université Libre de Kinshasa,Université de Notre-Dame du Kasai,education,education
3,https://ror.org/03ea76440 -> https://ror.org/03ea76440,https://ror.org/03ea76440,https://ror.org/03ea76440,CD,CD,Kinshasa,Kinshasa,Université Libre de Kinshasa,Université Libre de Kinshasa,education,education
1,https://ror.org/0432yv872 -> https://ror.org/0432yv872,https://ror.org/0432yv872,https://ror.org/0432yv872,CD,CD,Kinshasa,Kinshasa,Université Pédagogique Nationale,Université Pédagogique Nationale,education,education
2,https://ror.org/05rrz2q74 -> https://ror.org/03ea76440,https://ror.org/05rrz2q74,https://ror.org/03ea76440,CD,CD,Kinshasa,Kinshasa,University of Kinshasa,Université Libre de Kinshasa,education,education
2,https://ror.org/05rrz2q74 -> https://ror.org/03qyfje32,https://ror.org/05rrz2q74,https://ror.org/03qyfje32,CD,CD,Kinshasa,Kinshasa,University of Kinshasa,National Institute of Biomedical Research,education,government
23,https://ror.org/05rrz2q74 -> https://ror.org/05rrz2q74,https://ror.org/05rrz2q74,https://ror.org/05rrz2q74,CD,CD,Kinshasa,Kinshasa,University of Kinshasa,University of Kinshasa,education,education
