OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.045551213248172,https://ror.org/04qnzk495,CH,Frauenfeld,Spital Thurgau (Switzerland),company
2.0410344602809998,https://ror.org/03azrqe31,CH,Carouge,ID Quantique (Switzerland),company
2.027276601883793,https://ror.org/01czqbr06,CH,Zürich,Swiss School of Public Health,education
2.0159816558224795,https://ror.org/02jxpdd90,CH,Zürich,Life Science Zurich,education
2.009152614699595,https://ror.org/05ffr4y89,CH,Münsingen,Psychiatriezentrum Münsingen,healthcare
2.00080163862816,https://ror.org/021k07d19,CH,Lausanne,Nestlé Foundation,nonprofit
1.9818191256124038,https://ror.org/02cgn2a44,CH,Zurich,Swiss Finance Institute,education
1.9818191256124038,https://ror.org/038esz880,CH,Lausanne,Institute of Social and Preventive Medicine,facility
1.7630666714227117,https://ror.org/00gpmb873,CH,Sankt Gallen,Kantonsspital St. Gallen,healthcare
1.5181972260248842,https://ror.org/05dg8sq97,CH,Genève,International University in Geneva,education
1.1237850183763622,https://ror.org/007ygn379,CH,Genève,Graduate Institute of International and Development Studies,education
1.0972411868840284,https://ror.org/01qtj8126,CH,Bern,Foederatio Medicorum Helveticorum,healthcare
1.0492495229181835,https://ror.org/01spwt212,CH,Nottwil,Swiss Paraplegic Center,healthcare
1.0455507355864526,https://ror.org/02crff812,CH,Zurich,University of Zurich,education
1.0410207325699272,https://ror.org/01rvn4p91,CH,Zurich,Board of the Swiss Federal Institutes of Technology,government
1.0261889936033763,https://ror.org/04v7vb598,CH,Davos,AO Foundation,nonprofit
1.0112665905347413,https://ror.org/039t93g49,CH,Frick,Forschungsinstitut für Biologischen Landbau,nonprofit
1.0091623067411062,https://ror.org/02k7v4d05,CH,Bern,University of Bern,education
1.0008293953440195,https://ror.org/02s6k3f65,CH,Basel,University of Basel,education
0.9954742436626915,https://ror.org/0561a3s31,CH,Saint Gallen,University of St. Gallen,education
0.9818886685233308,https://ror.org/01swzsf04,CH,Geneva,University of Geneva,education
0.9718882746119752,https://ror.org/00nxzrk14,CH,Lausanne,Debiopharm (Switzerland),company
0.9569877729677968,https://ror.org/019whta54,CH,Lausanne,University of Lausanne,education
0.9546019904660524,https://ror.org/00vasag41,CH,Neuchâtel,University of Neuchâtel,education
0.8956819988518905,https://ror.org/01bmjkv45,CH,Basel,Friedrich Miescher Institute,facility
0.8195497734276507,https://ror.org/04t48sm91,CH,Bern,Federal Office for the Environment,government
0.789452472437942,https://ror.org/02j0abw33,CH,Basel,Felix Platter-Hospital,healthcare
0.7759087471043228,https://ror.org/03adhka07,CH,Allschwil,Swiss Tropical and Public Health Institute,facility
0.7654002715021683,https://ror.org/032ymzc07,CH,Chur,University of Applied Sciences of the Grisons,education
0.7456233623435006,https://ror.org/05fw3jg78,CH,Basel,Universitäre Psychiatrische Kliniken Basel,healthcare
0.5937096372724515,https://ror.org/022fs9h90,CH,Fribourg,University of Fribourg,education
0.5807919444553407,https://ror.org/03c4atk17,CH,Lugano,Università della Svizzera italiana,education
0.526207272798254,https://ror.org/038mj2660,CH,Rapperswil,Ostschweizer Fachhochschule OST,education
0.49999917529194243,https://ror.org/04g3mbv81,CH,Leuk,European Graduate School,education
0.46538735816962695,https://ror.org/04h670p07,CH,Bern,Universitäre Psychiatrische Dienste Bern,healthcare
0.37328764642381135,https://ror.org/01q9sj412,CH,Bern,University Hospital of Bern,healthcare
0.338324578813023,https://ror.org/01bvm0h13,CH,Lausanne,Haute École Pédagogique du Canton de Vaud,education
0.3234913420568125,https://ror.org/01ggx4157,CH,Geneva,European Organization for Nuclear Research,facility
0.3196581024071057,https://ror.org/0235ynq74,CH,Luzern,University of Teacher Education Lucerne,education
0.3051305373730381,https://ror.org/01462r250,CH,Zurich,University Hospital of Zurich,healthcare
0.3047723520609412,https://ror.org/00sh19a92,CH,Bellinzona,Ente Ospedaliero Cantonale,other
0.2898371758178846,https://ror.org/05r0ap620,CH,Zurich,Zurich University of the Arts,education
0.2838264528320899,https://ror.org/027mjht27,CH,Sitten,Institut Universitaire Kurt Bösch,education
0.27103105231924407,https://ror.org/00zb6nk96,CH,Spiez,Spiez Laboratory,facility
0.24903250137989563,https://ror.org/00yjd3n13,CH,Bern,Swiss National Science Foundation,government
0.23477285754003013,https://ror.org/035vb3h42,CH,Zürich,University Children's Hospital Zurich,healthcare
0.2123856194281273,https://ror.org/00kgrkn83,CH,Lucerne,University of Lucerne,education
0.18878217318732854,https://ror.org/056tb3809,CH,Aarau,Kantonsspital Aarau,healthcare
0.17655391647952434,https://ror.org/02yzaka98,CH,Zurich,Universitätsklinik Balgrist,healthcare
0.161473390384722,https://ror.org/04k51q396,CH,Basel,University Hospital of Basel,healthcare
0.11111429086458298,https://ror.org/04mq2g308,CH,Windisch,University of Applied Sciences and Arts Northwestern Switzerland,education
0.10151852350459098,https://ror.org/05a353079,CH,Lausanne,University Hospital of Lausanne,healthcare
0.091765853588768,https://ror.org/04d8ztx87,CH,Bern,Agroscope,facility
0.06585477422510991,https://ror.org/04jk2jb97,CH,Nottwil,Swiss Paraplegic Research,facility
0.057310922578784784,https://ror.org/01m1pv723,CH,Genève,University Hospital of Geneva,healthcare
0.045503466153542754,https://ror.org/02f9zrr09,CH,Basel,Novartis (Switzerland),company
0.045503466153542754,https://ror.org/034e48p94,CH,Baden,Kantonsspital Baden,healthcare
0.045473069463075416,https://ror.org/0377apf83,CH,Zurich,Swiss Re (Switzerland),company
0.0453569357811954,https://ror.org/00rqdn375,CH,Goldau,Schwyz University of Teacher Education,education
0.0453569357811954,https://ror.org/02ejkey04,CH,Zurich,Zurich University of Applied Sciences in Business Administration,education
0.0453569357811954,https://ror.org/05b2gms10,CH,Bern,International Breast Cancer Study Group,facility
0.0453569357811954,https://ror.org/05ghhx264,CH,Zug,University of Teacher Education Zug,education
0.0453569357811954,https://ror.org/05spbxe41,CH,Bern,Gamma Remote Sensing (Switzerland),company
0.043993375615342584,https://ror.org/03qtkxb61,CH,Zürich,Collegium Helveticum,facility
0.04320745935227196,https://ror.org/027rr8795,CH,Stäfa,Phonak (Switzerland),company
0.04320745935227196,https://ror.org/02fjgft97,CH,Chur,Pädagogische Hochschule Graubünden,education
0.04098518381389836,https://ror.org/01xm3qq33,CH,Zürich,Schulthess-Klinik,healthcare
0.04098518381389836,https://ror.org/05nrrsx06,CH,Neuchâtel,Swiss Center for Electronics and Microtechnology (Switzerland),company
0.040973194538942125,https://ror.org/01hp71z51,CH,Otelfingen,Philochem (Switzerland),company
0.040941849241468355,https://ror.org/0014xm371,CH,Zürich,Foundation for Research on Information Technologies in Society,nonprofit
0.040941849241468355,https://ror.org/023vxr720,CH,Zürich,TK Consult (Switzerland),company
0.040941849241468355,https://ror.org/03nqkz164,CH,Zurich,ETH Zürich Foundation,nonprofit
0.040941849241468355,https://ror.org/051h7x990,CH,Rheinfelden,Reha Rheinfelden,nonprofit
0.04084018281402267,https://ror.org/01nms9j09,CH,Neuchâtel,Alpes Lasers (Switzerland),company
0.04084018281402267,https://ror.org/01vgh8b31,CH,Walenstadt,Alpinia Institute,facility
0.04084018281402267,https://ror.org/01vvnn702,CH,Uzwil,Bühler (Switzerland),company
0.04084018281402267,https://ror.org/01wpzjj95,CH,Thun,Tofwerk (Switzerland),company
0.04084018281402267,https://ror.org/02skjv125,CH,Bettlach,Mathys (Switzerland),company
0.04084018281402267,https://ror.org/02sy45055,CH,Zürich,Inspire,company
0.04084018281402267,https://ror.org/0396h7r78,CH,Lugano,Studi Associati (Switzerland),company
0.04084018281402267,https://ror.org/03fs41j10,CH,Schaffhausen,Pädagogische Hochschule Schaffhausen,education
0.04084018281402267,https://ror.org/03wgrw884,CH,Lausanne,Gymnase de La Cité Lausanne,education
0.04084018281402267,https://ror.org/04t1f4f50,CH,Bern,Swisscom (Switzerland),company
0.04084018281402267,https://ror.org/05a8hvs03,CH,Locarno,Istituto Ricerche Solari Locarno,facility
0.04084018281402267,https://ror.org/05r4t3s90,CH,Aarau,Kanton Aargau,government
0.04084018281402267,https://ror.org/05wm3vw64,CH,Genève,World Economic Forum,nonprofit
0.034298731531477306,https://ror.org/001av7v52,CH,Bettlach,RMS Foundation,nonprofit
0.03295838499813535,https://ror.org/00b747122,CH,Liestal,Kantonsspital Baselland,healthcare
0.030354089057286406,https://ror.org/03va9ng43,CH,Allschwil,Idorsia (Switzerland),company
0.02777258375549857,https://ror.org/05932h694,CH,Martigny-Combe,Idiap Research Institute,facility
0.02589505899462719,https://ror.org/02bnkt322,CH,Bern,Bern University of Applied Sciences,education
0.025014290605218606,https://ror.org/01xm30661,CH,Bern,International Space Science Institute,nonprofit
0.025014290605218606,https://ror.org/03dr7j353,CH,Schlieren,Biognosys (Switzerland),company
0.025014290605218606,https://ror.org/05qe3gd58,CH,Bern,Federal Department of Home Affairs,government
0.021245074113830323,https://ror.org/04rtrpb08,CH,Bern,Swiss Group For Clinical Cancer Research,nonprofit
0.021158250404663074,https://ror.org/04nd0xd48,CH,Lucerne,Lucerne University of Applied Sciences and Arts,education
0.018235225554726904,https://ror.org/05b2r4b98,CH,Berne,Swiss Academies of Arts and Sciences,government
0.015689063510242234,https://ror.org/00w9q2c06,CH,Zürich,University of Teacher Education in Special Needs,education
0.013127867996536938,https://ror.org/00by1q217,CH,Basel,Roche (Switzerland),company
0.01155579703473414,https://ror.org/05pmsvm27,CH,Winterthur,ZHAW Zurich University of Applied Sciences,education
0.011474345771153882,https://ror.org/02g4bxh77,CH,Winterthur,Medbase,healthcare
0.011273884403199003,https://ror.org/0441mgk24,CH,Rapperswil,University of Applied Sciences of Eastern Switzerland,education
0.00913985639843649,https://ror.org/05jf1ma54,CH,Bern,Pädagogische Hochschule Bern,education
0.009086731968968916,https://ror.org/0023ccp69,CH,Mendrisio,Sintetica (Switzerland),company
0.009086731968968916,https://ror.org/01hwpsz06,CH,Bern,Federal Food Safety and Veterinary Office,other
0.009086731968968916,https://ror.org/0329s8h62,CH,Bern,Oeschger Centre for Climate Change Research,facility
0.008958337232619365,https://ror.org/00zevg885,CH,Basel,International Bone Research Association,nonprofit
0.008958337232619365,https://ror.org/01hqeag92,CH,Bern,Archäologischer Dienst des Kantons Bern,government
0.008958337232619365,https://ror.org/03bdt1p29,CH,Basel,Musik Akademie Basel,education
0.008958337232619365,https://ror.org/03zv4m970,CH,Bern,Federal Social Insurance Office,government
0.008958337232619365,https://ror.org/04j21nf11,CH,Basel,Universitäres Zentrum für Zahnmedizin Basel,healthcare
0.0078655329549373,https://ror.org/02hdt9m26,CH,Zürich,Swiss Data Science Center,education
0.00630040297988542,https://ror.org/03mcsbr76,CH,Sempach,Swiss Ornithological Institute,nonprofit
0.0007508304034544409,https://ror.org/02nhqek82,CH,Basel,University Children’s Hospital Basel,healthcare
0.0006073611611834197,https://ror.org/001w3p255,CH,Zürich,Pflege-und Adoptivkinder Schweiz,nonprofit
0.0006073611611834197,https://ror.org/01a8wgs29,CH,Basel,Straumann (Switzerland),company
0.0006073611611834197,https://ror.org/02s52y897,CH,Chur,Institut für Kulturforschung Graubünden,facility
5.616448532420014e-05,https://ror.org/037xabw57,CH,Fribourg,Swiss Integrative Center for Human Health,facility
0.0,https://ror.org/009hm2720,CH,Lugano,Laboratory for Biomedical Neurosciences,facility
0.0,https://ror.org/016fqsx25,CH,Ecublens,Formation Continue UNIL-EPFL,education
0.0,https://ror.org/017vhek94,CH,Zürich,Gebauer Stiftung,other
0.0,https://ror.org/01sxmzj91,CH,Zurich,Zürcher Fachhochschule,education
0.0,https://ror.org/028mpsh75,CH,Genève,Aga Khan Development Network,other
0.0,https://ror.org/032mwd808,CH,Geneva,Médecins Sans Frontières,nonprofit
0.0,https://ror.org/03x0g5n48,CH,Chavannes,Business School Lausanne,education
0.0,https://ror.org/04facnr46,CH,Geneva,EU Business School,education
0.0,https://ror.org/04r25nk19,CH,Bern,Gottfried und Julia Bangerter-Rhyner-Stiftung,nonprofit
-0.00010561752491592005,https://ror.org/002n09z45,CH,Lausanne,SIB Swiss Institute of Bioinformatics,nonprofit
-0.004673077157322717,https://ror.org/0498qf076,CH,Zürich,Kantonsschule Enge,education
-0.018375151854572065,https://ror.org/022j63c41,CH,Geneva,Haute École de Musique de Genève,education
-0.018375151854572065,https://ror.org/02bbbyx25,CH,Neuchâtel,Swiss Health Observatory,facility
-0.018375151854572065,https://ror.org/04h4t0r16,CH,Genève,International Committee of the Red Cross,nonprofit
-0.018375151854572065,https://ror.org/05tcsqz68,CH,Genève,Foundation for Innovative New Diagnostics,nonprofit
-0.027898551214273058,https://ror.org/01xkakk17,CH,Delémont,University of Applied Sciences and Arts Western Switzerland,education
-0.04059676503601531,https://ror.org/01awgk221,CH,Zurich,Zurich University of Teacher Education,education
-0.04309108036407801,https://ror.org/01j7ed328,CH,Genève,International Organization for Migration,government
-0.04309108036407801,https://ror.org/03ew5kf55,CH,Lausanne,Haute École de Travail Social et de la Santé,education
-0.043099555804948474,https://ror.org/00e8cky09,CH,Lausanne,AC Immune (Switzerland),company
-0.043099555804948474,https://ror.org/00weppy16,CH,Lausanne,FORS – Swiss Centre of Expertise in the Social Sciences,facility
-0.043099555804948474,https://ror.org/01mn31a72,CH,Lausanne,University of Music Lausanne,education
-0.043099555804948474,https://ror.org/01tpwmh40,CH,Geneva,Haute École de Santé de Genève,other
-0.043099555804948474,https://ror.org/01y65xm17,CH,Lausanne,La Source,education
-0.043099555804948474,https://ror.org/03821ge86,CH,Lausanne,Fondation Asile des Aveugles,nonprofit
-0.043099555804948474,https://ror.org/03awvhn35,CH,Orsières,Centre Alpien de Phytogéographie,facility
-0.043099555804948474,https://ror.org/03dz0k314,CH,Bern,Wyss Academy for Nature,education
-0.043099555804948474,https://ror.org/03pzk6650,CH,Vitznau,César Ritz Colleges,education
-0.043099555804948474,https://ror.org/04mcdza51,CH,Lausanne,"Centre universitaire de médecine générale et santé publique, Lausanne",healthcare
-0.045485883758283545,https://ror.org/02rycsd19,CH,Lausanne,Institute for Work and Health,facility
-0.045485883758283545,https://ror.org/039395021,CH,Romont,Vitrocentre Romont,nonprofit
-0.045485883758283545,https://ror.org/05hjw0y48,CH,Bern,Bedag Informatik (Switzerland),company
-0.045485883758283545,https://ror.org/05p30rt34,CH,Genève,SGS (Switzerland),company
-0.06156572054053242,https://ror.org/03wbkx358,CH,Zurich,Federal Office of Meteorology and Climatology MeteoSwiss,government
-0.0648451577771132,https://ror.org/02zk3am42,CH,Luzern,Luzerner Kantonsspital,healthcare
-0.12180234624470691,https://ror.org/04bf6dq94,CH,Kreuzlingen,Thurgau University of Teacher Education,education
-0.12512359778786478,https://ror.org/03w2cmy34,CH,Brig,FernUni Schweiz,education
-0.13073673163872085,https://ror.org/048ja2n45,CH,Lausanne,Haute École de Santé Vaud,education
-0.1336314930711905,https://ror.org/01f80g185,CH,Geneva,World Health Organization,government
-0.13487997544616778,https://ror.org/05ep8g269,CH,Bioggio,University of Applied Sciences and Arts of Southern Switzerland,education
-0.18271418726703814,https://ror.org/02cvys591,CH,Wabern,Federal Office of Topography swisstopo,government
-0.19979214956222935,https://ror.org/01t75ff47,CH,Brig,Swiss Distance University of Applied Sciences,education
-0.2190578889204184,https://ror.org/015pmkr43,CH,Porrentruy,Haute École Pédagogique BEJUNE,education
-0.2938514326304805,https://ror.org/0217vcy92,CH,Lugano,Franklin University Switzerland,education
-0.3168564628898686,https://ror.org/00zg4za48,CH,Zollikofen,Swiss Federal University for Vocational Education and Training SFUVET,education
-0.34131951677529687,https://ror.org/049c2kr37,CH,Zürich,Kalaidos University of Applied Sciences,education
-0.35475425176180797,https://ror.org/048gre751,CH,Fribourg,Haute École Pédagogique Fribourg,education
-0.4063702237755452,https://ror.org/00px2aj27,CH,Fribourg,School of Engineering and Architecture of Fribourg,education
-0.4063702237755452,https://ror.org/05m37v666,CH,Saint Gallen,St.Gallen University of Teacher Education,education
-0.4064819133968369,https://ror.org/01sja4271,CH,Zürich,Vischer (Switzerland),company
-0.41888370219900845,https://ror.org/03kpdys72,CH,Zürich,Triemli Hospital,healthcare
-0.41892519790002375,https://ror.org/02q3y8p81,CH,Bern,"Federal Department of Defence, Civil Protection and Sports",government
-0.41892544639581436,https://ror.org/01ew95g57,CH,Bellinzona,Vir Biotechnology (Switzerland),company
-0.41892544639581436,https://ror.org/01v6fb724,CH,Bellinzona,Repubblica e Cantone Ticino,government
-0.4192812951778824,https://ror.org/013355g38,CH,Lugano,Dalle Molle Institute for Artificial Intelligence Research,facility
-0.49999917529194243,https://ror.org/0533m8c72,CH,Genève,Webster University Geneva,education
-0.5220679947375095,https://ror.org/01g0hty05,CH,Luzern,Interface Politikstudien (Switzerland),company
-0.7647135059795406,https://ror.org/00tebjn14,CH,Schlieren,Molecular Partners (Switzerland),company
-0.8985632393192269,https://ror.org/03fw2bn12,CH,Lausanne,Centre d'Imagerie BioMedicale,facility
-0.9740533439793002,https://ror.org/04th56x69,CH,Landquart,THIM van der Laan University College Physiotherapy,education
