OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
-3.88075702631289e-06,https://ror.org/02a54nf13,CI,Abidjan,École Nationale Supérieure de Statistique et d'Économie Appliquée,education
-0.8797965405754407,https://ror.org/03haqmz43,CI,Abidjan,Université Félix Houphouët-Boigny,education
-0.907521032962904,https://ror.org/02jwe8b72,CI,Bouaké,Université Alassane Ouattara,education
-0.9999614879883926,https://ror.org/03f915n15,CI,Yamoussoukro,Institut National Polytechnique Félix Houphouët-Boigny,education
-1.1200924202284321,https://ror.org/0462xwv27,CI,Abidjan,Université Nangui Abrogoua,education
-1.9629751231746402,https://ror.org/0358nsq19,CI,Korhogo,Université Pelefero Gon Coulibaly,education
-1.9759139186254158,https://ror.org/03q1wc761,CI,Daloa,Université Jean Lorougnon Guédé,education
-1.999942366445641,https://ror.org/037y0xy94,CI,Abidjan,Centre National de Recherche Agronomique,government
-1.999957402818523,https://ror.org/012cw1a31,CI,Abidjan,Université Virtuelle de Côte d'Ivoire,education
-2.1200870937750493,https://ror.org/046p4xa68,CI,Abidjan,Institut Pasteur de Côte d'Ivoire,nonprofit
