Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/02a54nf13 -> https://ror.org/02a54nf13,https://ror.org/02a54nf13,https://ror.org/02a54nf13,CI,CI,Abidjan,Abidjan,École Nationale Supérieure de Statistique et d'Économie Appliquée,École Nationale Supérieure de Statistique et d'Économie Appliquée,education,education
1,https://ror.org/02a54nf13 -> https://ror.org/03f915n15,https://ror.org/02a54nf13,https://ror.org/03f915n15,CI,CI,Abidjan,Yamoussoukro,École Nationale Supérieure de Statistique et d'Économie Appliquée,Institut National Polytechnique Félix Houphouët-Boigny,education,education
3,https://ror.org/02jwe8b72 -> https://ror.org/02jwe8b72,https://ror.org/02jwe8b72,https://ror.org/02jwe8b72,CI,CI,Bouaké,Bouaké,Université Alassane Ouattara,Université Alassane Ouattara,education,education
1,https://ror.org/02jwe8b72 -> https://ror.org/0358nsq19,https://ror.org/02jwe8b72,https://ror.org/0358nsq19,CI,CI,Bouaké,Korhogo,Université Alassane Ouattara,Université Pelefero Gon Coulibaly,education,education
1,https://ror.org/02jwe8b72 -> https://ror.org/03haqmz43,https://ror.org/02jwe8b72,https://ror.org/03haqmz43,CI,CI,Bouaké,Abidjan,Université Alassane Ouattara,Université Félix Houphouët-Boigny,education,education
2,https://ror.org/0358nsq19 -> https://ror.org/0358nsq19,https://ror.org/0358nsq19,https://ror.org/0358nsq19,CI,CI,Korhogo,Korhogo,Université Pelefero Gon Coulibaly,Université Pelefero Gon Coulibaly,education,education
1,https://ror.org/03f915n15 -> https://ror.org/012cw1a31,https://ror.org/03f915n15,https://ror.org/012cw1a31,CI,CI,Yamoussoukro,Abidjan,Institut National Polytechnique Félix Houphouët-Boigny,Université Virtuelle de Côte d'Ivoire,education,education
3,https://ror.org/03f915n15 -> https://ror.org/03f915n15,https://ror.org/03f915n15,https://ror.org/03f915n15,CI,CI,Yamoussoukro,Yamoussoukro,Institut National Polytechnique Félix Houphouët-Boigny,Institut National Polytechnique Félix Houphouët-Boigny,education,education
1,https://ror.org/03f915n15 -> https://ror.org/0462xwv27,https://ror.org/03f915n15,https://ror.org/0462xwv27,CI,CI,Yamoussoukro,Abidjan,Institut National Polytechnique Félix Houphouët-Boigny,Université Nangui Abrogoua,education,education
1,https://ror.org/03haqmz43 -> https://ror.org/02jwe8b72,https://ror.org/03haqmz43,https://ror.org/02jwe8b72,CI,CI,Abidjan,Bouaké,Université Félix Houphouët-Boigny,Université Alassane Ouattara,education,education
5,https://ror.org/03haqmz43 -> https://ror.org/0358nsq19,https://ror.org/03haqmz43,https://ror.org/0358nsq19,CI,CI,Abidjan,Korhogo,Université Félix Houphouët-Boigny,Université Pelefero Gon Coulibaly,education,education
1,https://ror.org/03haqmz43 -> https://ror.org/037y0xy94,https://ror.org/03haqmz43,https://ror.org/037y0xy94,CI,CI,Abidjan,Abidjan,Université Félix Houphouët-Boigny,Centre National de Recherche Agronomique,education,government
1,https://ror.org/03haqmz43 -> https://ror.org/03f915n15,https://ror.org/03haqmz43,https://ror.org/03f915n15,CI,CI,Abidjan,Yamoussoukro,Université Félix Houphouët-Boigny,Institut National Polytechnique Félix Houphouët-Boigny,education,education
21,https://ror.org/03haqmz43 -> https://ror.org/03haqmz43,https://ror.org/03haqmz43,https://ror.org/03haqmz43,CI,CI,Abidjan,Abidjan,Université Félix Houphouët-Boigny,Université Félix Houphouët-Boigny,education,education
3,https://ror.org/03haqmz43 -> https://ror.org/03q1wc761,https://ror.org/03haqmz43,https://ror.org/03q1wc761,CI,CI,Abidjan,Daloa,Université Félix Houphouët-Boigny,Université Jean Lorougnon Guédé,education,education
3,https://ror.org/03q1wc761 -> https://ror.org/03q1wc761,https://ror.org/03q1wc761,https://ror.org/03q1wc761,CI,CI,Daloa,Daloa,Université Jean Lorougnon Guédé,Université Jean Lorougnon Guédé,education,education
3,https://ror.org/0462xwv27 -> https://ror.org/0358nsq19,https://ror.org/0462xwv27,https://ror.org/0358nsq19,CI,CI,Abidjan,Korhogo,Université Nangui Abrogoua,Université Pelefero Gon Coulibaly,education,education
1,https://ror.org/0462xwv27 -> https://ror.org/037y0xy94,https://ror.org/0462xwv27,https://ror.org/037y0xy94,CI,CI,Abidjan,Abidjan,Université Nangui Abrogoua,Centre National de Recherche Agronomique,education,government
2,https://ror.org/0462xwv27 -> https://ror.org/03q1wc761,https://ror.org/0462xwv27,https://ror.org/03q1wc761,CI,CI,Abidjan,Daloa,Université Nangui Abrogoua,Université Jean Lorougnon Guédé,education,education
17,https://ror.org/0462xwv27 -> https://ror.org/0462xwv27,https://ror.org/0462xwv27,https://ror.org/0462xwv27,CI,CI,Abidjan,Abidjan,Université Nangui Abrogoua,Université Nangui Abrogoua,education,education
1,https://ror.org/0462xwv27 -> https://ror.org/046p4xa68,https://ror.org/0462xwv27,https://ror.org/046p4xa68,CI,CI,Abidjan,Abidjan,Université Nangui Abrogoua,Institut Pasteur de Côte d'Ivoire,education,nonprofit
