Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
4,https://ror.org/00749za89 -> https://ror.org/00749za89,https://ror.org/00749za89,https://ror.org/00749za89,CL,CL,Santiago,Santiago,Alberto Hurtado University,Alberto Hurtado University,education,education
1,https://ror.org/00749za89 -> https://ror.org/00h9jrb69,https://ror.org/00749za89,https://ror.org/00h9jrb69,CL,CL,Santiago,Valparaíso,Alberto Hurtado University,University of Valparaíso,education,education
1,https://ror.org/00749za89 -> https://ror.org/02ma57s91,https://ror.org/00749za89,https://ror.org/02ma57s91,CL,CL,Santiago,Santiago,Alberto Hurtado University,University of Santiago Chile,education,education
1,https://ror.org/00749za89 -> https://ror.org/03y6k2j68,https://ror.org/00749za89,https://ror.org/03y6k2j68,CL,CL,Santiago,Concepción,Alberto Hurtado University,Universidad Católica de la Santísima Concepción,education,education
2,https://ror.org/00749za89 -> https://ror.org/047gc3g35,https://ror.org/00749za89,https://ror.org/047gc3g35,CL,CL,Santiago,Santiago,Alberto Hurtado University,University of Chile,education,education
3,https://ror.org/00749za89 -> https://ror.org/04teye511,https://ror.org/00749za89,https://ror.org/04teye511,CL,CL,Santiago,Santiago,Alberto Hurtado University,Pontificia Universidad Católica de Chile,education,education
1,https://ror.org/00749za89 -> https://ror.org/0577avk88,https://ror.org/00749za89,https://ror.org/0577avk88,CL,CL,Santiago,Santiago,Alberto Hurtado University,Universidad Central de Chile,education,education
7,https://ror.org/00h9jrb69 -> https://ror.org/00h9jrb69,https://ror.org/00h9jrb69,https://ror.org/00h9jrb69,CL,CL,Valparaíso,Valparaíso,University of Valparaíso,University of Valparaíso,education,education
1,https://ror.org/00h9jrb69 -> https://ror.org/00txsqk22,https://ror.org/00h9jrb69,https://ror.org/00txsqk22,CL,CL,Valparaíso,Viña del Mar,University of Valparaíso,Viña del Mar University,education,education
1,https://ror.org/00h9jrb69 -> https://ror.org/01qq57711,https://ror.org/00h9jrb69,https://ror.org/01qq57711,CL,CL,Valparaíso,Santiago,University of Valparaíso,Universidad Andrés Bello,education,education
1,https://ror.org/00h9jrb69 -> https://ror.org/02cafbr77,https://ror.org/00h9jrb69,https://ror.org/02cafbr77,CL,CL,Valparaíso,Valparaíso,University of Valparaíso,Pontificia Universidad Católica de Valparaíso,education,education
1,https://ror.org/00h9jrb69 -> https://ror.org/03y6k2j68,https://ror.org/00h9jrb69,https://ror.org/03y6k2j68,CL,CL,Valparaíso,Concepción,University of Valparaíso,Universidad Católica de la Santísima Concepción,education,education
1,https://ror.org/00h9jrb69 -> https://ror.org/047gc3g35,https://ror.org/00h9jrb69,https://ror.org/047gc3g35,CL,CL,Valparaíso,Santiago,University of Valparaíso,University of Chile,education,education
1,https://ror.org/00h9jrb69 -> https://ror.org/04dndfk38,https://ror.org/00h9jrb69,https://ror.org/04dndfk38,CL,CL,Valparaíso,Concepción,University of Valparaíso,University of Bío-Bío,education,education
4,https://ror.org/00pn44t17 -> https://ror.org/00pn44t17,https://ror.org/00pn44t17,https://ror.org/00pn44t17,CL,CL,Santiago,Santiago,Universidad Mayor,Universidad Mayor,education,education
1,https://ror.org/00pn44t17 -> https://ror.org/036mwh061,https://ror.org/00pn44t17,https://ror.org/036mwh061,CL,CL,Santiago,Santiago,Universidad Mayor,Advanced Center for Chronic Diseases,education,facility
1,https://ror.org/00pn44t17 -> https://ror.org/047gc3g35,https://ror.org/00pn44t17,https://ror.org/047gc3g35,CL,CL,Santiago,Santiago,Universidad Mayor,University of Chile,education,education
1,https://ror.org/00pn44t17 -> https://ror.org/04v0snf24,https://ror.org/00pn44t17,https://ror.org/04v0snf24,CL,CL,Santiago,Temuco,Universidad Mayor,Universidad de La Frontera,education,education
1,https://ror.org/00t8xfq63 -> https://ror.org/047gc3g35,https://ror.org/00t8xfq63,https://ror.org/047gc3g35,CL,CL,Valdivia,Santiago,Centro de Estudios Científicos,University of Chile,nonprofit,education
1,https://ror.org/00t8xfq63 -> https://ror.org/04teye511,https://ror.org/00t8xfq63,https://ror.org/04teye511,CL,CL,Valdivia,Santiago,Centro de Estudios Científicos,Pontificia Universidad Católica de Chile,nonprofit,education
1,https://ror.org/00t8xfq63 -> https://ror.org/05jk8e518,https://ror.org/00t8xfq63,https://ror.org/05jk8e518,CL,CL,Valdivia,Osorno,Centro de Estudios Científicos,University of Los Lagos,nonprofit,education
1,https://ror.org/00x0xhn70 -> https://ror.org/00x0xhn70,https://ror.org/00x0xhn70,https://ror.org/00x0xhn70,CL,CL,Santiago,Santiago,Universidad Bernardo O'Higgins,Universidad Bernardo O'Higgins,education,education
1,https://ror.org/00x0xhn70 -> https://ror.org/01qq57711,https://ror.org/00x0xhn70,https://ror.org/01qq57711,CL,CL,Santiago,Santiago,Universidad Bernardo O'Higgins,Universidad Andrés Bello,education,education
1,https://ror.org/010r9dy59 -> https://ror.org/00749za89,https://ror.org/010r9dy59,https://ror.org/00749za89,CL,CL,Temuco,Santiago,Universidad Autónoma de Chile,Alberto Hurtado University,education,education
2,https://ror.org/010r9dy59 -> https://ror.org/010r9dy59,https://ror.org/010r9dy59,https://ror.org/010r9dy59,CL,CL,Temuco,Temuco,Universidad Autónoma de Chile,Universidad Autónoma de Chile,education,education
1,https://ror.org/010r9dy59 -> https://ror.org/01qq57711,https://ror.org/010r9dy59,https://ror.org/01qq57711,CL,CL,Temuco,Santiago,Universidad Autónoma de Chile,Universidad Andrés Bello,education,education
1,https://ror.org/010r9dy59 -> https://ror.org/04teye511,https://ror.org/010r9dy59,https://ror.org/04teye511,CL,CL,Temuco,Santiago,Universidad Autónoma de Chile,Pontificia Universidad Católica de Chile,education,education
1,https://ror.org/0171wr661 -> https://ror.org/00pn44t17,https://ror.org/0171wr661,https://ror.org/00pn44t17,CL,CL,Valparaíso,Santiago,Playa Ancha University of Educational Sciences,Universidad Mayor,education,education
2,https://ror.org/0171wr661 -> https://ror.org/01hrxxx24,https://ror.org/0171wr661,https://ror.org/01hrxxx24,CL,CL,Valparaíso,Iquique,Playa Ancha University of Educational Sciences,Arturo Prat University,education,education
4,https://ror.org/0171wr661 -> https://ror.org/01qq57711,https://ror.org/0171wr661,https://ror.org/01qq57711,CL,CL,Valparaíso,Santiago,Playa Ancha University of Educational Sciences,Universidad Andrés Bello,education,education
1,https://ror.org/0171wr661 -> https://ror.org/02cafbr77,https://ror.org/0171wr661,https://ror.org/02cafbr77,CL,CL,Valparaíso,Valparaíso,Playa Ancha University of Educational Sciences,Pontificia Universidad Católica de Valparaíso,education,education
1,https://ror.org/0171wr661 -> https://ror.org/04teye511,https://ror.org/0171wr661,https://ror.org/04teye511,CL,CL,Valparaíso,Santiago,Playa Ancha University of Educational Sciences,Pontificia Universidad Católica de Chile,education,education
1,https://ror.org/01hrxxx24 -> https://ror.org/01hrxxx24,https://ror.org/01hrxxx24,https://ror.org/01hrxxx24,CL,CL,Iquique,Iquique,Arturo Prat University,Arturo Prat University,education,education
5,https://ror.org/01ht74751 -> https://ror.org/01ht74751,https://ror.org/01ht74751,https://ror.org/01ht74751,CL,CL,La Serena,La Serena,University of La Serena,University of La Serena,education,education
1,https://ror.org/01ht74751 -> https://ror.org/02akpm128,https://ror.org/01ht74751,https://ror.org/02akpm128,CL,CL,La Serena,Antofagasta,University of La Serena,Universidad Católica del Norte,education,education
1,https://ror.org/01ht74751 -> https://ror.org/02cafbr77,https://ror.org/01ht74751,https://ror.org/02cafbr77,CL,CL,La Serena,Valparaíso,University of La Serena,Pontificia Universidad Católica de Valparaíso,education,education
1,https://ror.org/01ht74751 -> https://ror.org/03y6k2j68,https://ror.org/01ht74751,https://ror.org/03y6k2j68,CL,CL,La Serena,Concepción,University of La Serena,Universidad Católica de la Santísima Concepción,education,education
3,https://ror.org/01p6hjg61 -> https://ror.org/01p6hjg61,https://ror.org/01p6hjg61,https://ror.org/01p6hjg61,CL,CL,Santiago,Santiago,Fundación Ciencia and Vida,Fundación Ciencia and Vida,nonprofit,nonprofit
2,https://ror.org/01p6hjg61 -> https://ror.org/02akpm128,https://ror.org/01p6hjg61,https://ror.org/02akpm128,CL,CL,Santiago,Antofagasta,Fundación Ciencia and Vida,Universidad Católica del Norte,nonprofit,education
5,https://ror.org/01qq57711 -> https://ror.org/00pn44t17,https://ror.org/01qq57711,https://ror.org/00pn44t17,CL,CL,Santiago,Santiago,Universidad Andrés Bello,Universidad Mayor,education,education
2,https://ror.org/01qq57711 -> https://ror.org/00x0xhn70,https://ror.org/01qq57711,https://ror.org/00x0xhn70,CL,CL,Santiago,Santiago,Universidad Andrés Bello,Universidad Bernardo O'Higgins,education,education
1,https://ror.org/01qq57711 -> https://ror.org/010r9dy59,https://ror.org/01qq57711,https://ror.org/010r9dy59,CL,CL,Santiago,Temuco,Universidad Andrés Bello,Universidad Autónoma de Chile,education,education
3,https://ror.org/01qq57711 -> https://ror.org/01p6hjg61,https://ror.org/01qq57711,https://ror.org/01p6hjg61,CL,CL,Santiago,Santiago,Universidad Andrés Bello,Fundación Ciencia and Vida,education,nonprofit
39,https://ror.org/01qq57711 -> https://ror.org/01qq57711,https://ror.org/01qq57711,https://ror.org/01qq57711,CL,CL,Santiago,Santiago,Universidad Andrés Bello,Universidad Andrés Bello,education,education
1,https://ror.org/01qq57711 -> https://ror.org/01s4gpq44,https://ror.org/01qq57711,https://ror.org/01s4gpq44,CL,CL,Santiago,Talca,Universidad Andrés Bello,University of Talca,education,education
2,https://ror.org/01qq57711 -> https://ror.org/0225snd59,https://ror.org/01qq57711,https://ror.org/0225snd59,CL,CL,Santiago,Santiago,Universidad Andrés Bello,Finis Terrae University,education,education
2,https://ror.org/01qq57711 -> https://ror.org/029ycp228,https://ror.org/01qq57711,https://ror.org/029ycp228,CL,CL,Santiago,Valdivia,Universidad Andrés Bello,Austral University of Chile,education,education
5,https://ror.org/01qq57711 -> https://ror.org/02cafbr77,https://ror.org/01qq57711,https://ror.org/02cafbr77,CL,CL,Santiago,Valparaíso,Universidad Andrés Bello,Pontificia Universidad Católica de Valparaíso,education,education
3,https://ror.org/01qq57711 -> https://ror.org/02ma57s91,https://ror.org/01qq57711,https://ror.org/02ma57s91,CL,CL,Santiago,Santiago,Universidad Andrés Bello,University of Santiago Chile,education,education
1,https://ror.org/01qq57711 -> https://ror.org/02vbtzd72,https://ror.org/01qq57711,https://ror.org/02vbtzd72,CL,CL,Santiago,Santiago,Universidad Andrés Bello,Universidad Santo Tomás,education,education
2,https://ror.org/01qq57711 -> https://ror.org/0377t1328,https://ror.org/01qq57711,https://ror.org/0377t1328,CL,CL,Santiago,Santiago,Universidad Andrés Bello,European Southern Observatory,education,facility
1,https://ror.org/01qq57711 -> https://ror.org/03gtdcg60,https://ror.org/01qq57711,https://ror.org/03gtdcg60,CL,CL,Santiago,Santiago,Universidad Andrés Bello,Diego Portales University,education,education
3,https://ror.org/01qq57711 -> https://ror.org/047gc3g35,https://ror.org/01qq57711,https://ror.org/047gc3g35,CL,CL,Santiago,Santiago,Universidad Andrés Bello,University of Chile,education,education
1,https://ror.org/01qq57711 -> https://ror.org/04eyc6d95,https://ror.org/01qq57711,https://ror.org/04eyc6d95,CL,CL,Santiago,Antofagasta,Universidad Andrés Bello,University of Antofagasta,education,education
2,https://ror.org/01qq57711 -> https://ror.org/04teye511,https://ror.org/01qq57711,https://ror.org/04teye511,CL,CL,Santiago,Santiago,Universidad Andrés Bello,Pontificia Universidad Católica de Chile,education,education
2,https://ror.org/01qq57711 -> https://ror.org/05y33vv83,https://ror.org/01qq57711,https://ror.org/05y33vv83,CL,CL,Santiago,Santiago,Universidad Andrés Bello,Universidad del Desarrollo,education,education
1,https://ror.org/01rwn3f68 -> https://ror.org/01rwn3f68,https://ror.org/01rwn3f68,https://ror.org/01rwn3f68,CL,CL,Santiago,Santiago,Universidad Pedro de Valdivia,Universidad Pedro de Valdivia,education,education
4,https://ror.org/01s4gpq44 -> https://ror.org/010r9dy59,https://ror.org/01s4gpq44,https://ror.org/010r9dy59,CL,CL,Talca,Temuco,University of Talca,Universidad Autónoma de Chile,education,education
3,https://ror.org/01s4gpq44 -> https://ror.org/01qq57711,https://ror.org/01s4gpq44,https://ror.org/01qq57711,CL,CL,Talca,Santiago,University of Talca,Universidad Andrés Bello,education,education
32,https://ror.org/01s4gpq44 -> https://ror.org/01s4gpq44,https://ror.org/01s4gpq44,https://ror.org/01s4gpq44,CL,CL,Talca,Talca,University of Talca,University of Talca,education,education
1,https://ror.org/01s4gpq44 -> https://ror.org/02akpm128,https://ror.org/01s4gpq44,https://ror.org/02akpm128,CL,CL,Talca,Antofagasta,University of Talca,Universidad Católica del Norte,education,education
