OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.5000001048103992,https://ror.org/025fpk195,CM,Bamenda,Cameroon Baptist Convention Health Services,healthcare
0.4978558949394781,https://ror.org/05p811391,CM,Yaoundé,National Advanced School of Public Works,education
0.3822717724183836,https://ror.org/03cxs0c96,CM,Limbe,African Institute for Mathematical Sciences,nonprofit
1.1335607943060642e-05,https://ror.org/0098vp187,CM,Limbe,Global Health Systems Solutions,healthcare
0.0,https://ror.org/027n9q071,CM,Bangangté,Université des Montagnes,education
0.0,https://ror.org/04cdn6p56,CM,Yaoundé,ICT University,education
-0.0002030563765365854,https://ror.org/03q0dfp67,CM,Yaoundé,Catholic University of Central Africa,education
-0.00039668692297828976,https://ror.org/00xq3k060,CM,Bamenda,Catholic University of Cameroon,education
-0.00040241660116137573,https://ror.org/04bgfrg80,CM,Yaoundé,Ministry of Public Health,government
-0.00040241660116137573,https://ror.org/04r9gvy43,CM,Yaoundé,Pan-African University,education
-0.21511103814185284,https://ror.org/022zbs961,CM,Yaoundé,Université de Yaoundé I,education
-0.5000001048103992,https://ror.org/05asga947,CM,Douala,Health and Human Development (2HD) Research Network,other
-0.5021177084228129,https://ror.org/02zr5jr81,CM,Douala,University of Douala,education
-0.5852731450691866,https://ror.org/03gq1d339,CM,Ngaoundéré,University of Ngaoundéré,education
-0.6077588500967069,https://ror.org/03e7f5c12,CM,Douala,Institut Universitaire de la Côte,education
-0.6501599452532658,https://ror.org/0566t4z20,CM,Dschang,Université de Dschang,education
-0.7851205048467417,https://ror.org/02k9trd04,CM,Yaoundé,Pan African Institute for Development,education
-0.7851205048467417,https://ror.org/041dhrh62,CM,Yaoundé,"Ministry of Mines, Industry and Technological Development",government
-1.0003863215998157,https://ror.org/041kdhz15,CM,Buea,University of Buea,education
-1.2151278565031272,https://ror.org/02rq1qj48,CM,Yaoundé,Institut National de la Jeunesse et des Sports,education
-1.5021442017745439,https://ror.org/03vjrde80,CM,Douala,Institut Universitaire du Golfe de Guinée,education
-1.5852997118916625,https://ror.org/03a872012,CM,Yaoundé,Institut de Recherche Agricole pour le Développement,facility
-1.6077590597175055,https://ror.org/02n56bb75,CM,Yaoundé,Ministry of Scientific Research and Innovation,government
-1.6589353395438193,https://ror.org/051sa4h84,CM,Maroua,University of Maroua,education
-1.7851040639748996,https://ror.org/031ahrf94,CM,Bamenda,University of Bamenda,education
-2.0004025133151826,https://ror.org/0259hk390,CM,Yaoundé,Centre Pasteur du Cameroun,facility
