Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/0098vp187 -> https://ror.org/041kdhz15,https://ror.org/0098vp187,https://ror.org/041kdhz15,CM,CM,Limbe,Buea,Global Health Systems Solutions,University of Buea,healthcare,education
2,https://ror.org/00xq3k060 -> https://ror.org/041kdhz15,https://ror.org/00xq3k060,https://ror.org/041kdhz15,CM,CM,Bamenda,Buea,Catholic University of Cameroon,University of Buea,education,education
24,https://ror.org/022zbs961 -> https://ror.org/022zbs961,https://ror.org/022zbs961,https://ror.org/022zbs961,CM,CM,Yaoundé,Yaoundé,Université de Yaoundé I,Université de Yaoundé I,education,education
1,https://ror.org/022zbs961 -> https://ror.org/02n56bb75,https://ror.org/022zbs961,https://ror.org/02n56bb75,CM,CM,Yaoundé,Yaoundé,Université de Yaoundé I,Ministry of Scientific Research and Innovation,education,government
1,https://ror.org/022zbs961 -> https://ror.org/02rq1qj48,https://ror.org/022zbs961,https://ror.org/02rq1qj48,CM,CM,Yaoundé,Yaoundé,Université de Yaoundé I,Institut National de la Jeunesse et des Sports,education,education
3,https://ror.org/022zbs961 -> https://ror.org/02zr5jr81,https://ror.org/022zbs961,https://ror.org/02zr5jr81,CM,CM,Yaoundé,Douala,Université de Yaoundé I,University of Douala,education,education
1,https://ror.org/022zbs961 -> https://ror.org/03e7f5c12,https://ror.org/022zbs961,https://ror.org/03e7f5c12,CM,CM,Yaoundé,Douala,Université de Yaoundé I,Institut Universitaire de la Côte,education,education
2,https://ror.org/022zbs961 -> https://ror.org/041kdhz15,https://ror.org/022zbs961,https://ror.org/041kdhz15,CM,CM,Yaoundé,Buea,Université de Yaoundé I,University of Buea,education,education
2,https://ror.org/022zbs961 -> https://ror.org/051sa4h84,https://ror.org/022zbs961,https://ror.org/051sa4h84,CM,CM,Yaoundé,Maroua,Université de Yaoundé I,University of Maroua,education,education
3,https://ror.org/022zbs961 -> https://ror.org/0566t4z20,https://ror.org/022zbs961,https://ror.org/0566t4z20,CM,CM,Yaoundé,Dschang,Université de Yaoundé I,Université de Dschang,education,education
1,https://ror.org/025fpk195 -> https://ror.org/025fpk195,https://ror.org/025fpk195,https://ror.org/025fpk195,CM,CM,Bamenda,Bamenda,Cameroon Baptist Convention Health Services,Cameroon Baptist Convention Health Services,healthcare,healthcare
1,https://ror.org/025fpk195 -> https://ror.org/05asga947,https://ror.org/025fpk195,https://ror.org/05asga947,CM,CM,Bamenda,Douala,Cameroon Baptist Convention Health Services,Health and Human Development (2HD) Research Network,healthcare,other
2,https://ror.org/027n9q071 -> https://ror.org/027n9q071,https://ror.org/027n9q071,https://ror.org/027n9q071,CM,CM,Bangangté,Bangangté,Université des Montagnes,Université des Montagnes,education,education
1,https://ror.org/02k9trd04 -> https://ror.org/02k9trd04,https://ror.org/02k9trd04,https://ror.org/02k9trd04,CM,CM,Yaoundé,Yaoundé,Pan African Institute for Development,Pan African Institute for Development,education,education
1,https://ror.org/02k9trd04 -> https://ror.org/031ahrf94,https://ror.org/02k9trd04,https://ror.org/031ahrf94,CM,CM,Yaoundé,Bamenda,Pan African Institute for Development,University of Bamenda,education,education
25,https://ror.org/02zr5jr81 -> https://ror.org/02zr5jr81,https://ror.org/02zr5jr81,https://ror.org/02zr5jr81,CM,CM,Douala,Douala,University of Douala,University of Douala,education,education
1,https://ror.org/02zr5jr81 -> https://ror.org/031ahrf94,https://ror.org/02zr5jr81,https://ror.org/031ahrf94,CM,CM,Douala,Bamenda,University of Douala,University of Bamenda,education,education
1,https://ror.org/02zr5jr81 -> https://ror.org/03gq1d339,https://ror.org/02zr5jr81,https://ror.org/03gq1d339,CM,CM,Douala,Ngaoundéré,University of Douala,University of Ngaoundéré,education,education
1,https://ror.org/02zr5jr81 -> https://ror.org/03vjrde80,https://ror.org/02zr5jr81,https://ror.org/03vjrde80,CM,CM,Douala,Douala,University of Douala,Institut Universitaire du Golfe de Guinée,education,education
3,https://ror.org/02zr5jr81 -> https://ror.org/041kdhz15,https://ror.org/02zr5jr81,https://ror.org/041kdhz15,CM,CM,Douala,Buea,University of Douala,University of Buea,education,education
6,https://ror.org/031ahrf94 -> https://ror.org/031ahrf94,https://ror.org/031ahrf94,https://ror.org/031ahrf94,CM,CM,Bamenda,Bamenda,University of Bamenda,University of Bamenda,education,education
1,https://ror.org/031ahrf94 -> https://ror.org/051sa4h84,https://ror.org/031ahrf94,https://ror.org/051sa4h84,CM,CM,Bamenda,Maroua,University of Bamenda,University of Maroua,education,education
2,https://ror.org/03a872012 -> https://ror.org/03a872012,https://ror.org/03a872012,https://ror.org/03a872012,CM,CM,Yaoundé,Yaoundé,Institut de Recherche Agricole pour le Développement,Institut de Recherche Agricole pour le Développement,facility,facility
1,https://ror.org/03cxs0c96 -> https://ror.org/03gq1d339,https://ror.org/03cxs0c96,https://ror.org/03gq1d339,CM,CM,Limbe,Ngaoundéré,African Institute for Mathematical Sciences,University of Ngaoundéré,nonprofit,education
1,https://ror.org/03cxs0c96 -> https://ror.org/0566t4z20,https://ror.org/03cxs0c96,https://ror.org/0566t4z20,CM,CM,Limbe,Dschang,African Institute for Mathematical Sciences,Université de Dschang,nonprofit,education
1,https://ror.org/03e7f5c12 -> https://ror.org/041kdhz15,https://ror.org/03e7f5c12,https://ror.org/041kdhz15,CM,CM,Douala,Buea,Institut Universitaire de la Côte,University of Buea,education,education
1,https://ror.org/03gq1d339 -> https://ror.org/022zbs961,https://ror.org/03gq1d339,https://ror.org/022zbs961,CM,CM,Ngaoundéré,Yaoundé,University of Ngaoundéré,Université de Yaoundé I,education,education
1,https://ror.org/03gq1d339 -> https://ror.org/031ahrf94,https://ror.org/03gq1d339,https://ror.org/031ahrf94,CM,CM,Ngaoundéré,Bamenda,University of Ngaoundéré,University of Bamenda,education,education
1,https://ror.org/03gq1d339 -> https://ror.org/03a872012,https://ror.org/03gq1d339,https://ror.org/03a872012,CM,CM,Ngaoundéré,Yaoundé,University of Ngaoundéré,Institut de Recherche Agricole pour le Développement,education,facility
9,https://ror.org/03gq1d339 -> https://ror.org/03gq1d339,https://ror.org/03gq1d339,https://ror.org/03gq1d339,CM,CM,Ngaoundéré,Ngaoundéré,University of Ngaoundéré,University of Ngaoundéré,education,education
3,https://ror.org/03gq1d339 -> https://ror.org/051sa4h84,https://ror.org/03gq1d339,https://ror.org/051sa4h84,CM,CM,Ngaoundéré,Maroua,University of Ngaoundéré,University of Maroua,education,education
1,https://ror.org/03q0dfp67 -> https://ror.org/022zbs961,https://ror.org/03q0dfp67,https://ror.org/022zbs961,CM,CM,Yaoundé,Yaoundé,Catholic University of Central Africa,Université de Yaoundé I,education,education
1,https://ror.org/03q0dfp67 -> https://ror.org/031ahrf94,https://ror.org/03q0dfp67,https://ror.org/031ahrf94,CM,CM,Yaoundé,Bamenda,Catholic University of Central Africa,University of Bamenda,education,education
2,https://ror.org/03q0dfp67 -> https://ror.org/03q0dfp67,https://ror.org/03q0dfp67,https://ror.org/03q0dfp67,CM,CM,Yaoundé,Yaoundé,Catholic University of Central Africa,Catholic University of Central Africa,education,education
1,https://ror.org/03q0dfp67 -> https://ror.org/041kdhz15,https://ror.org/03q0dfp67,https://ror.org/041kdhz15,CM,CM,Yaoundé,Buea,Catholic University of Central Africa,University of Buea,education,education
1,https://ror.org/041dhrh62 -> https://ror.org/031ahrf94,https://ror.org/041dhrh62,https://ror.org/031ahrf94,CM,CM,Yaoundé,Bamenda,"Ministry of Mines, Industry and Technological Development",University of Bamenda,government,education
1,https://ror.org/041kdhz15 -> https://ror.org/0259hk390,https://ror.org/041kdhz15,https://ror.org/0259hk390,CM,CM,Buea,Yaoundé,University of Buea,Centre Pasteur du Cameroun,education,facility
1,https://ror.org/041kdhz15 -> https://ror.org/02n56bb75,https://ror.org/041kdhz15,https://ror.org/02n56bb75,CM,CM,Buea,Yaoundé,University of Buea,Ministry of Scientific Research and Innovation,education,government
13,https://ror.org/041kdhz15 -> https://ror.org/031ahrf94,https://ror.org/041kdhz15,https://ror.org/031ahrf94,CM,CM,Buea,Bamenda,University of Buea,University of Bamenda,education,education
107,https://ror.org/041kdhz15 -> https://ror.org/041kdhz15,https://ror.org/041kdhz15,https://ror.org/041kdhz15,CM,CM,Buea,Buea,University of Buea,University of Buea,education,education
1,https://ror.org/04bgfrg80 -> https://ror.org/041kdhz15,https://ror.org/04bgfrg80,https://ror.org/041kdhz15,CM,CM,Yaoundé,Buea,Ministry of Public Health,University of Buea,government,education
1,https://ror.org/04cdn6p56 -> https://ror.org/04cdn6p56,https://ror.org/04cdn6p56,https://ror.org/04cdn6p56,CM,CM,Yaoundé,Yaoundé,ICT University,ICT University,education,education
1,https://ror.org/04r9gvy43 -> https://ror.org/041kdhz15,https://ror.org/04r9gvy43,https://ror.org/041kdhz15,CM,CM,Yaoundé,Buea,Pan-African University,University of Buea,education,education
1,https://ror.org/04r9gvy43 -> https://ror.org/04r9gvy43,https://ror.org/04r9gvy43,https://ror.org/04r9gvy43,CM,CM,Yaoundé,Yaoundé,Pan-African University,Pan-African University,education,education
