OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.36414777655807,https://ror.org/05rzcwg85,CN,Beijing,Peking University Sixth Hospital,healthcare
2.2173576238314756,https://ror.org/02ys41z83,CN,Shanghai,Shanghai Synchrotron Radiation Facility,facility
2.170777653484414,https://ror.org/03qbv1q25,CN,Beijing,China Institutes of Contemporary International Relations,facility
2.1703408525396735,https://ror.org/04a30tf85,CN,Beijing,Beijing Vaccum Electronic Research Institute,facility
2.1511147479837813,https://ror.org/01g0gmx67,CN,Xi'an,Northwest Institute For Non-Ferrous Metal Research,facility
2.1395876081959915,https://ror.org/006cgkx15,CN,Beijing,Chinese Academy of Governance,government
2.1294352580890554,https://ror.org/036rzqn25,CN,Beijing,China Academy of Building Research,facility
2.1017841558485784,https://ror.org/05bbfzp96,CN,Harbin,Harbin Welding Institute,facility
2.013686012250282,https://ror.org/000z9nb11,CN,Chengdu,"Chengdu Branch, Chinese Academy of Sciences",facility
2.0082967232619833,https://ror.org/05pxfr638,CN,Qingdao,State Oceanic Administration,government
1.9627126955576535,https://ror.org/04svrh266,CN,Xi'an,Northwest Institute of Nuclear Technology,facility
1.8930634833018178,https://ror.org/01p5m7v59,CN,Beijing,National Vaccine and Serum Institute,facility
1.8824896900475432,https://ror.org/0099d6q96,CN,Beijing,Beijing Institute of Optoelectronic Technology,facility
1.858756207398343,https://ror.org/044my7157,CN,Guangzhou,Guangzhou Academy of Fine Arts,education
1.8573801058645885,https://ror.org/05ajv1r64,CN,Nanjing,Johns Hopkins University – Nanjing University Center for Chinese and American Studies,education
1.851510933186477,https://ror.org/01agvej60,CN,Shanghai,Shanghai Customs College,education
1.851510933186477,https://ror.org/01erm0d03,CN,Wuhan,Wuhan Research Institute of Materials Protection,government
1.826112874898251,https://ror.org/00zw6et16,CN,Beijing,Capital Institute of Pediatrics,facility
1.8214834998515763,https://ror.org/01ws75306,CN,Beijing,China Automotive Battery Research Institute,facility
1.8099273476329647,https://ror.org/007medz62,CN,Shenyang,Shenyang Science and Technology Bureau,government
1.800241152545469,https://ror.org/02s7c9e98,CN,Harbin,Fourth Affiliated Hospital of Harbin Medical University,healthcare
1.7757121640023237,https://ror.org/02wq41p38,CN,Beijing,Aviation Industry Corporation of China (China),company
1.6563243823050238,https://ror.org/01m6ap410,CN,Macau,University of Saint Joseph,education
1.5873478890196642,https://ror.org/05pp5b412,CN,Beijing,Beijing Proteome Research Center,facility
1.5418651244422772,https://ror.org/04ebe6j88,CN,Xi’an,Xi'an Academy of Fine Arts,education
1.4583046961517685,https://ror.org/00v5gqm66,CN,Beijing,China Institute of Atomic Energy,facility
1.4308651702014816,https://ror.org/01mfkkh63,CN,Guangzhou,Guangzhou Chemistry (China),company
1.4270335261899376,https://ror.org/03r94n804,CN,Xi'an,"China National Heavy Machinery Research Institute Co., Ltd.",facility
1.4266853037372567,https://ror.org/02bv3c993,CN,Beijing,Academy of Military Medical Sciences,facility
1.4119250649433897,https://ror.org/05d2xpa49,CN,Lanzhou,First Hospital of Lanzhou University,healthcare
1.401744741859552,https://ror.org/04sr5ys16,CN,Kunshan,Duke Kunshan University,education
1.399901947424962,https://ror.org/03va9g668,CN,Beijing,University of Chinese Academy of Social Sciences,education
1.372887386882059,https://ror.org/03wdfwr71,CN,Guangdongdi,Guangdong Testing Institute for Product Quality Supervision,education
1.3702468622117985,https://ror.org/05sn8t512,CN,Hong Kong,Hospital Authority,government
1.3632575417000605,https://ror.org/02drdmm93,CN,Beijing,Chinese Academy of Medical Sciences & Peking Union Medical College,education
1.3551253337044809,https://ror.org/05mqm5297,CN,Shanghai,Shanghai Institute of Pharmaceutical Industry,facility
1.309765996586957,https://ror.org/04jztag35,CN,Beijing,Peking Union Medical College Hospital,healthcare
1.2962380873014423,https://ror.org/02syyrn67,CN,Chongqing,PLA Army Service Academy,education
1.2849699182568304,https://ror.org/05d2yfz11,CN,Changsha,National University of Defense Technology,education
1.2727384352388833,https://ror.org/04sbk5k46,CN,Beijing,North China Research Institute of Electro-optics,facility
1.2699331321024159,https://ror.org/02v51f717,CN,Beijing,Peking University,education
1.2466865611567357,https://ror.org/00seraz22,CN,Xi'an,Air Force Engineering University,education
1.2384877763656659,https://ror.org/02vxhn688,CN,Chengdu,Chenguang Research Institute of Chemical Industry,facility
1.2188031131483406,https://ror.org/00t33hh48,CN,Hong Kong,Chinese University of Hong Kong,education
1.2156860866052783,https://ror.org/01sy5t684,CN,Changsha,The First Hospital of Changsha,healthcare
1.2147832195332644,https://ror.org/052cyyv97,CN,Shanghai,Institute of Health Sciences,facility
1.2134915653871114,https://ror.org/00q4vv597,CN,Hong Kong,Hong Kong University of Science and Technology,education
1.212180835051512,https://ror.org/00jma8s40,CN,Mianyang,China Aerodynamics Research and Development Center,facility
1.2120172480042242,https://ror.org/03d8em588,CN,Beijing,General Research Institute for Nonferrous Metals (China),company
1.2065224969347874,https://ror.org/01z8tr155,CN,Beijing,China Aerospace Science and Technology Corporation,government
1.188870711210269,https://ror.org/03k3bq214,CN,Beijing,National Center of Biomedical Analysis,healthcare
1.179080372689944,https://ror.org/05twwhs70,CN,Beijing,State Grid Corporation of China (China),company
1.1703271710075005,https://ror.org/03cve4549,CN,Beijing,Tsinghua University,education
1.1671495182237277,https://ror.org/041pakw92,CN,Beijing,Renmin University of China,education
1.156106330454849,https://ror.org/002jy7w74,CN,Shanghai,Zhejiang Research Institute of Chemical Industry,facility
1.1511344601437077,https://ror.org/00ms48f15,CN,Xi'an,Air Force Medical University,education
1.1511291147046208,https://ror.org/034t30j35,CN,Beijing,Chinese Academy of Sciences,government
1.1499507025647706,https://ror.org/01bk73674,CN,Chengdu,Chengdu Military General Hospital,healthcare
1.1498117153335916,https://ror.org/05dy2c135,CN,Beijing,China Coal Research Institute (China),company
1.1390457267080107,https://ror.org/022k4wk35,CN,Beijing,Beijing Normal University,education
1.134085424829583,https://ror.org/05269d038,CN,Beijing,China National Petroleum Corporation (China),company
1.133062359849615,https://ror.org/02gp4e279,CN,Beijing,Chinese Academy of Geological Sciences,facility
1.1172027634722907,https://ror.org/00z9npm78,CN,Shanghai,Shanghai Ship and Shipping Research Institute,facility
1.1063705777973107,https://ror.org/03rbc9d50,CN,Beijing,Beijing Research Institute of Automation for Machinery Industry (China),facility
1.101797371229092,https://ror.org/01yqg2h08,CN,Harbin,Harbin Institute of Technology,education
1.0986933098650764,https://ror.org/0161q6d74,CN,Beijing,Sinopec (China),company
1.094312371578323,https://ror.org/013q1eq08,CN,Shanghai,Fudan University,education
1.0900715577707372,https://ror.org/04gpxrn68,CN,Beijing,China Academy Of Machinery Science & Technology (China),company
1.0795164809282067,https://ror.org/012f6xc93,CN,Shanghai,Shanghai Conservatory of Music,education
1.0644450256361715,https://ror.org/02mn08y26,CN,Shijiazhuang,Ordnance Engineering College,education
1.0635702956509294,https://ror.org/05bxbmy32,CN,Beijing,Chinese Academy of Social Sciences,facility
1.0503690177924423,https://ror.org/0536rsk67,CN,Kaifeng,First Affiliated Hospital of Henan University,healthcare
1.0482639850293547,https://ror.org/05vrdx898,CN,Chengdu,Southwestern Institute of Physics,facility
1.0474222585563957,https://ror.org/00wk2mp56,CN,Beijing,Beihang University,education
1.0468849753602842,https://ror.org/020q9r015,CN,Beijing,"China Building Materials Academy Co., Ltd.",nonprofit
1.0420080817672968,https://ror.org/03tn5kh37,CN,Taiyuan,Second Hospital of Shanxi Medical University,healthcare
1.0418365315655407,https://ror.org/02403qw73,CN,Nanjing,Nanjing Hydraulic Research Institute,facility
1.041785640654685,https://ror.org/03xgzn792,CN,Chaoyang,Beijing Polytechnic,education
1.039670217140139,https://ror.org/03fz4ce66,CN,Shanghai,Shanghai Institute of Hematology,facility
