Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/0006swh35 -> https://ror.org/0006swh35,https://ror.org/0006swh35,https://ror.org/0006swh35,CN,CN,Xiamen,Xiamen,First Affiliated Hospital of Xiamen University,First Affiliated Hospital of Xiamen University,healthcare,healthcare
1,https://ror.org/000b7ms85 -> https://ror.org/041qf4r12,https://ror.org/000b7ms85,https://ror.org/041qf4r12,CN,CN,Guangzhou,Beijing,Zhongkai University of Agriculture and Engineering,"China University of Petroleum, Beijing",education,education
1,https://ror.org/000j1tr86 -> https://ror.org/000j1tr86,https://ror.org/000j1tr86,https://ror.org/000j1tr86,CN,CN,Xining,Xining,Qinghai University Affiliated Hospital,Qinghai University Affiliated Hospital,healthcare,healthcare
1,https://ror.org/000jtc944 -> https://ror.org/01khf5d59,https://ror.org/000jtc944,https://ror.org/01khf5d59,CN,CN,Zhengzhou,Qiqihar,Henan University of Economic and Law,Qiqihar University,education,education
1,https://ror.org/000prga03 -> https://ror.org/013jjp941,https://ror.org/000prga03,https://ror.org/013jjp941,CN,CN,Guilin,Jilin City,Guilin Medical University,Beihua University,education,education
1,https://ror.org/000prga03 -> https://ror.org/018wg9441,https://ror.org/000prga03,https://ror.org/018wg9441,CN,CN,Guilin,Xianning,Guilin Medical University,Hubei University of Science and Technology,education,education
1,https://ror.org/000prga03 -> https://ror.org/030sc3x20,https://ror.org/000prga03,https://ror.org/030sc3x20,CN,CN,Guilin,Nanning,Guilin Medical University,First Affiliated Hospital of GuangXi Medical University,education,healthcare
1,https://ror.org/000prga03 -> https://ror.org/038hzq450,https://ror.org/000prga03,https://ror.org/038hzq450,CN,CN,Guilin,Xinxiang,Guilin Medical University,Xinxiang Medical University,education,education
1,https://ror.org/000prga03 -> https://ror.org/05d80kz58,https://ror.org/000prga03,https://ror.org/05d80kz58,CN,CN,Guilin,Luoyang,Guilin Medical University,Henan University of Science and Technology,education,education
1,https://ror.org/000xvke80 -> https://ror.org/01sfm2718,https://ror.org/000xvke80,https://ror.org/01sfm2718,CN,CN,Nanjing,Nanjing,Nanjing Children's Hospital,China Pharmaceutical University,healthcare,education
1,https://ror.org/000z9nb11 -> https://ror.org/01rxvg760,https://ror.org/000z9nb11,https://ror.org/01rxvg760,CN,CN,Chengdu,Nanjing,"Chengdu Branch, Chinese Academy of Sciences",Nanjing University,facility,education
2,https://ror.org/0010b6s72 -> https://ror.org/0010b6s72,https://ror.org/0010b6s72,https://ror.org/0010b6s72,CN,CN,Tianjin,Tianjin,Tianjin Agricultural University,Tianjin Agricultural University,education,education
1,https://ror.org/0010b6s72 -> https://ror.org/015d0jq83,https://ror.org/0010b6s72,https://ror.org/015d0jq83,CN,CN,Tianjin,Hohhot,Tianjin Agricultural University,Inner Mongolia Agricultural University,education,education
1,https://ror.org/0010b6s72 -> https://ror.org/05e9f5362,https://ror.org/0010b6s72,https://ror.org/05e9f5362,CN,CN,Tianjin,Mingxing,Tianjin Agricultural University,Shanxi Agricultural University,education,education
1,https://ror.org/001f9e125 -> https://ror.org/01vy4gh70,https://ror.org/001f9e125,https://ror.org/01vy4gh70,CN,CN,Nanjing,Shenzhen,Jiangsu Academy of Agricultural Sciences,Shenzhen University,government,education
5,https://ror.org/001rahr89 -> https://ror.org/001rahr89,https://ror.org/001rahr89,https://ror.org/001rahr89,CN,CN,Nantong,Nantong,Affiliated Hospital of Nantong University,Affiliated Hospital of Nantong University,healthcare,healthcare
48,https://ror.org/002b7nr53 -> https://ror.org/002b7nr53,https://ror.org/002b7nr53,https://ror.org/002b7nr53,CN,CN,Dalian,Dalian,Dalian Maritime University,Dalian Maritime University,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/00g2ypp58,https://ror.org/002b7nr53,https://ror.org/00g2ypp58,CN,CN,Dalian,Dalian,Dalian Maritime University,Dalian University,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/00js3aw79,https://ror.org/002b7nr53,https://ror.org/00js3aw79,CN,CN,Dalian,Changchun,Dalian Maritime University,Jilin University,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/01d1erx18,https://ror.org/002b7nr53,https://ror.org/01d1erx18,CN,CN,Dalian,Shanghai,Dalian Maritime University,East China University of Political Science and Law,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/01f7yer47,https://ror.org/002b7nr53,https://ror.org/01f7yer47,CN,CN,Dalian,Nanyang,Dalian Maritime University,Nanyang Normal University,education,education
2,https://ror.org/002b7nr53 -> https://ror.org/01rp41m56,https://ror.org/002b7nr53,https://ror.org/01rp41m56,CN,CN,Dalian,Yantai,Dalian Maritime University,Yantai University,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/01t001k65,https://ror.org/002b7nr53,https://ror.org/01t001k65,CN,CN,Dalian,Chongqing,Dalian Maritime University,Chongqing Jiaotong University,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/01vyrm377,https://ror.org/002b7nr53,https://ror.org/01vyrm377,CN,CN,Dalian,Shanghai,Dalian Maritime University,East China University of Science and Technology,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/01yqg2h08,https://ror.org/002b7nr53,https://ror.org/01yqg2h08,CN,CN,Dalian,Harbin,Dalian Maritime University,Harbin Institute of Technology,education,education
2,https://ror.org/002b7nr53 -> https://ror.org/0207yh398,https://ror.org/002b7nr53,https://ror.org/0207yh398,CN,CN,Dalian,Jinan,Dalian Maritime University,Shandong University,education,education
5,https://ror.org/002b7nr53 -> https://ror.org/023hj5876,https://ror.org/002b7nr53,https://ror.org/023hj5876,CN,CN,Dalian,Dalian,Dalian Maritime University,Dalian University of Technology,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/02czkny70,https://ror.org/002b7nr53,https://ror.org/02czkny70,CN,CN,Dalian,Hefei,Dalian Maritime University,Hefei University of Technology,education,education
2,https://ror.org/002b7nr53 -> https://ror.org/02hxfx521,https://ror.org/002b7nr53,https://ror.org/02hxfx521,CN,CN,Dalian,Dalian,Dalian Maritime University,Dalian Minzu University,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/02rkvz144,https://ror.org/002b7nr53,https://ror.org/02rkvz144,CN,CN,Dalian,Changchun,Dalian Maritime University,Northeast Normal University,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/0304ty515,https://ror.org/002b7nr53,https://ror.org/0304ty515,CN,CN,Dalian,Dalian,Dalian Maritime University,Dalian Neusoft University of Information,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/037dym702,https://ror.org/002b7nr53,https://ror.org/037dym702,CN,CN,Dalian,Ningbo,Dalian Maritime University,Ningbo University of Technology,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/03dbpdh75,https://ror.org/002b7nr53,https://ror.org/03dbpdh75,CN,CN,Dalian,Shenyang,Dalian Maritime University,Shenyang University of Chemical Technology,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/03fe7t173,https://ror.org/002b7nr53,https://ror.org/03fe7t173,CN,CN,Dalian,Wuhan,Dalian Maritime University,Wuhan University of Technology,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/03hknyb50,https://ror.org/002b7nr53,https://ror.org/03hknyb50,CN,CN,Dalian,Amoy,Dalian Maritime University,Jimei University,education,education
2,https://ror.org/002b7nr53 -> https://ror.org/03m20nr07,https://ror.org/002b7nr53,https://ror.org/03m20nr07,CN,CN,Dalian,Shenyang,Dalian Maritime University,Shenyang Ligong University,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/03net5943,https://ror.org/002b7nr53,https://ror.org/03net5943,CN,CN,Dalian,Daqing,Dalian Maritime University,Northeast Petroleum University,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/03y3e3s17,https://ror.org/002b7nr53,https://ror.org/03y3e3s17,CN,CN,Dalian,Taiyuan,Dalian Maritime University,Shanxi University,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/04c3cgg32,https://ror.org/002b7nr53,https://ror.org/04c3cgg32,CN,CN,Dalian,Dalian,Dalian Maritime University,Liaoning Normal University,education,education
2,https://ror.org/002b7nr53 -> https://ror.org/04gtjhw98,https://ror.org/002b7nr53,https://ror.org/04gtjhw98,CN,CN,Dalian,Qingdao,Dalian Maritime University,Shandong University of Science and Technology,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/04v2j2k71,https://ror.org/002b7nr53,https://ror.org/04v2j2k71,CN,CN,Dalian,Xi’an,Dalian Maritime University,Xi'an University of Architecture and Technology,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/04z7qrj66,https://ror.org/002b7nr53,https://ror.org/04z7qrj66,CN,CN,Dalian,Shanghai,Dalian Maritime University,Shanghai Maritime University,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/0576gt767,https://ror.org/002b7nr53,https://ror.org/0576gt767,CN,CN,Dalian,Hangzhou,Dalian Maritime University,Hangzhou Dianzi University,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/05db1pj03,https://ror.org/002b7nr53,https://ror.org/05db1pj03,CN,CN,Dalian,Dalian,Dalian Maritime University,Dongbei University of Finance and Economics,education,education
1,https://ror.org/002b7nr53 -> https://ror.org/05g6ben79,https://ror.org/002b7nr53,https://ror.org/05g6ben79,CN,CN,Dalian,Changshu,Dalian Maritime University,Changshu Institute of Technology,education,education
2,https://ror.org/002b7nr53 -> https://ror.org/05gp45n31,https://ror.org/002b7nr53,https://ror.org/05gp45n31,CN,CN,Dalian,Dalian,Dalian Maritime University,Dalian Jiaotong University,education,education
2,https://ror.org/002hbfc50 -> https://ror.org/002hbfc50,https://ror.org/002hbfc50,https://ror.org/002hbfc50,CN,CN,Changchun,Changchun,Jilin Jianzhu University,Jilin Jianzhu University,education,education
1,https://ror.org/002jy7w74 -> https://ror.org/02czkny70,https://ror.org/002jy7w74,https://ror.org/02czkny70,CN,CN,Shanghai,Hefei,Zhejiang Research Institute of Chemical Industry,Hefei University of Technology,facility,education
2,https://ror.org/003regz62 -> https://ror.org/003regz62,https://ror.org/003regz62,https://ror.org/003regz62,CN,CN,Beijing,Beijing,Beijing Tian Tan Hospital,Beijing Tian Tan Hospital,healthcare,healthcare
1,https://ror.org/003regz62 -> https://ror.org/007mrxy13,https://ror.org/003regz62,https://ror.org/007mrxy13,CN,CN,Beijing,Chengdu,Beijing Tian Tan Hospital,West China Hospital of Sichuan University,healthcare,healthcare
1,https://ror.org/003regz62 -> https://ror.org/011ashp19,https://ror.org/003regz62,https://ror.org/011ashp19,CN,CN,Beijing,Chengdu,Beijing Tian Tan Hospital,Sichuan University,healthcare,education
1,https://ror.org/003regz62 -> https://ror.org/013xs5b60,https://ror.org/003regz62,https://ror.org/013xs5b60,CN,CN,Beijing,Beijing,Beijing Tian Tan Hospital,Capital Medical University,healthcare,education
1,https://ror.org/003regz62 -> https://ror.org/01dr2b756,https://ror.org/003regz62,https://ror.org/01dr2b756,CN,CN,Beijing,Shiyan,Beijing Tian Tan Hospital,Hubei University of Medicine,healthcare,education
1,https://ror.org/003regz62 -> https://ror.org/01vjw4z39,https://ror.org/003regz62,https://ror.org/01vjw4z39,CN,CN,Beijing,Guangzhou,Beijing Tian Tan Hospital,Southern Medical University,healthcare,education
1,https://ror.org/003regz62 -> https://ror.org/0207yh398,https://ror.org/003regz62,https://ror.org/0207yh398,CN,CN,Beijing,Jinan,Beijing Tian Tan Hospital,Shandong University,healthcare,education
1,https://ror.org/003regz62 -> https://ror.org/03s8txj32,https://ror.org/003regz62,https://ror.org/03s8txj32,CN,CN,Beijing,Harbin,Beijing Tian Tan Hospital,Second Affiliated Hospital of Harbin Medical University,healthcare,healthcare
1,https://ror.org/003regz62 -> https://ror.org/04wwqze12,https://ror.org/003regz62,https://ror.org/04wwqze12,CN,CN,Beijing,Beijing,Beijing Tian Tan Hospital,Peking University Third Hospital,healthcare,healthcare
1,https://ror.org/003regz62 -> https://ror.org/04z4wmb81,https://ror.org/003regz62,https://ror.org/04z4wmb81,CN,CN,Beijing,Tangshan,Beijing Tian Tan Hospital,North China University of Science and Technology,healthcare,education
