OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.4999999920179762,https://ror.org/01358s213,CO,Armenia,University of Quindío,education
0.1884066125391265,https://ror.org/059ebsr57,CO,Medellín,Hospital Universitario de San Vicente Fundación,healthcare
7.996925755377615e-05,https://ror.org/00cey1j90,CO,Barranquilla,Universidad Metropolitana,education
0.0,https://ror.org/00kcjks51,CO,Bogotá,University of America,education
-0.4999999920179762,https://ror.org/03hv7a629,CO,Armenia,Corporación Universitaria Empresarial Alexander von Humboldt,education
-0.50604910149962,https://ror.org/01d981710,CO,Pereira,Technological University of Pereira,education
-0.5061733630734415,https://ror.org/02mhbdp94,CO,Bogotá,Universidad de Los Andes,education
-0.5851758736977676,https://ror.org/059yx9a68,CO,Bogotá,Universidad Nacional de Colombia,education
-0.7332073547165116,https://ror.org/031n6w191,CO,Manizales,Universidad de Manizales,education
-0.757200526055764,https://ror.org/05at6sw30,CO,Bogotá,Hospital Universitario Infantil San José,healthcare
-0.78216351228608,https://ror.org/01skkym94,CO,Bogotá,Corporación Escuela de Artes y Letras,education
-0.8082459369401279,https://ror.org/02xtwpk10,CO,Bogotá,Universidad Externado de Colombia,education
-0.8118409445311816,https://ror.org/03bp5hc83,CO,Medellín,University of Antioquia,education
-0.8451463616605067,https://ror.org/04mjzst24,CO,Bogotá,Colfuturo,nonprofit
-0.9105048272092578,https://ror.org/01j543957,CO,Bogotá,Fundación Instituto de Inmunología de Colombia,nonprofit
-0.9272562984914177,https://ror.org/04m5pzk31,CO,Medellín,Fundación Universitaria Autónoma De Las Américas,education
-0.9493160719739374,https://ror.org/020254c55,CO,Cali,Caucaseco Scientific Research Center,facility
-0.9520303747650883,https://ror.org/03y3y9v44,CO,Medellín,Universidad EAFIT,education
-0.9648833113154929,https://ror.org/04fybn584,CO,Popayán,University of Cauca,education
-0.9662897627650079,https://ror.org/00xc1d948,CO,Bucaramanga,Industrial University of Santander,education
-0.9697244886277793,https://ror.org/031e6xm45,CO,Barranquilla,Universidad del Norte,education
-0.9766456459731988,https://ror.org/02dxm8k93,CO,Medellín,Universidad Pontificia Bolivariana,education
-1.0367697298796412,https://ror.org/03etyjw28,CO,Bogotá,Pontificia Universidad Javeriana,education
-1.0371490303866848,https://ror.org/0409zd934,CO,Cartagena,University of Cartagena,education
-1.0428656329464123,https://ror.org/049n68p64,CO,Manizales,University of Caldas,education
-1.062363342332915,https://ror.org/05xvh6h11,CO,Bucaramanga,Los Comuneros Hospital Universitario de Bucaramanga,healthcare
-1.1260026723851801,https://ror.org/00jb9vg53,CO,Cali,University of Valle,education
-1.1361611917956718,https://ror.org/02t54e151,CO,Cali,Icesi University,education
-1.236018602182345,https://ror.org/0108mwc04,CO,Bogotá,Universidad del Rosario,education
-1.2789479107182073,https://ror.org/02drkkh02,CO,Santiago de Cali,Universidad Autónoma de Occidente,education
-1.279117458586573,https://ror.org/01nxen694,CO,Bogotá,Escuela Colombiana de Ingenieria Julio Garavito,education
-1.2797679955832064,https://ror.org/04m9gzq43,CO,Bogotá,Universidad El Bosque,education
-1.2845090508299417,https://ror.org/05gsrh908,CO,Bogotá,Ecopetrol (Colombia),company
-1.3156269631512565,https://ror.org/02ech7z91,CO,Cartagena,Corporación Universitaria Rafael Nuñez,education
-1.3172815216741562,https://ror.org/04s60rj63,CO,La Plata,South Colombian University,education
-1.3300062017174104,https://ror.org/02sqgkj21,CO,Chía,Universidad de La Sabana,education
-1.3444695783158394,https://ror.org/03ca7a577,CO,Bogotá,Fundación Universitaria Konrad Lorenz,education
-1.345251298624072,https://ror.org/011bqgx84,CO,Ibagué,University of Tolima,education
-1.3762727194898878,https://ror.org/04331z002,CO,Bogotá,Corporación Universitaria Iberoamericana,education
-1.3812811576225312,https://ror.org/01mdm1v36,CO,Bogotá,Central University,education
-1.3850471348223303,https://ror.org/02ckere89,CO,Bogotá,Sergio Arboleda University,education
-1.3961522755457771,https://ror.org/03gsgk545,CO,Florencia,University of the Amazon,education
-1.4379272266349725,https://ror.org/0474gxy81,CO,Bogotá,University of La Salle,education
-1.4415581564677618,https://ror.org/00tncsy16,CO,Bogotá,Universidad EAN,education
-1.4439043526067137,https://ror.org/01x628269,CO,Bogotá,Universidad Santo Tomás,education
-1.4479666244221434,https://ror.org/04sqpjb51,CO,Bogotá,"Universidad de San Buenaventura, Bogota",education
-1.463285973189758,https://ror.org/02njbw696,CO,Barranquilla,Universidad Simón Bolívar,education
-1.4824022394948262,https://ror.org/04wbzgn90,CO,Bogotá,Universidad de Bogotá Jorge Tadeo Lozano,education
-1.4843859285091376,https://ror.org/04zwxg371,CO,Medellín,Corporación Universitaria Remington,education
-1.4917478188110032,https://ror.org/04mtaqb21,CO,Bogotá,Universidad Libre de Colombia,education
-1.493301803647201,https://ror.org/038mvjn28,CO,Santa Marta,University of Magdalena,education
-1.5020375007434668,https://ror.org/04yk0nx57,CO,Bogotá,Fundación Universitaria Juan N. Corpas,education
-1.5060045519235457,https://ror.org/003s20294,CO,Santiago de Cali,Centro Internacional de Entrenamiento e Investigaciones Medicas,nonprofit
-1.5060045519235457,https://ror.org/00nxce326,CO,Bogotá,Fundación Universitaria Cafam,education
-1.506080612081871,https://ror.org/00n7m6g17,CO,Bogotá,Politécnico Grancolombiano,education
-1.5214996883244583,https://ror.org/030kw0b65,CO,Medellín,Universidad de Medellín,education
-1.5324457595600287,https://ror.org/000xmhb57,CO,Bogotá,Universidad Incca de Colombia,education
