Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/00cey1j90 -> https://ror.org/031e6xm45,https://ror.org/00cey1j90,https://ror.org/031e6xm45,CO,CO,Barranquilla,Barranquilla,Universidad Metropolitana,Universidad del Norte,education,education
1,https://ror.org/00dxj9a45 -> https://ror.org/00dxj9a45,https://ror.org/00dxj9a45,https://ror.org/00dxj9a45,CO,CO,Cali,Cali,Universidad Santiago de Cali,Universidad Santiago de Cali,education,education
1,https://ror.org/00dxj9a45 -> https://ror.org/00f5xw084,https://ror.org/00dxj9a45,https://ror.org/00f5xw084,CO,CO,Cali,Roldanillo,Universidad Santiago de Cali,Instituto de Educación Técnica Profesional de Roldanillo,education,education
1,https://ror.org/00dxj9a45 -> https://ror.org/01wsvqj37,https://ror.org/00dxj9a45,https://ror.org/01wsvqj37,CO,CO,Cali,Cali,Universidad Santiago de Cali,Institución Universitaria Escuela Nacional del Deporte,education,education
1,https://ror.org/00ffq6216 -> https://ror.org/047179s14,https://ror.org/00ffq6216,https://ror.org/047179s14,CO,CO,Tuluá,Bogotá,Central University of Valle del Cauca,Universidad Nacional Abierta y a Distancia,education,education
4,https://ror.org/00jb9vg53 -> https://ror.org/00jb9vg53,https://ror.org/00jb9vg53,https://ror.org/00jb9vg53,CO,CO,Cali,Cali,University of Valle,University of Valle,education,education
1,https://ror.org/00jb9vg53 -> https://ror.org/00xdnjz02,https://ror.org/00jb9vg53,https://ror.org/00xdnjz02,CO,CO,Cali,Santiago de Cali,University of Valle,Fundación Valle del Lili,education,other
1,https://ror.org/00jb9vg53 -> https://ror.org/02g36m681,https://ror.org/00jb9vg53,https://ror.org/02g36m681,CO,CO,Cali,Soledad,University of Valle,Instituto Tecnológico de Soledad Atlántico,education,education
1,https://ror.org/00jb9vg53 -> https://ror.org/03yxg7206,https://ror.org/00jb9vg53,https://ror.org/03yxg7206,CO,CO,Cali,Bogotá,University of Valle,Instituto Nacional de Salud,education,government
1,https://ror.org/00jfare13 -> https://ror.org/049n68p64,https://ror.org/00jfare13,https://ror.org/049n68p64,CO,CO,Manizales,Manizales,Universidad Autonoma de Manizales,University of Caldas,education,education
