OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.484071059601374e-06,https://ror.org/00asevw10,CR,San José,Universidad para la Cooperación Internacional,education
0.0,https://ror.org/011fq2d43,CR,San José,Consejo Nacional para Investigaciones Científicas y Tecnológicas,government
0.0,https://ror.org/035t09566,CR,San José,University of Tourism,education
-0.028535281386829495,https://ror.org/033fgr632,CR,San José,Universidad de Ciencias Medicas,education
-0.23991476845849596,https://ror.org/0367eqd42,CR,San José,Instituto Centroamericano de Administración Pública,education
-0.26725799890466373,https://ror.org/03q0gmx50,CR,San José,Universidad Libre de Costa Rica,education
-0.6433639494631583,https://ror.org/05tkvpg69,CR,Turrialba,Centro Agronomico Tropical de Investigacion y Ensenanza Catie,education
-0.7583896707322144,https://ror.org/04zhrfn38,CR,Cartago,Instituto Tecnológico de Costa Rica,education
-0.9999855874376655,https://ror.org/03tz0hf33,CR,San José,Universidad Internacional San Isidro Labrador,education
-1.0284835876351992,https://ror.org/04skaq459,CR,San José,Hospital Nacional de Niños,healthcare
-1.0285670925810289,https://ror.org/00bmh7e34,CR,San José,Universidad Autónoma de Centro América,education
-1.0285787831813442,https://ror.org/02yzgww51,CR,San José,Universidad de Costa Rica,education
-1.04579118179205,https://ror.org/00x76st93,CR,San José,Universidad Católica de Costa Rica,education
-1.2125715854887682,https://ror.org/01t466c14,CR,Heredia,Universidad Nacional,education
-1.2672804499027464,https://ror.org/0529rbt18,CR,San Pedro,Distance State University,education
-1.367641979239454,https://ror.org/01s9pbd40,CR,Alajuela,Universidad Técnica Nacional,education
-1.602307111285345,https://ror.org/04yd0ad61,CR,San Pedro,Latin University of Costa Rica,education
-1.6433439220988721,https://ror.org/05byh2e17,CR,Limón,Earth University,education
-1.6665674640239827,https://ror.org/0175p1a50,CR,San José,Universidad Latinoamericana de Ciencia y Tecnología,education
-1.7583677485723892,https://ror.org/02s4dhq46,CR,Santo Domingo,National Biodiversity Institute,nonprofit
-2.028555041787852,https://ror.org/04edxwx83,CR,San José,Fidélitas University,education
-2.0285707849669037,https://ror.org/02jcd6j26,CR,San José,Costa Rican Department of Social Security,other
