Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/00asevw10 -> https://ror.org/01t466c14,https://ror.org/00asevw10,https://ror.org/01t466c14,CR,CR,San José,Heredia,Universidad para la Cooperación Internacional,Universidad Nacional,education,education
1,https://ror.org/00asevw10 -> https://ror.org/02yzgww51,https://ror.org/00asevw10,https://ror.org/02yzgww51,CR,CR,San José,San José,Universidad para la Cooperación Internacional,Universidad de Costa Rica,education,education
1,https://ror.org/00asevw10 -> https://ror.org/03tz0hf33,https://ror.org/00asevw10,https://ror.org/03tz0hf33,CR,CR,San José,San José,Universidad para la Cooperación Internacional,Universidad Internacional San Isidro Labrador,education,education
1,https://ror.org/00asevw10 -> https://ror.org/04zhrfn38,https://ror.org/00asevw10,https://ror.org/04zhrfn38,CR,CR,San José,Cartago,Universidad para la Cooperación Internacional,Instituto Tecnológico de Costa Rica,education,education
1,https://ror.org/00bmh7e34 -> https://ror.org/02yzgww51,https://ror.org/00bmh7e34,https://ror.org/02yzgww51,CR,CR,San José,San José,Universidad Autónoma de Centro América,Universidad de Costa Rica,education,education
1,https://ror.org/00x76st93 -> https://ror.org/00x76st93,https://ror.org/00x76st93,https://ror.org/00x76st93,CR,CR,San José,San José,Universidad Católica de Costa Rica,Universidad Católica de Costa Rica,education,education
1,https://ror.org/00x76st93 -> https://ror.org/01s9pbd40,https://ror.org/00x76st93,https://ror.org/01s9pbd40,CR,CR,San José,Alajuela,Universidad Católica de Costa Rica,Universidad Técnica Nacional,education,education
1,https://ror.org/00x76st93 -> https://ror.org/02yzgww51,https://ror.org/00x76st93,https://ror.org/02yzgww51,CR,CR,San José,San José,Universidad Católica de Costa Rica,Universidad de Costa Rica,education,education
1,https://ror.org/011fq2d43 -> https://ror.org/011fq2d43,https://ror.org/011fq2d43,https://ror.org/011fq2d43,CR,CR,San José,San José,Consejo Nacional para Investigaciones Científicas y Tecnológicas,Consejo Nacional para Investigaciones Científicas y Tecnológicas,government,government
3,https://ror.org/0175p1a50 -> https://ror.org/0175p1a50,https://ror.org/0175p1a50,https://ror.org/0175p1a50,CR,CR,San José,San José,Universidad Latinoamericana de Ciencia y Tecnología,Universidad Latinoamericana de Ciencia y Tecnología,education,education
1,https://ror.org/0175p1a50 -> https://ror.org/01t466c14,https://ror.org/0175p1a50,https://ror.org/01t466c14,CR,CR,San José,Heredia,Universidad Latinoamericana de Ciencia y Tecnología,Universidad Nacional,education,education
1,https://ror.org/01s9pbd40 -> https://ror.org/02yzgww51,https://ror.org/01s9pbd40,https://ror.org/02yzgww51,CR,CR,Alajuela,San José,Universidad Técnica Nacional,Universidad de Costa Rica,education,education
2,https://ror.org/01t466c14 -> https://ror.org/0175p1a50,https://ror.org/01t466c14,https://ror.org/0175p1a50,CR,CR,Heredia,San José,Universidad Nacional,Universidad Latinoamericana de Ciencia y Tecnología,education,education
13,https://ror.org/01t466c14 -> https://ror.org/01t466c14,https://ror.org/01t466c14,https://ror.org/01t466c14,CR,CR,Heredia,Heredia,Universidad Nacional,Universidad Nacional,education,education
9,https://ror.org/01t466c14 -> https://ror.org/02yzgww51,https://ror.org/01t466c14,https://ror.org/02yzgww51,CR,CR,Heredia,San José,Universidad Nacional,Universidad de Costa Rica,education,education
2,https://ror.org/01t466c14 -> https://ror.org/04yd0ad61,https://ror.org/01t466c14,https://ror.org/04yd0ad61,CR,CR,Heredia,San Pedro,Universidad Nacional,Latin University of Costa Rica,education,education
1,https://ror.org/02yzgww51 -> https://ror.org/00bmh7e34,https://ror.org/02yzgww51,https://ror.org/00bmh7e34,CR,CR,San José,San José,Universidad de Costa Rica,Universidad Autónoma de Centro América,education,education
1,https://ror.org/02yzgww51 -> https://ror.org/00x76st93,https://ror.org/02yzgww51,https://ror.org/00x76st93,CR,CR,San José,San José,Universidad de Costa Rica,Universidad Católica de Costa Rica,education,education
1,https://ror.org/02yzgww51 -> https://ror.org/0175p1a50,https://ror.org/02yzgww51,https://ror.org/0175p1a50,CR,CR,San José,San José,Universidad de Costa Rica,Universidad Latinoamericana de Ciencia y Tecnología,education,education
1,https://ror.org/02yzgww51 -> https://ror.org/01s9pbd40,https://ror.org/02yzgww51,https://ror.org/01s9pbd40,CR,CR,San José,Alajuela,Universidad de Costa Rica,Universidad Técnica Nacional,education,education
