OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.1459316936051431,https://ror.org/02rbemf16,CU,Santa Clara,Universidad de Ciencias Médicas de Villa Clara,education
1.1134377772434787,https://ror.org/05m031e17,CU,Cienfuegos,University of Cienfuegos,education
1.096197769392982,https://ror.org/02s2a9m37,CU,Havana,Agricultural University of Havana,education
1.061878181781979,https://ror.org/05s89mm67,CU,Cienfuegos,Universidad de Ciencias Médicas de Cienfuegos,education
0.9778061182882145,https://ror.org/02zttza43,CU,Havana,Ministerio de Salud Pública,government
0.9532786811586041,https://ror.org/03zxtdc90,CU,Havana,Centro Nacional de Investigaciones Científicas,facility
0.6411381591502664,https://ror.org/044avja84,CU,Havana,Universidad de Ciencias Pedagógicas Enrique José Varona,education
0.6098527312287924,https://ror.org/015sct804,CU,Sancti Spíritus,Universidad de Ciencias Médicas de Sancti Spíritus,education
0.521827608159816,https://ror.org/024mh1n48,CU,Pinar del Río,Universidad de Ciencias Médicas de Pinar del Río,education
0.5198399921749053,https://ror.org/03y8xgp13,CU,Havana,"Instituto Nacional de Higiene, Epidemiología y Microbiología",education
0.37722423528516585,https://ror.org/00zhs8v21,CU,Ciego de Ávila,University of Ciego de Ávila,education
0.3767222182888627,https://ror.org/01ysbeb83,CU,Holguín,Universidad de Ciencias Pedagógicas José de la Luz Caballero,education
0.23278306457229017,https://ror.org/04204gr61,CU,Havana,University of Havana,education
0.1733984728439764,https://ror.org/00rk1k743,CU,Havana,Cuban Neuroscience Center,facility
0.11347917255876208,https://ror.org/01cdy6h50,CU,Santa Clara,Central University of Las Villas,education
0.0961987281440866,https://ror.org/02pft9k47,CU,San José de las Lajas,Centro Nacional de Sanidad Agropecuaria,other
0.09619688836912113,https://ror.org/01tg4ja34,CU,Matanzas,Estación Experimental de Pastos y Forrajes Indio Hatuey,facility
0.050904405995514206,https://ror.org/03qxwgf98,CU,Havana,Centro de Ingeniería Genética y Biotecnología,facility
0.0,https://ror.org/007chxf81,CU,Pinar del Río,University of Pinar del Río,education
0.0,https://ror.org/03y42nm11,CU,Santa Clara,Universidad de Ciencias Pedagógicas Félix Varela Morales,education
0.0,https://ror.org/047d13a24,CU,Guantánamo,Universidad de Guantánamo,education
0.0,https://ror.org/0488pxx86,CU,Bayamo,University of Granma,education
0.0,https://ror.org/04hk86037,CU,Matanzas,University of Matanzas,education
-0.022185777518360754,https://ror.org/05328fn02,CU,Havana,Hermanos Ameijeiras Hospital,healthcare
-0.022187171036060205,https://ror.org/01c5r7j06,CU,Havana,Instituto de Neurologia Y Neurocirugia,facility
-0.022187171036060205,https://ror.org/05dd4dx68,CU,Havana,Instituto de Hematología e Inmunología,healthcare
-0.04672574727225521,https://ror.org/04fkhbv91,CU,Havana,Centro Nacional de Información de Ciencias Médicas,government
-0.2061615472779657,https://ror.org/000kkgk42,CU,Havana,Instituto de Oncología y Radiobiología,healthcare
-0.5400354215639611,https://ror.org/02vksp793,CU,Havana,Instituto de Investigaciones en Fruticultura Tropical,facility
-0.6227360983535002,https://ror.org/022camr20,CU,Havana,University of Information Science,education
-0.6230919815965932,https://ror.org/05fj29j73,CU,Las Tunas,Universidad de Las Tunas,education
-0.7667820288737076,https://ror.org/040qyzk67,CU,Camagüey,University of Camagüey,education
-0.7670231818162364,https://ror.org/03m558m37,CU,Havana,University of Pedagogical Sciences,education
-0.7672002676415601,https://ror.org/02xqrgv78,CU,Havana,"Ministerio de Ciencia, Tecnología y Medio Ambiente",government
-0.7672002676415601,https://ror.org/03kqap970,CU,Santiago de Cuba,University of Santiago de Cuba,education
-0.7672105140833668,https://ror.org/00kq7a553,CU,Havana,Finlay Institute,facility
-0.7672144288389712,https://ror.org/03evg0379,CU,Havana,Higher Institute of Technologies and Applied Sciences,education
-0.8265864526069118,https://ror.org/04770s302,CU,Havana,International Center of Neurologic Restoration,facility
-0.8566985210023749,https://ror.org/05fheeb41,CU,Sancti Spíritus,University of Sancti Spíritus José Martí Pérez,education
-1.76686932008256,https://ror.org/03m84a908,CU,Holguín,University of Holguín,education
