Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/007chxf81 -> https://ror.org/007chxf81,https://ror.org/007chxf81,https://ror.org/007chxf81,CU,CU,Pinar del Río,Pinar del Río,University of Pinar del Río,University of Pinar del Río,education,education
2,https://ror.org/00rk1k743 -> https://ror.org/00rk1k743,https://ror.org/00rk1k743,https://ror.org/00rk1k743,CU,CU,Havana,Havana,Cuban Neuroscience Center,Cuban Neuroscience Center,facility,facility
4,https://ror.org/00rk1k743 -> https://ror.org/04204gr61,https://ror.org/00rk1k743,https://ror.org/04204gr61,CU,CU,Havana,Havana,Cuban Neuroscience Center,University of Havana,facility,education
1,https://ror.org/00rk1k743 -> https://ror.org/04770s302,https://ror.org/00rk1k743,https://ror.org/04770s302,CU,CU,Havana,Havana,Cuban Neuroscience Center,International Center of Neurologic Restoration,facility,facility
22,https://ror.org/00zhs8v21 -> https://ror.org/00zhs8v21,https://ror.org/00zhs8v21,https://ror.org/00zhs8v21,CU,CU,Ciego de Ávila,Ciego de Ávila,University of Ciego de Ávila,University of Ciego de Ávila,education,education
2,https://ror.org/00zhs8v21 -> https://ror.org/01cdy6h50,https://ror.org/00zhs8v21,https://ror.org/01cdy6h50,CU,CU,Ciego de Ávila,Santa Clara,University of Ciego de Ávila,Central University of Las Villas,education,education
1,https://ror.org/00zhs8v21 -> https://ror.org/022camr20,https://ror.org/00zhs8v21,https://ror.org/022camr20,CU,CU,Ciego de Ávila,Havana,University of Ciego de Ávila,University of Information Science,education,education
1,https://ror.org/00zhs8v21 -> https://ror.org/05fj29j73,https://ror.org/00zhs8v21,https://ror.org/05fj29j73,CU,CU,Ciego de Ávila,Las Tunas,University of Ciego de Ávila,Universidad de Las Tunas,education,education
1,https://ror.org/015sct804 -> https://ror.org/000kkgk42,https://ror.org/015sct804,https://ror.org/000kkgk42,CU,CU,Sancti Spíritus,Havana,Universidad de Ciencias Médicas de Sancti Spíritus,Instituto de Oncología y Radiobiología,education,healthcare
15,https://ror.org/015sct804 -> https://ror.org/015sct804,https://ror.org/015sct804,https://ror.org/015sct804,CU,CU,Sancti Spíritus,Sancti Spíritus,Universidad de Ciencias Médicas de Sancti Spíritus,Universidad de Ciencias Médicas de Sancti Spíritus,education,education
1,https://ror.org/015sct804 -> https://ror.org/024mh1n48,https://ror.org/015sct804,https://ror.org/024mh1n48,CU,CU,Sancti Spíritus,Pinar del Río,Universidad de Ciencias Médicas de Sancti Spíritus,Universidad de Ciencias Médicas de Pinar del Río,education,education
7,https://ror.org/01cdy6h50 -> https://ror.org/01cdy6h50,https://ror.org/01cdy6h50,https://ror.org/01cdy6h50,CU,CU,Santa Clara,Santa Clara,Central University of Las Villas,Central University of Las Villas,education,education
1,https://ror.org/01cdy6h50 -> https://ror.org/022camr20,https://ror.org/01cdy6h50,https://ror.org/022camr20,CU,CU,Santa Clara,Havana,Central University of Las Villas,University of Information Science,education,education
1,https://ror.org/01cdy6h50 -> https://ror.org/04204gr61,https://ror.org/01cdy6h50,https://ror.org/04204gr61,CU,CU,Santa Clara,Havana,Central University of Las Villas,University of Havana,education,education
3,https://ror.org/01cdy6h50 -> https://ror.org/05fheeb41,https://ror.org/01cdy6h50,https://ror.org/05fheeb41,CU,CU,Santa Clara,Sancti Spíritus,Central University of Las Villas,University of Sancti Spíritus José Martí Pérez,education,education
1,https://ror.org/01ysbeb83 -> https://ror.org/05fj29j73,https://ror.org/01ysbeb83,https://ror.org/05fj29j73,CU,CU,Holguín,Las Tunas,Universidad de Ciencias Pedagógicas José de la Luz Caballero,Universidad de Las Tunas,education,education
4,https://ror.org/022camr20 -> https://ror.org/022camr20,https://ror.org/022camr20,https://ror.org/022camr20,CU,CU,Havana,Havana,University of Information Science,University of Information Science,education,education
2,https://ror.org/024mh1n48 -> https://ror.org/024mh1n48,https://ror.org/024mh1n48,https://ror.org/024mh1n48,CU,CU,Pinar del Río,Pinar del Río,Universidad de Ciencias Médicas de Pinar del Río,Universidad de Ciencias Médicas de Pinar del Río,education,education
1,https://ror.org/024mh1n48 -> https://ror.org/02zttza43,https://ror.org/024mh1n48,https://ror.org/02zttza43,CU,CU,Pinar del Río,Havana,Universidad de Ciencias Médicas de Pinar del Río,Ministerio de Salud Pública,education,government
1,https://ror.org/02rbemf16 -> https://ror.org/015sct804,https://ror.org/02rbemf16,https://ror.org/015sct804,CU,CU,Santa Clara,Sancti Spíritus,Universidad de Ciencias Médicas de Villa Clara,Universidad de Ciencias Médicas de Sancti Spíritus,education,education
22,https://ror.org/02rbemf16 -> https://ror.org/02rbemf16,https://ror.org/02rbemf16,https://ror.org/02rbemf16,CU,CU,Santa Clara,Santa Clara,Universidad de Ciencias Médicas de Villa Clara,Universidad de Ciencias Médicas de Villa Clara,education,education
3,https://ror.org/02rbemf16 -> https://ror.org/02zttza43,https://ror.org/02rbemf16,https://ror.org/02zttza43,CU,CU,Santa Clara,Havana,Universidad de Ciencias Médicas de Villa Clara,Ministerio de Salud Pública,education,government
1,https://ror.org/02rbemf16 -> https://ror.org/03y8xgp13,https://ror.org/02rbemf16,https://ror.org/03y8xgp13,CU,CU,Santa Clara,Havana,Universidad de Ciencias Médicas de Villa Clara,"Instituto Nacional de Higiene, Epidemiología y Microbiología",education,education
1,https://ror.org/02rbemf16 -> https://ror.org/04204gr61,https://ror.org/02rbemf16,https://ror.org/04204gr61,CU,CU,Santa Clara,Havana,Universidad de Ciencias Médicas de Villa Clara,University of Havana,education,education
3,https://ror.org/02s2a9m37 -> https://ror.org/01tg4ja34,https://ror.org/02s2a9m37,https://ror.org/01tg4ja34,CU,CU,Havana,Matanzas,Agricultural University of Havana,Estación Experimental de Pastos y Forrajes Indio Hatuey,education,facility
5,https://ror.org/02s2a9m37 -> https://ror.org/02pft9k47,https://ror.org/02s2a9m37,https://ror.org/02pft9k47,CU,CU,Havana,San José de las Lajas,Agricultural University of Havana,Centro Nacional de Sanidad Agropecuaria,education,other
7,https://ror.org/02s2a9m37 -> https://ror.org/02s2a9m37,https://ror.org/02s2a9m37,https://ror.org/02s2a9m37,CU,CU,Havana,Havana,Agricultural University of Havana,Agricultural University of Havana,education,education
1,https://ror.org/02s2a9m37 -> https://ror.org/02vksp793,https://ror.org/02s2a9m37,https://ror.org/02vksp793,CU,CU,Havana,Havana,Agricultural University of Havana,Instituto de Investigaciones en Fruticultura Tropical,education,facility
1,https://ror.org/02s2a9m37 -> https://ror.org/03qxwgf98,https://ror.org/02s2a9m37,https://ror.org/03qxwgf98,CU,CU,Havana,Havana,Agricultural University of Havana,Centro de Ingeniería Genética y Biotecnología,education,facility
1,https://ror.org/02s2a9m37 -> https://ror.org/04204gr61,https://ror.org/02s2a9m37,https://ror.org/04204gr61,CU,CU,Havana,Havana,Agricultural University of Havana,University of Havana,education,education
1,https://ror.org/02s2a9m37 -> https://ror.org/044avja84,https://ror.org/02s2a9m37,https://ror.org/044avja84,CU,CU,Havana,Havana,Agricultural University of Havana,Universidad de Ciencias Pedagógicas Enrique José Varona,education,education
1,https://ror.org/02zttza43 -> https://ror.org/000kkgk42,https://ror.org/02zttza43,https://ror.org/000kkgk42,CU,CU,Havana,Havana,Ministerio de Salud Pública,Instituto de Oncología y Radiobiología,government,healthcare
1,https://ror.org/02zttza43 -> https://ror.org/00rk1k743,https://ror.org/02zttza43,https://ror.org/00rk1k743,CU,CU,Havana,Havana,Ministerio de Salud Pública,Cuban Neuroscience Center,government,facility
1,https://ror.org/02zttza43 -> https://ror.org/015sct804,https://ror.org/02zttza43,https://ror.org/015sct804,CU,CU,Havana,Sancti Spíritus,Ministerio de Salud Pública,Universidad de Ciencias Médicas de Sancti Spíritus,government,education
2,https://ror.org/02zttza43 -> https://ror.org/01c5r7j06,https://ror.org/02zttza43,https://ror.org/01c5r7j06,CU,CU,Havana,Havana,Ministerio de Salud Pública,Instituto de Neurologia Y Neurocirugia,government,facility
1,https://ror.org/02zttza43 -> https://ror.org/024mh1n48,https://ror.org/02zttza43,https://ror.org/024mh1n48,CU,CU,Havana,Pinar del Río,Ministerio de Salud Pública,Universidad de Ciencias Médicas de Pinar del Río,government,education
2,https://ror.org/02zttza43 -> https://ror.org/02rbemf16,https://ror.org/02zttza43,https://ror.org/02rbemf16,CU,CU,Havana,Santa Clara,Ministerio de Salud Pública,Universidad de Ciencias Médicas de Villa Clara,government,education
141,https://ror.org/02zttza43 -> https://ror.org/02zttza43,https://ror.org/02zttza43,https://ror.org/02zttza43,CU,CU,Havana,Havana,Ministerio de Salud Pública,Ministerio de Salud Pública,government,government
2,https://ror.org/02zttza43 -> https://ror.org/03y8xgp13,https://ror.org/02zttza43,https://ror.org/03y8xgp13,CU,CU,Havana,Havana,Ministerio de Salud Pública,"Instituto Nacional de Higiene, Epidemiología y Microbiología",government,education
4,https://ror.org/02zttza43 -> https://ror.org/04204gr61,https://ror.org/02zttza43,https://ror.org/04204gr61,CU,CU,Havana,Havana,Ministerio de Salud Pública,University of Havana,government,education
1,https://ror.org/02zttza43 -> https://ror.org/044avja84,https://ror.org/02zttza43,https://ror.org/044avja84,CU,CU,Havana,Havana,Ministerio de Salud Pública,Universidad de Ciencias Pedagógicas Enrique José Varona,government,education
9,https://ror.org/02zttza43 -> https://ror.org/04fkhbv91,https://ror.org/02zttza43,https://ror.org/04fkhbv91,CU,CU,Havana,Havana,Ministerio de Salud Pública,Centro Nacional de Información de Ciencias Médicas,government,government
3,https://ror.org/02zttza43 -> https://ror.org/05328fn02,https://ror.org/02zttza43,https://ror.org/05328fn02,CU,CU,Havana,Havana,Ministerio de Salud Pública,Hermanos Ameijeiras Hospital,government,healthcare
2,https://ror.org/02zttza43 -> https://ror.org/05dd4dx68,https://ror.org/02zttza43,https://ror.org/05dd4dx68,CU,CU,Havana,Havana,Ministerio de Salud Pública,Instituto de Hematología e Inmunología,government,healthcare
1,https://ror.org/02zttza43 -> https://ror.org/05s89mm67,https://ror.org/02zttza43,https://ror.org/05s89mm67,CU,CU,Havana,Cienfuegos,Ministerio de Salud Pública,Universidad de Ciencias Médicas de Cienfuegos,government,education
4,https://ror.org/03evg0379 -> https://ror.org/03evg0379,https://ror.org/03evg0379,https://ror.org/03evg0379,CU,CU,Havana,Havana,Higher Institute of Technologies and Applied Sciences,Higher Institute of Technologies and Applied Sciences,education,education
1,https://ror.org/03m558m37 -> https://ror.org/03m84a908,https://ror.org/03m558m37,https://ror.org/03m84a908,CU,CU,Havana,Holguín,University of Pedagogical Sciences,University of Holguín,education,education
6,https://ror.org/03m84a908 -> https://ror.org/03m84a908,https://ror.org/03m84a908,https://ror.org/03m84a908,CU,CU,Holguín,Holguín,University of Holguín,University of Holguín,education,education
1,https://ror.org/03qxwgf98 -> https://ror.org/02vksp793,https://ror.org/03qxwgf98,https://ror.org/02vksp793,CU,CU,Havana,Havana,Centro de Ingeniería Genética y Biotecnología,Instituto de Investigaciones en Fruticultura Tropical,facility,facility
3,https://ror.org/03qxwgf98 -> https://ror.org/03qxwgf98,https://ror.org/03qxwgf98,https://ror.org/03qxwgf98,CU,CU,Havana,Havana,Centro de Ingeniería Genética y Biotecnología,Centro de Ingeniería Genética y Biotecnología,facility,facility
1,https://ror.org/03qxwgf98 -> https://ror.org/04204gr61,https://ror.org/03qxwgf98,https://ror.org/04204gr61,CU,CU,Havana,Havana,Centro de Ingeniería Genética y Biotecnología,University of Havana,facility,education
1,https://ror.org/03y42nm11 -> https://ror.org/03y42nm11,https://ror.org/03y42nm11,https://ror.org/03y42nm11,CU,CU,Santa Clara,Santa Clara,Universidad de Ciencias Pedagógicas Félix Varela Morales,Universidad de Ciencias Pedagógicas Félix Varela Morales,education,education
