Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
93,https://ror.org/00excyz84 -> https://ror.org/00excyz84,https://ror.org/00excyz84,https://ror.org/00excyz84,CY,CY,Famagusta,Famagusta,Eastern Mediterranean University,Eastern Mediterranean University,education,education
2,https://ror.org/00excyz84 -> https://ror.org/01jz1cr68,https://ror.org/00excyz84,https://ror.org/01jz1cr68,CY,CY,Famagusta,Kyrenia,Eastern Mediterranean University,Kıbrıs İlim Üniversitesi,education,education
5,https://ror.org/00excyz84 -> https://ror.org/026b8w395,https://ror.org/00excyz84,https://ror.org/026b8w395,CY,CY,Famagusta,Kyrenia,Eastern Mediterranean University,Girne American University,education,education
1,https://ror.org/00excyz84 -> https://ror.org/02r21n227,https://ror.org/00excyz84,https://ror.org/02r21n227,CY,CY,Famagusta,Nicosia,Eastern Mediterranean University,Rauf Denktas University,education,education
5,https://ror.org/00excyz84 -> https://ror.org/02x8svs93,https://ror.org/00excyz84,https://ror.org/02x8svs93,CY,CY,Famagusta,Nicosia,Eastern Mediterranean University,Near East University,education,education
1,https://ror.org/00excyz84 -> https://ror.org/039k9vd92,https://ror.org/00excyz84,https://ror.org/039k9vd92,CY,CY,Famagusta,Nicosia,Eastern Mediterranean University,Ministry of Education and Culture,education,government
2,https://ror.org/00excyz84 -> https://ror.org/040knvs26,https://ror.org/00excyz84,https://ror.org/040knvs26,CY,CY,Famagusta,Nicosia,Eastern Mediterranean University,University of Mediterranean Karpasia,education,education
6,https://ror.org/00excyz84 -> https://ror.org/04mk5mk38,https://ror.org/00excyz84,https://ror.org/04mk5mk38,CY,CY,Famagusta,Nicosia,Eastern Mediterranean University,Cyprus International University,education,education
5,https://ror.org/00excyz84 -> https://ror.org/051j6j225,https://ror.org/00excyz84,https://ror.org/051j6j225,CY,CY,Famagusta,Kyrenia,Eastern Mediterranean University,Final International University,education,education
1,https://ror.org/00excyz84 -> https://ror.org/05wyxj832,https://ror.org/00excyz84,https://ror.org/05wyxj832,CY,CY,Famagusta,Kyrenia,Eastern Mediterranean University,University of Kyrenia,education,education
1,https://ror.org/012gfrj24 -> https://ror.org/012gfrj24,https://ror.org/012gfrj24,https://ror.org/012gfrj24,CY,CY,Nicosia,Nicosia,Intercollege,Intercollege,education,education
1,https://ror.org/012gfrj24 -> https://ror.org/05qt8tf94,https://ror.org/012gfrj24,https://ror.org/05qt8tf94,CY,CY,Nicosia,Limassol,Intercollege,Cyprus University of Technology,education,education
4,https://ror.org/01ggsp920 -> https://ror.org/01ggsp920,https://ror.org/01ggsp920,https://ror.org/01ggsp920,CY,CY,Nicosia,Nicosia,Cyprus Institute of Neurology and Genetics,Cyprus Institute of Neurology and Genetics,nonprofit,nonprofit
1,https://ror.org/01ggsp920 -> https://ror.org/02qjrjx09,https://ror.org/01ggsp920,https://ror.org/02qjrjx09,CY,CY,Nicosia,Nicosia,Cyprus Institute of Neurology and Genetics,University of Cyprus,nonprofit,education
4,https://ror.org/01ggsp920 -> https://ror.org/04v18t651,https://ror.org/01ggsp920,https://ror.org/04v18t651,CY,CY,Nicosia,Nicosia,Cyprus Institute of Neurology and Genetics,University of Nicosia,nonprofit,education
1,https://ror.org/01q8k8p90 -> https://ror.org/01q8k8p90,https://ror.org/01q8k8p90,https://ror.org/01q8k8p90,CY,CY,Nicosia,Nicosia,Cyprus Institute,Cyprus Institute,other,other
1,https://ror.org/026b8w395 -> https://ror.org/00excyz84,https://ror.org/026b8w395,https://ror.org/00excyz84,CY,CY,Kyrenia,Famagusta,Girne American University,Eastern Mediterranean University,education,education
7,https://ror.org/026b8w395 -> https://ror.org/026b8w395,https://ror.org/026b8w395,https://ror.org/026b8w395,CY,CY,Kyrenia,Kyrenia,Girne American University,Girne American University,education,education
2,https://ror.org/026b8w395 -> https://ror.org/02x8svs93,https://ror.org/026b8w395,https://ror.org/02x8svs93,CY,CY,Kyrenia,Nicosia,Girne American University,Near East University,education,education
2,https://ror.org/026b8w395 -> https://ror.org/04mk5mk38,https://ror.org/026b8w395,https://ror.org/04mk5mk38,CY,CY,Kyrenia,Nicosia,Girne American University,Cyprus International University,education,education
1,https://ror.org/026b8w395 -> https://ror.org/051j6j225,https://ror.org/026b8w395,https://ror.org/051j6j225,CY,CY,Kyrenia,Kyrenia,Girne American University,Final International University,education,education
1,https://ror.org/02qjrjx09 -> https://ror.org/00zaskn60,https://ror.org/02qjrjx09,https://ror.org/00zaskn60,CY,CY,Nicosia,Nicosia,University of Cyprus,College of Tourism and Hotel Management,education,education
