Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/008atfr08 -> https://ror.org/008atfr08,https://ror.org/008atfr08,https://ror.org/008atfr08,CZ,CZ,Prague,Prague,Unicorn University,Unicorn University,education,education
1,https://ror.org/009e9xr64 -> https://ror.org/00y6khe77,https://ror.org/009e9xr64,https://ror.org/00y6khe77,CZ,CZ,Prague,Prague,Fakultní nemocnice Bulovka,Ministry of Health,healthcare,government
1,https://ror.org/00ecy3w15 -> https://ror.org/04vjwcp92,https://ror.org/00ecy3w15,https://ror.org/04vjwcp92,CZ,CZ,Prague,Ústí nad Labem,Jan Amos Komensky University,Jan Evangelista Purkyně University in Ústí nad Labem,education,education
1,https://ror.org/00nbs1824 -> https://ror.org/02j46qs45,https://ror.org/00nbs1824,https://ror.org/02j46qs45,CZ,CZ,Brno,Brno,St. Anne’s University Hospital Brno,Masaryk University,healthcare,education
2,https://ror.org/00pyqav47 -> https://ror.org/00a6yph09,https://ror.org/00pyqav47,https://ror.org/00a6yph09,CZ,CZ,Ostrava,Ostrava,University of Ostrava,University Hospital Ostrava,education,healthcare
29,https://ror.org/00pyqav47 -> https://ror.org/00pyqav47,https://ror.org/00pyqav47,https://ror.org/00pyqav47,CZ,CZ,Ostrava,Ostrava,University of Ostrava,University of Ostrava,education,education
1,https://ror.org/00pyqav47 -> https://ror.org/02h92td50,https://ror.org/00pyqav47,https://ror.org/02h92td50,CZ,CZ,Ostrava,Prague,University of Ostrava,Police Academy of the Czech Republic,education,education
2,https://ror.org/00pyqav47 -> https://ror.org/02j46qs45,https://ror.org/00pyqav47,https://ror.org/02j46qs45,CZ,CZ,Ostrava,Brno,University of Ostrava,Masaryk University,education,education
1,https://ror.org/00pyqav47 -> https://ror.org/033n3pw66,https://ror.org/00pyqav47,https://ror.org/033n3pw66,CZ,CZ,Ostrava,České Budějovice,University of Ostrava,University of South Bohemia in České Budějovice,education,education
2,https://ror.org/00pyqav47 -> https://ror.org/040t43x18,https://ror.org/00pyqav47,https://ror.org/040t43x18,CZ,CZ,Ostrava,Pilsen,University of Ostrava,University of West Bohemia,education,education
1,https://ror.org/00pyqav47 -> https://ror.org/0415vcw02,https://ror.org/00pyqav47,https://ror.org/0415vcw02,CZ,CZ,Ostrava,Prague,University of Ostrava,Czech University of Life Sciences Prague,education,education
1,https://ror.org/00pyqav47 -> https://ror.org/04qxnmv42,https://ror.org/00pyqav47,https://ror.org/04qxnmv42,CZ,CZ,Ostrava,Olomouc,University of Ostrava,Palacký University Olomouc,education,education
1,https://ror.org/00pyqav47 -> https://ror.org/053avzc18,https://ror.org/00pyqav47,https://ror.org/053avzc18,CZ,CZ,Ostrava,Prague,University of Ostrava,Czech Academy of Sciences,education,government
2,https://ror.org/00pyqav47 -> https://ror.org/05k238v14,https://ror.org/00pyqav47,https://ror.org/05k238v14,CZ,CZ,Ostrava,Hradec Králové,University of Ostrava,University of Hradec Králové,education,education
3,https://ror.org/00qq1fp34 -> https://ror.org/02j46qs45,https://ror.org/00qq1fp34,https://ror.org/02j46qs45,CZ,CZ,Brno,Brno,University Hospital Brno,Masaryk University,healthcare,education
2,https://ror.org/0125yxn03 -> https://ror.org/024d6js02,https://ror.org/0125yxn03,https://ror.org/024d6js02,CZ,CZ,Prague,Prague,University Hospital in Motol,Charles University,healthcare,education
42,https://ror.org/01chzd453 -> https://ror.org/01chzd453,https://ror.org/01chzd453,https://ror.org/01chzd453,CZ,CZ,Pardubice,Pardubice,University of Pardubice,University of Pardubice,education,education
1,https://ror.org/01chzd453 -> https://ror.org/029ecwj92,https://ror.org/01chzd453,https://ror.org/029ecwj92,CZ,CZ,Pardubice,Prague,University of Pardubice,Prague University of Economics and Business,education,education
1,https://ror.org/01chzd453 -> https://ror.org/02fzn1g05,https://ror.org/01chzd453,https://ror.org/02fzn1g05,CZ,CZ,Pardubice,Dolní Dobrouč,University of Pardubice,Contipro (Czechia),education,company
1,https://ror.org/01chzd453 -> https://ror.org/02hp1db34,https://ror.org/01chzd453,https://ror.org/02hp1db34,CZ,CZ,Pardubice,Rybitví,University of Pardubice,Research Institute of Organic Syntheses (Czechia),education,company
1,https://ror.org/01chzd453 -> https://ror.org/033n3pw66,https://ror.org/01chzd453,https://ror.org/033n3pw66,CZ,CZ,Pardubice,České Budějovice,University of Pardubice,University of South Bohemia in České Budějovice,education,education
1,https://ror.org/01chzd453 -> https://ror.org/03613d656,https://ror.org/01chzd453,https://ror.org/03613d656,CZ,CZ,Pardubice,Brno,University of Pardubice,Brno University of Technology,education,education
1,https://ror.org/01chzd453 -> https://ror.org/03rqbe322,https://ror.org/01chzd453,https://ror.org/03rqbe322,CZ,CZ,Pardubice,Brno,University of Pardubice,Transport Research Centre,education,facility
2,https://ror.org/01chzd453 -> https://ror.org/04arkmn57,https://ror.org/01chzd453,https://ror.org/04arkmn57,CZ,CZ,Pardubice,Brno,University of Pardubice,University of Defence,education,education
2,https://ror.org/01chzd453 -> https://ror.org/04qxnmv42,https://ror.org/01chzd453,https://ror.org/04qxnmv42,CZ,CZ,Pardubice,Olomouc,University of Pardubice,Palacký University Olomouc,education,education
7,https://ror.org/01chzd453 -> https://ror.org/053avzc18,https://ror.org/01chzd453,https://ror.org/053avzc18,CZ,CZ,Pardubice,Prague,University of Pardubice,Czech Academy of Sciences,education,government
1,https://ror.org/01chzd453 -> https://ror.org/05c4w7j07,https://ror.org/01chzd453,https://ror.org/05c4w7j07,CZ,CZ,Pardubice,Jihlava,University of Pardubice,College of Polytechnics Jihlava,education,education
1,https://ror.org/01chzd453 -> https://ror.org/05jxt4a42,https://ror.org/01chzd453,https://ror.org/05jxt4a42,CZ,CZ,Pardubice,Pardubice,University of Pardubice,Toseda (Czechia),education,company
2,https://ror.org/01chzd453 -> https://ror.org/05k238v14,https://ror.org/01chzd453,https://ror.org/05k238v14,CZ,CZ,Pardubice,Hradec Králové,University of Pardubice,University of Hradec Králové,education,education
1,https://ror.org/01jxtne23 -> https://ror.org/04qxnmv42,https://ror.org/01jxtne23,https://ror.org/04qxnmv42,CZ,CZ,Olomouc,Olomouc,University Hospital Olomouc,Palacký University Olomouc,healthcare,education
2,https://ror.org/01n7dqn92 -> https://ror.org/01n7dqn92,https://ror.org/01n7dqn92,https://ror.org/01n7dqn92,CZ,CZ,Brno,Brno,Janáček Academy of Music and Performing Arts,Janáček Academy of Music and Performing Arts,education,education
3,https://ror.org/01p7k1986 -> https://ror.org/01p7k1986,https://ror.org/01p7k1986,https://ror.org/01p7k1986,CZ,CZ,Brno,Brno,Central European Institute of Technology,Central European Institute of Technology,education,education
1,https://ror.org/01p7k1986 -> https://ror.org/024d6js02,https://ror.org/01p7k1986,https://ror.org/024d6js02,CZ,CZ,Brno,Prague,Central European Institute of Technology,Charles University,education,education
1,https://ror.org/01p7k1986 -> https://ror.org/02j46qs45,https://ror.org/01p7k1986,https://ror.org/02j46qs45,CZ,CZ,Brno,Brno,Central European Institute of Technology,Masaryk University,education,education
1,https://ror.org/01p7k1986 -> https://ror.org/053avzc18,https://ror.org/01p7k1986,https://ror.org/053avzc18,CZ,CZ,Brno,Prague,Central European Institute of Technology,Czech Academy of Sciences,education,government
1,https://ror.org/01q2qvt95 -> https://ror.org/01q2qvt95,https://ror.org/01q2qvt95,https://ror.org/01q2qvt95,CZ,CZ,Prague,Prague,Institute of Hospitality Management in Prague,Institute of Hospitality Management in Prague,education,education
4,https://ror.org/01zdaff53 -> https://ror.org/01zdaff53,https://ror.org/01zdaff53,https://ror.org/01zdaff53,CZ,CZ,Prague,Prague,Metropolitan University Prague,Metropolitan University Prague,education,education
1,https://ror.org/01zdaff53 -> https://ror.org/024d6js02,https://ror.org/01zdaff53,https://ror.org/024d6js02,CZ,CZ,Prague,Prague,Metropolitan University Prague,Charles University,education,education
1,https://ror.org/01zdaff53 -> https://ror.org/04hp42s89,https://ror.org/01zdaff53,https://ror.org/04hp42s89,CZ,CZ,Prague,Prague,Metropolitan University Prague,Institute of International Relations,education,facility
1,https://ror.org/01zdaff53 -> https://ror.org/04qxnmv42,https://ror.org/01zdaff53,https://ror.org/04qxnmv42,CZ,CZ,Prague,Olomouc,Metropolitan University Prague,Palacký University Olomouc,education,education
1,https://ror.org/020ydms54 -> https://ror.org/020ydms54,https://ror.org/020ydms54,https://ror.org/020ydms54,CZ,CZ,Prague,Prague,University of Finance and Administration,University of Finance and Administration,education,education
1,https://ror.org/020ydms54 -> https://ror.org/029ecwj92,https://ror.org/020ydms54,https://ror.org/029ecwj92,CZ,CZ,Prague,Prague,University of Finance and Administration,Prague University of Economics and Business,education,education
1,https://ror.org/024d6js02 -> https://ror.org/00c3r5g90,https://ror.org/024d6js02,https://ror.org/00c3r5g90,CZ,CZ,Prague,Hradec Králové,Charles University,Generi Biotech (Czechia),education,company
1,https://ror.org/024d6js02 -> https://ror.org/00dnr1h67,https://ror.org/024d6js02,https://ror.org/00dnr1h67,CZ,CZ,Prague,Prague,Charles University,Institute of Criminology and Social Prevention,education,nonprofit
