Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/0004r6b85 -> https://ror.org/0004r6b85,https://ror.org/0004r6b85,https://ror.org/0004r6b85,DE,DE,Biberach an der Riß,Biberach an der Riß,University of Applied Sciences Biberach,University of Applied Sciences Biberach,education,education
1,https://ror.org/0004r6b85 -> https://ror.org/03zh5eq96,https://ror.org/0004r6b85,https://ror.org/03zh5eq96,DE,DE,Biberach an der Riß,Offenburg,University of Applied Sciences Biberach,Offenburg University of Applied Sciences,education,education
1,https://ror.org/000evwg49 -> https://ror.org/00fbnyb24,https://ror.org/000evwg49,https://ror.org/00fbnyb24,DE,DE,Weimar,Würzburg,University of Music FRANZ LISZT Weimar,University of Würzburg,education,education
1,https://ror.org/000evwg49 -> https://ror.org/0245cg223,https://ror.org/000evwg49,https://ror.org/0245cg223,DE,DE,Weimar,Freiburg im Breisgau,University of Music FRANZ LISZT Weimar,University of Freiburg,education,education
1,https://ror.org/000tpgs13 -> https://ror.org/000tpgs13,https://ror.org/000tpgs13,https://ror.org/000tpgs13,DE,DE,Kiel,Kiel,Muthesius University in Kiel,Muthesius University in Kiel,education,education
4,https://ror.org/001vjqx13 -> https://ror.org/001vjqx13,https://ror.org/001vjqx13,https://ror.org/001vjqx13,DE,DE,Berlin,Berlin,MSB Medical School Berlin,MSB Medical School Berlin,education,education
1,https://ror.org/001w7jn25 -> https://ror.org/001vjqx13,https://ror.org/001w7jn25,https://ror.org/001vjqx13,DE,DE,Berlin,Berlin,Charité - Universitätsmedizin Berlin,MSB Medical School Berlin,healthcare,education
59,https://ror.org/001w7jn25 -> https://ror.org/001w7jn25,https://ror.org/001w7jn25,https://ror.org/001w7jn25,DE,DE,Berlin,Berlin,Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,healthcare,healthcare
2,https://ror.org/001w7jn25 -> https://ror.org/00fbnyb24,https://ror.org/001w7jn25,https://ror.org/00fbnyb24,DE,DE,Berlin,Würzburg,Charité - Universitätsmedizin Berlin,University of Würzburg,healthcare,education
2,https://ror.org/001w7jn25 -> https://ror.org/00ggpsq73,https://ror.org/001w7jn25,https://ror.org/00ggpsq73,DE,DE,Berlin,Magdeburg,Charité - Universitätsmedizin Berlin,Otto-von-Guericke University Magdeburg,healthcare,education
