OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.0109770433510794,https://ror.org/05gs3fb07,DK,Aarhus,Aarhus School of Architecture,education
0.9910353911453138,https://ror.org/0290a6k23,DK,Vejle,Region of Southern Denmark,other
0.7083954185184809,https://ror.org/00t2n7611,DK,Roskilde,Roskilde Sygehus,healthcare
0.48546096873606426,https://ror.org/04cz2sw33,DK,Copenhagen,Geocenter Denmark,other
0.45310988029272237,https://ror.org/035b05819,DK,Copenhagen,University of Copenhagen,education
0.42159467653543525,https://ror.org/02zxd7j32,DK,Copenhagen,Fonden af 17-12-1981,nonprofit
0.38965223298398616,https://ror.org/01aj84f44,DK,Aarhus,Aarhus University,education
0.306473932044797,https://ror.org/02309jg23,DK,Copenhagen,IT University of Copenhagen,education
0.2846117147590281,https://ror.org/031gjxb79,DK,Copenhagen,"Royal Danish Academy – Architecture, Design, Conservation",education
0.2169075952683188,https://ror.org/02akzdv37,DK,Aalborg,Mech-Sense,facility
0.21409737955384586,https://ror.org/04c3dhk56,DK,Nykøbing Falster,Nykøbing F. Hospital,healthcare
0.19371181603201987,https://ror.org/04sppb023,DK,Copenhagen,Copenhagen Business School,education
0.19008867621201236,https://ror.org/04qtj9h94,DK,Kongens Lyngby,Technical University of Denmark,education
0.13311233371185455,https://ror.org/04m5j1k67,DK,Aalborg,Aalborg University,education
0.07603962805520961,https://ror.org/00wys9y90,DK,Herlev,Herlev Hospital,healthcare
0.07116606188608261,https://ror.org/04q65x027,DK,Sønderborg,Sygehus Sønderjylland,healthcare
0.06541071155069565,https://ror.org/03yrrjy16,DK,Odense,University of Southern Denmark,education
0.05596974563453903,https://ror.org/04p0nk708,DK,Herning,Regional Hospital West Jutland,healthcare
0.0003057376890913993,https://ror.org/00363z010,DK,Roskilde,Zealand University Hospital,healthcare
0.0,https://ror.org/003gkfx86,DK,Aalborg,North Denmark Region,government
0.0,https://ror.org/03twmm656,DK,Odense,Syddansk Erhvervsskole,education
-0.012974522895809366,https://ror.org/055hfb865,DK,Copenhagen,Carlsberg Laboratory,facility
-0.02007167084539127,https://ror.org/051dzw862,DK,Copenhagen,Gentofte Hospital,healthcare
-0.027580641395004293,https://ror.org/016nge880,DK,Hillerød,Nordsjællands Hospital,healthcare
-0.08307532383792543,https://ror.org/014axpa37,DK,Roskilde,Roskilde University,education
-0.15054943543244353,https://ror.org/04jewc589,DK,Fredericia,Lillebaelt Hospital,healthcare
