Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
4,https://ror.org/00363z010 -> https://ror.org/00363z010,https://ror.org/00363z010,https://ror.org/00363z010,DK,DK,Roskilde,Roskilde,Zealand University Hospital,Zealand University Hospital,healthcare,healthcare
4,https://ror.org/00363z010 -> https://ror.org/035b05819,https://ror.org/00363z010,https://ror.org/035b05819,DK,DK,Roskilde,Copenhagen,Zealand University Hospital,University of Copenhagen,healthcare,education
5,https://ror.org/00363z010 -> https://ror.org/03yrrjy16,https://ror.org/00363z010,https://ror.org/03yrrjy16,DK,DK,Roskilde,Odense,Zealand University Hospital,University of Southern Denmark,healthcare,education
1,https://ror.org/00363z010 -> https://ror.org/04q65x027,https://ror.org/00363z010,https://ror.org/04q65x027,DK,DK,Roskilde,Sønderborg,Zealand University Hospital,Sygehus Sønderjylland,healthcare,healthcare
1,https://ror.org/003gkfx86 -> https://ror.org/003gkfx86,https://ror.org/003gkfx86,https://ror.org/003gkfx86,DK,DK,Aalborg,Aalborg,North Denmark Region,North Denmark Region,government,government
1,https://ror.org/004r9h172 -> https://ror.org/00363z010,https://ror.org/004r9h172,https://ror.org/00363z010,DK,DK,Copenhagen,Roskilde,University College Copenhagen,Zealand University Hospital,education,healthcare
6,https://ror.org/004r9h172 -> https://ror.org/004r9h172,https://ror.org/004r9h172,https://ror.org/004r9h172,DK,DK,Copenhagen,Copenhagen,University College Copenhagen,University College Copenhagen,education,education
1,https://ror.org/004r9h172 -> https://ror.org/00td68a17,https://ror.org/004r9h172,https://ror.org/00td68a17,DK,DK,Copenhagen,Copenhagen,University College Copenhagen,Bispebjerg Hospital,education,healthcare
1,https://ror.org/004r9h172 -> https://ror.org/00wys9y90,https://ror.org/004r9h172,https://ror.org/00wys9y90,DK,DK,Copenhagen,Herlev,University College Copenhagen,Herlev Hospital,education,healthcare
1,https://ror.org/004r9h172 -> https://ror.org/01dtyv127,https://ror.org/004r9h172,https://ror.org/01dtyv127,DK,DK,Copenhagen,Roskilde,University College Copenhagen,Region Zealand,education,government
7,https://ror.org/004r9h172 -> https://ror.org/035b05819,https://ror.org/004r9h172,https://ror.org/035b05819,DK,DK,Copenhagen,Copenhagen,University College Copenhagen,University of Copenhagen,education,education
1,https://ror.org/004r9h172 -> https://ror.org/03yrrjy16,https://ror.org/004r9h172,https://ror.org/03yrrjy16,DK,DK,Copenhagen,Odense,University College Copenhagen,University of Southern Denmark,education,education
1,https://ror.org/004r9h172 -> https://ror.org/0417ye583,https://ror.org/004r9h172,https://ror.org/0417ye583,DK,DK,Copenhagen,Copenhagen,University College Copenhagen,Statens Serum Institut,education,facility
2,https://ror.org/004r9h172 -> https://ror.org/04m5j1k67,https://ror.org/004r9h172,https://ror.org/04m5j1k67,DK,DK,Copenhagen,Aalborg,University College Copenhagen,Aalborg University,education,education
2,https://ror.org/004r9h172 -> https://ror.org/04qtj9h94,https://ror.org/004r9h172,https://ror.org/04qtj9h94,DK,DK,Copenhagen,Kongens Lyngby,University College Copenhagen,Technical University of Denmark,education,education
1,https://ror.org/004r9h172 -> https://ror.org/04sppb023,https://ror.org/004r9h172,https://ror.org/04sppb023,DK,DK,Copenhagen,Copenhagen,University College Copenhagen,Copenhagen Business School,education,education
1,https://ror.org/004r9h172 -> https://ror.org/04txyc737,https://ror.org/004r9h172,https://ror.org/04txyc737,DK,DK,Copenhagen,Copenhagen,University College Copenhagen,Novo Nordisk Foundation,education,facility
2,https://ror.org/004r9h172 -> https://ror.org/05bpbnx46,https://ror.org/004r9h172,https://ror.org/05bpbnx46,DK,DK,Copenhagen,Copenhagen,University College Copenhagen,Copenhagen University Hospital,education,healthcare
4,https://ror.org/00a736592 -> https://ror.org/00a736592,https://ror.org/00a736592,https://ror.org/00a736592,DK,DK,Kolding,Kolding,Design School Kolding,Design School Kolding,education,education
1,https://ror.org/00a736592 -> https://ror.org/04m5j1k67,https://ror.org/00a736592,https://ror.org/04m5j1k67,DK,DK,Kolding,Aalborg,Design School Kolding,Aalborg University,education,education
1,https://ror.org/00a736592 -> https://ror.org/04qtj9h94,https://ror.org/00a736592,https://ror.org/04qtj9h94,DK,DK,Kolding,Kongens Lyngby,Design School Kolding,Technical University of Denmark,education,education
1,https://ror.org/00d264c35 -> https://ror.org/03yrrjy16,https://ror.org/00d264c35,https://ror.org/03yrrjy16,DK,DK,Frederiksberg,Odense,Frederiksberg Hospital,University of Southern Denmark,healthcare,education
1,https://ror.org/00ey0ed83 -> https://ror.org/00363z010,https://ror.org/00ey0ed83,https://ror.org/00363z010,DK,DK,Odense,Roskilde,Odense University Hospital,Zealand University Hospital,healthcare,healthcare
28,https://ror.org/00ey0ed83 -> https://ror.org/00ey0ed83,https://ror.org/00ey0ed83,https://ror.org/00ey0ed83,DK,DK,Odense,Odense,Odense University Hospital,Odense University Hospital,healthcare,healthcare
1,https://ror.org/00ey0ed83 -> https://ror.org/01aj84f44,https://ror.org/00ey0ed83,https://ror.org/01aj84f44,DK,DK,Odense,Aarhus,Odense University Hospital,Aarhus University,healthcare,education
2,https://ror.org/00ey0ed83 -> https://ror.org/03mchdq19,https://ror.org/00ey0ed83,https://ror.org/03mchdq19,DK,DK,Odense,Copenhagen,Odense University Hospital,Rigshospitalet,healthcare,healthcare
28,https://ror.org/00ey0ed83 -> https://ror.org/03yrrjy16,https://ror.org/00ey0ed83,https://ror.org/03yrrjy16,DK,DK,Odense,Odense,Odense University Hospital,University of Southern Denmark,healthcare,education
3,https://ror.org/00ey0ed83 -> https://ror.org/040r8fr65,https://ror.org/00ey0ed83,https://ror.org/040r8fr65,DK,DK,Odense,Århus,Odense University Hospital,Aarhus University Hospital,healthcare,healthcare
1,https://ror.org/00ey0ed83 -> https://ror.org/04dj1na10,https://ror.org/00ey0ed83,https://ror.org/04dj1na10,DK,DK,Odense,Odense,Odense University Hospital,University College Lillebaelt,healthcare,education
