OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.69851668733484,https://ror.org/05478zz46,DO,Santo Domingo,Universidad Autónoma de Santo Domingo,education
0.6985131781085159,https://ror.org/01mxcr651,DO,Concepción de la Vega,Universidad Católica del Cibao,education
0.5718101161859608,https://ror.org/01mxm0y17,DO,San Pedro de Macorís,Universidad Central del Este,education
0.4266334620021875,https://ror.org/03ad1cn37,DO,Santo Domingo,Universidad Nacional Pedro Henríquez Ureña,education
0.0,https://ror.org/03myyx716,DO,Santiago de los Caballeros,Universidad ISA,education
-7.163116057597749e-07,https://ror.org/004xzjm20,DO,Santo Domingo,Universidad Iberoamericana,education
-0.09556353469741256,https://ror.org/047st1n79,DO,Santo Domingo,Instituto Tecnológico de Santo Domingo,education
-0.2039549401177154,https://ror.org/04ytq6y86,DO,Santo Domingo,Universidad Católica Santo Domingo,education
-0.301483746066812,https://ror.org/011frrw52,DO,Santo Domingo,Universidad Odontológica Dominicana,education
-0.301483746066812,https://ror.org/0250t7374,DO,Santo Domingo,Universidad Federico Henríquez y Carvajal,education
-0.301483746066812,https://ror.org/0298y8x97,DO,Santo Domingo,Hospital Infantil Dr. Robert Reid Cabral,healthcare
-0.301483746066812,https://ror.org/04606qq63,DO,Santo Domingo,Universidad Nacional Evangelica,education
-0.30148595630922775,https://ror.org/054tzxc20,DO,San Francisco de Macorís,Universidad Católica Nordestana,education
-0.3014875670750177,https://ror.org/05kkct931,DO,Santo Domingo,Universidad Acción Pro-Educación y Cultura,education
-0.3921112074395837,https://ror.org/042qbe045,DO,Santo Domingo,Centro de Investigación en Salud Dr. Hugo Mendoza,facility
-0.5733677193680142,https://ror.org/01qt8w311,DO,Santo Domingo,"Ministerio de Educación Superior, Ciencia y Tecnología",government
-0.6498372104445785,https://ror.org/03h800j91,DO,Bonao,Universidad Adventista Dominicana,education
-1.3014870583074352,https://ror.org/02m457w49,DO,Santiago de los Caballeros,Pontificia Universidad Católica Madre y Maestra,education
