Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
8,https://ror.org/004xzjm20 -> https://ror.org/004xzjm20,https://ror.org/004xzjm20,https://ror.org/004xzjm20,DO,DO,Santo Domingo,Santo Domingo,Universidad Iberoamericana,Universidad Iberoamericana,education,education
1,https://ror.org/004xzjm20 -> https://ror.org/047st1n79,https://ror.org/004xzjm20,https://ror.org/047st1n79,DO,DO,Santo Domingo,Santo Domingo,Universidad Iberoamericana,Instituto Tecnológico de Santo Domingo,education,education
1,https://ror.org/01mxcr651 -> https://ror.org/054tzxc20,https://ror.org/01mxcr651,https://ror.org/054tzxc20,DO,DO,Concepción de la Vega,San Francisco de Macorís,Universidad Católica del Cibao,Universidad Católica Nordestana,education,education
5,https://ror.org/01mxm0y17 -> https://ror.org/03h800j91,https://ror.org/01mxm0y17,https://ror.org/03h800j91,DO,DO,San Pedro de Macorís,Bonao,Universidad Central del Este,Universidad Adventista Dominicana,education,education
2,https://ror.org/01mxm0y17 -> https://ror.org/05478zz46,https://ror.org/01mxm0y17,https://ror.org/05478zz46,DO,DO,San Pedro de Macorís,Santo Domingo,Universidad Central del Este,Universidad Autónoma de Santo Domingo,education,education
9,https://ror.org/02m457w49 -> https://ror.org/02m457w49,https://ror.org/02m457w49,https://ror.org/02m457w49,DO,DO,Santiago de los Caballeros,Santiago de los Caballeros,Pontificia Universidad Católica Madre y Maestra,Pontificia Universidad Católica Madre y Maestra,education,education
1,https://ror.org/03ad1cn37 -> https://ror.org/01mxm0y17,https://ror.org/03ad1cn37,https://ror.org/01mxm0y17,DO,DO,Santo Domingo,San Pedro de Macorís,Universidad Nacional Pedro Henríquez Ureña,Universidad Central del Este,education,education
1,https://ror.org/03ad1cn37 -> https://ror.org/01qt8w311,https://ror.org/03ad1cn37,https://ror.org/01qt8w311,DO,DO,Santo Domingo,Santo Domingo,Universidad Nacional Pedro Henríquez Ureña,"Ministerio de Educación Superior, Ciencia y Tecnología",education,government
1,https://ror.org/03ad1cn37 -> https://ror.org/03ad1cn37,https://ror.org/03ad1cn37,https://ror.org/03ad1cn37,DO,DO,Santo Domingo,Santo Domingo,Universidad Nacional Pedro Henríquez Ureña,Universidad Nacional Pedro Henríquez Ureña,education,education
1,https://ror.org/03ad1cn37 -> https://ror.org/042qbe045,https://ror.org/03ad1cn37,https://ror.org/042qbe045,DO,DO,Santo Domingo,Santo Domingo,Universidad Nacional Pedro Henríquez Ureña,Centro de Investigación en Salud Dr. Hugo Mendoza,education,facility
1,https://ror.org/03ad1cn37 -> https://ror.org/047st1n79,https://ror.org/03ad1cn37,https://ror.org/047st1n79,DO,DO,Santo Domingo,Santo Domingo,Universidad Nacional Pedro Henríquez Ureña,Instituto Tecnológico de Santo Domingo,education,education
3,https://ror.org/03ad1cn37 -> https://ror.org/04ytq6y86,https://ror.org/03ad1cn37,https://ror.org/04ytq6y86,DO,DO,Santo Domingo,Santo Domingo,Universidad Nacional Pedro Henríquez Ureña,Universidad Católica Santo Domingo,education,education
1,https://ror.org/03myyx716 -> https://ror.org/03myyx716,https://ror.org/03myyx716,https://ror.org/03myyx716,DO,DO,Santiago de los Caballeros,Santiago de los Caballeros,Universidad ISA,Universidad ISA,education,education
3,https://ror.org/047st1n79 -> https://ror.org/047st1n79,https://ror.org/047st1n79,https://ror.org/047st1n79,DO,DO,Santo Domingo,Santo Domingo,Instituto Tecnológico de Santo Domingo,Instituto Tecnológico de Santo Domingo,education,education
