Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/000jvv118 -> https://ror.org/000jvv118,https://ror.org/000jvv118,https://ror.org/000jvv118,DZ,DZ,Djelfa,Djelfa,Ziane Achour University of Djelfa,Ziane Achour University of Djelfa,education,education
1,https://ror.org/0034tbg85 -> https://ror.org/0034tbg85,https://ror.org/0034tbg85,https://ror.org/0034tbg85,DZ,DZ,Oum el Bouaghi,Oum el Bouaghi,Larbi Ben M'hidi University of Oum El Bouaghi,Larbi Ben M'hidi University of Oum El Bouaghi,education,education
1,https://ror.org/00cepgz04 -> https://ror.org/055rz8d64,https://ror.org/00cepgz04,https://ror.org/055rz8d64,DZ,DZ,Algiers,M’Sila,National Higher School of Statistics and Applied Economy,Université de M'Sila,education,education
10,https://ror.org/00jsjm362 -> https://ror.org/00jsjm362,https://ror.org/00jsjm362,https://ror.org/00jsjm362,DZ,DZ,Tlemcen,Tlemcen,University of Abou Bekr Belkaïd,University of Abou Bekr Belkaïd,education,education
1,https://ror.org/00jsjm362 -> https://ror.org/02ck5yd04,https://ror.org/00jsjm362,https://ror.org/02ck5yd04,DZ,DZ,Tlemcen,Ghardaïa,University of Abou Bekr Belkaïd,University of Ghardaia,education,education
1,https://ror.org/00jsjm362 -> https://ror.org/03mwqca46,https://ror.org/00jsjm362,https://ror.org/03mwqca46,DZ,DZ,Tlemcen,Saïda,University of Abou Bekr Belkaïd,Université de Saida Dr.Moulay Tahar,education,education
1,https://ror.org/00jsjm362 -> https://ror.org/050ktqq97,https://ror.org/00jsjm362,https://ror.org/050ktqq97,DZ,DZ,Tlemcen,Tizi Ouzou,University of Abou Bekr Belkaïd,Mouloud Mammeri University of Tizi-Ouzou,education,education
1,https://ror.org/00jsjm362 -> https://ror.org/05ckyqt97,https://ror.org/00jsjm362,https://ror.org/05ckyqt97,DZ,DZ,Tlemcen,Aïn Temouchent,University of Abou Bekr Belkaïd,Université de ain Témouchent,education,education
3,https://ror.org/00s5q8v96 -> https://ror.org/00s5q8v96,https://ror.org/00s5q8v96,https://ror.org/00s5q8v96,DZ,DZ,El Oued,El Oued,Université d'El-Oued,Université d'El-Oued,education,education
2,https://ror.org/00tnac320 -> https://ror.org/00tnac320,https://ror.org/00tnac320,https://ror.org/00tnac320,DZ,DZ,Tébessa,Tébessa,Université Larbi Tébessi,Université Larbi Tébessi,education,education
