OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.7294531537790124,https://ror.org/05pnzjf85,EC,Jipijapa,Universidad Estatal del Sur de Manabi,education
0.5488384438816389,https://ror.org/02rz0r794,EC,Quito,Facultad Latinoamericana de Ciencias Sociales,other
0.5290186090599256,https://ror.org/02zbepj77,EC,Guayaquil,Universidad Técnica Federico Santa María,education
0.499999930035796,https://ror.org/03z4qet58,EC,Guayaquil,Universidad Agraria del Ecuador,education
0.39564043856341014,https://ror.org/04r23zn56,EC,Cuenca,University of Cuenca,education
0.27605856901401066,https://ror.org/004jbx603,EC,Latacunga,Universidad Técnica de Cotopaxi,education
0.13562299178720907,https://ror.org/03jrrzr69,EC,Quito,Universidad Andina Simón Bolívar,education
0.1177965069692821,https://ror.org/010n0x685,EC,Quito,Central University of Ecuador,education
0.050065085725589625,https://ror.org/04pe1sa24,EC,Guayaquil,Universidad Tecnológica Ecotec,education
3.908223774517746e-05,https://ror.org/0036b6n81,EC,Cuenca,Universidad Católica de Cuenca,education
0.0,https://ror.org/00eg5dk50,EC,Quito,Universidad Del Pacífico Ecuador,education
0.0,https://ror.org/01gb99w41,EC,Quito,National Polytechnic School,education
0.0,https://ror.org/01k410495,EC,La Libertad,Universidad Estatal Península de Santa Elena,education
-0.0015176617157087388,https://ror.org/03a5x6z77,EC,Loja,Universidad Nacional de Loja,education
-0.0322833896161669,https://ror.org/02zyw2q61,EC,Riobamba,Escuela Superior Politécnica del Chimborazo,education
-0.04856147793839096,https://ror.org/04qenc566,EC,Guayaquil,Escuela Superior Politecnica del Litoral,education
-0.1310620139623675,https://ror.org/00nk5y742,EC,Quito,Universidad Internacional SEK,education
-0.162220925595763,https://ror.org/03693e022,EC,Quito,Universidad Iberoamericana del Ecuador,education
-0.18665056697883628,https://ror.org/038bgqv50,EC,Guayaquil,Universidad Laica Vicente Rocafuerte de Guayaquil,education
-0.2224472905487675,https://ror.org/04nr0c858,EC,Quito,Hospital Vozandes,healthcare
-0.2705464118967732,https://ror.org/04dvbth24,EC,Loja,Universidad Técnica Particular de Loja,education
-0.29274295956313845,https://ror.org/011g3me54,EC,Quito,Instituto de Altos Estudios Nacionales,education
-0.3209674945510884,https://ror.org/01m8gvd94,EC,Portoviejo,Universidad Laica Eloy Alfaro de Manabí,education
