Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
6,https://ror.org/0036b6n81 -> https://ror.org/0036b6n81,https://ror.org/0036b6n81,https://ror.org/0036b6n81,EC,EC,Cuenca,Cuenca,Universidad Católica de Cuenca,Universidad Católica de Cuenca,education,education
3,https://ror.org/0036b6n81 -> https://ror.org/00cgjqd45,https://ror.org/0036b6n81,https://ror.org/00cgjqd45,EC,EC,Cuenca,Ambato,Universidad Católica de Cuenca,Universidad Regional Autónoma de Los Andes,education,education
1,https://ror.org/0036b6n81 -> https://ror.org/01r2c3v86,https://ror.org/0036b6n81,https://ror.org/01r2c3v86,EC,EC,Cuenca,Quito,Universidad Católica de Cuenca,Universidad San Francisco de Quito,education,education
3,https://ror.org/0036b6n81 -> https://ror.org/04r23zn56,https://ror.org/0036b6n81,https://ror.org/04r23zn56,EC,EC,Cuenca,Cuenca,Universidad Católica de Cuenca,University of Cuenca,education,education
1,https://ror.org/004jbx603 -> https://ror.org/004jbx603,https://ror.org/004jbx603,https://ror.org/004jbx603,EC,EC,Latacunga,Latacunga,Universidad Técnica de Cotopaxi,Universidad Técnica de Cotopaxi,education,education
1,https://ror.org/004jbx603 -> https://ror.org/005cgg117,https://ror.org/004jbx603,https://ror.org/005cgg117,EC,EC,Latacunga,Guaranda,Universidad Técnica de Cotopaxi,Universidad Estatal de Bolívar,education,education
1,https://ror.org/004jbx603 -> https://ror.org/02qgahb88,https://ror.org/004jbx603,https://ror.org/02qgahb88,EC,EC,Latacunga,Portoviejo,Universidad Técnica de Cotopaxi,Universidad Técnica de Manabí,education,education
1,https://ror.org/004jbx603 -> https://ror.org/05j136930,https://ror.org/004jbx603,https://ror.org/05j136930,EC,EC,Latacunga,Sangolquí,Universidad Técnica de Cotopaxi,Escuela Politécnica del Ejército,education,education
2,https://ror.org/005cgg117 -> https://ror.org/005cgg117,https://ror.org/005cgg117,https://ror.org/005cgg117,EC,EC,Guaranda,Guaranda,Universidad Estatal de Bolívar,Universidad Estatal de Bolívar,education,education
1,https://ror.org/005cgg117 -> https://ror.org/010n0x685,https://ror.org/005cgg117,https://ror.org/010n0x685,EC,EC,Guaranda,Quito,Universidad Estatal de Bolívar,Central University of Ecuador,education,education
1,https://ror.org/005cgg117 -> https://ror.org/029ss0s83,https://ror.org/005cgg117,https://ror.org/029ss0s83,EC,EC,Guaranda,Puyo,Universidad Estatal de Bolívar,Universidad Estatal Amazónica,education,education
1,https://ror.org/00b210x50 -> https://ror.org/00gd7ns03,https://ror.org/00b210x50,https://ror.org/00gd7ns03,EC,EC,Guayaquil,Guayaquil,Universidad de Especialidades Espíritu Santo,Universidad Estatal de Milagro,education,education
1,https://ror.org/00cgjqd45 -> https://ror.org/005cgg117,https://ror.org/00cgjqd45,https://ror.org/005cgg117,EC,EC,Ambato,Guaranda,Universidad Regional Autónoma de Los Andes,Universidad Estatal de Bolívar,education,education
2,https://ror.org/00cgjqd45 -> https://ror.org/00cgjqd45,https://ror.org/00cgjqd45,https://ror.org/00cgjqd45,EC,EC,Ambato,Ambato,Universidad Regional Autónoma de Los Andes,Universidad Regional Autónoma de Los Andes,education,education
