OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.4974888527127099,https://ror.org/01pewsd85,EE,Tallinn,Estonian Academy of Sciences,government
0.27558564994534995,https://ror.org/02yx0ge43,EE,Tallinn,Ministry of Social Affairs,government
5.096909258173047e-06,https://ror.org/007530q75,EE,Tallinn,Estonian Academy of Arts,education
0.0,https://ror.org/01g9tvw10,EE,Tallinn,Concordia International University Estonia,education
-0.16425826666679458,https://ror.org/03z77qz90,EE,Tartu,University of Tartu,education
-0.16426419985828417,https://ror.org/008dewj11,EE,Tartu,Estonian National Defense College,education
-0.4113250754642652,https://ror.org/04e67ap71,EE,Tallinn,Estonian Business School,education
-0.5025069534586651,https://ror.org/0443cwa12,EE,Tallinn,Tallinn University of Technology,education
-0.7244267948661142,https://ror.org/05mey9k78,EE,Tallinn,Tallinn University,education
-0.7404633065207202,https://ror.org/00s67c790,EE,Tartu,Estonian University of Life Sciences,education
-0.9439438143027046,https://ror.org/011fxed53,EE,Tallinn,Estonian Academy of Security Sciences,education
-1.15340529588913,https://ror.org/03eqd4a41,EE,Tallinn,National Institute of Chemical Physics and Biophysics,facility
-1.1642610223092573,https://ror.org/04xsf1c37,EE,Tartu,Estonian Biocentre,facility
-1.1642651539939142,https://ror.org/003c9rw47,EE,Tartu,Icosagen (Estonia),company
-1.1642651539939142,https://ror.org/01dm91j21,EE,Tartu,Tartu University Hospital,healthcare
-1.1642651539939142,https://ror.org/01k5wet88,EE,Tallinn,Institute of Theology of Estonian Evangelical Lutheran Church,education
-1.1642651539939142,https://ror.org/02rkt9d51,EE,Tartu,Baltic Defence College,education
-1.164280963453782,https://ror.org/004gem776,EE,Tallinn,Ministry of Agriculture,government
-1.164280963453782,https://ror.org/00wpg5z42,EE,Tallinn,East Tallinn Central Hospital,healthcare
-1.164280963453782,https://ror.org/046p0fc17,EE,Tallinn,Estonian Academy of Music and Theatre,education
-1.164280963453782,https://ror.org/04twzkg92,EE,Tartu,Tartu Health Care College,education
-1.164280963453782,https://ror.org/05kagrs11,EE,Tartu,Competence Centre on Health Technologies (Estonia),company
-1.2488221691036505,https://ror.org/03gnehp03,EE,Tallinn,National Institute for Health Development,facility
-1.2488239339719112,https://ror.org/01y0jpb32,EE,Tallinn,Tallinn Health Care College,education
-1.4541871804428235,https://ror.org/00w0nv972,EE,Tallinn,Tallinn University of Applied Sciences,education
-1.5025136436997046,https://ror.org/050reks70,EE,Tallinn,NATO Cooperative Cyber Defence Centre of Excellence,facility
-1.7244253417139295,https://ror.org/00jjeja18,EE,Tartu,Estonian Research Council,government
-1.7244253417139295,https://ror.org/02dmsrt53,EE,Tallinn,Estonian-Swedish Mental Health and Suicidology Institute,healthcare
-1.7244253417139295,https://ror.org/05by9p696,EE,Tallinn,HansaBioMed (Estonia),company
-1.724431419446903,https://ror.org/02pagex14,EE,Tallinn,Archimedes Foundation,nonprofit
