Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
9,https://ror.org/007530q75 -> https://ror.org/007530q75,https://ror.org/007530q75,https://ror.org/007530q75,EE,EE,Tallinn,Tallinn,Estonian Academy of Arts,Estonian Academy of Arts,education,education
2,https://ror.org/007530q75 -> https://ror.org/03z77qz90,https://ror.org/007530q75,https://ror.org/03z77qz90,EE,EE,Tallinn,Tartu,Estonian Academy of Arts,University of Tartu,education,education
2,https://ror.org/007530q75 -> https://ror.org/0443cwa12,https://ror.org/007530q75,https://ror.org/0443cwa12,EE,EE,Tallinn,Tallinn,Estonian Academy of Arts,Tallinn University of Technology,education,education
1,https://ror.org/008dewj11 -> https://ror.org/008dewj11,https://ror.org/008dewj11,https://ror.org/008dewj11,EE,EE,Tartu,Tartu,Estonian National Defense College,Estonian National Defense College,education,education
1,https://ror.org/008dewj11 -> https://ror.org/03z77qz90,https://ror.org/008dewj11,https://ror.org/03z77qz90,EE,EE,Tartu,Tartu,Estonian National Defense College,University of Tartu,education,education
79,https://ror.org/00s67c790 -> https://ror.org/00s67c790,https://ror.org/00s67c790,https://ror.org/00s67c790,EE,EE,Tartu,Tartu,Estonian University of Life Sciences,Estonian University of Life Sciences,education,education
5,https://ror.org/00s67c790 -> https://ror.org/03z77qz90,https://ror.org/00s67c790,https://ror.org/03z77qz90,EE,EE,Tartu,Tartu,Estonian University of Life Sciences,University of Tartu,education,education
1,https://ror.org/011fxed53 -> https://ror.org/0443cwa12,https://ror.org/011fxed53,https://ror.org/0443cwa12,EE,EE,Tallinn,Tallinn,Estonian Academy of Security Sciences,Tallinn University of Technology,education,education
1,https://ror.org/01g9tvw10 -> https://ror.org/01g9tvw10,https://ror.org/01g9tvw10,https://ror.org/01g9tvw10,EE,EE,Tallinn,Tallinn,Concordia International University Estonia,Concordia International University Estonia,education,education
3,https://ror.org/01pewsd85 -> https://ror.org/0443cwa12,https://ror.org/01pewsd85,https://ror.org/0443cwa12,EE,EE,Tallinn,Tallinn,Estonian Academy of Sciences,Tallinn University of Technology,government,education
1,https://ror.org/02yx0ge43 -> https://ror.org/05mey9k78,https://ror.org/02yx0ge43,https://ror.org/05mey9k78,EE,EE,Tallinn,Tallinn,Ministry of Social Affairs,Tallinn University,government,education
1,https://ror.org/03eqd4a41 -> https://ror.org/0443cwa12,https://ror.org/03eqd4a41,https://ror.org/0443cwa12,EE,EE,Tallinn,Tallinn,National Institute of Chemical Physics and Biophysics,Tallinn University of Technology,facility,education
2,https://ror.org/03z77qz90 -> https://ror.org/003c9rw47,https://ror.org/03z77qz90,https://ror.org/003c9rw47,EE,EE,Tartu,Tartu,University of Tartu,Icosagen (Estonia),education,company
1,https://ror.org/03z77qz90 -> https://ror.org/004gem776,https://ror.org/03z77qz90,https://ror.org/004gem776,EE,EE,Tartu,Tallinn,University of Tartu,Ministry of Agriculture,education,government
1,https://ror.org/03z77qz90 -> https://ror.org/007530q75,https://ror.org/03z77qz90,https://ror.org/007530q75,EE,EE,Tartu,Tallinn,University of Tartu,Estonian Academy of Arts,education,education
1,https://ror.org/03z77qz90 -> https://ror.org/008dewj11,https://ror.org/03z77qz90,https://ror.org/008dewj11,EE,EE,Tartu,Tartu,University of Tartu,Estonian National Defense College,education,education
15,https://ror.org/03z77qz90 -> https://ror.org/00s67c790,https://ror.org/03z77qz90,https://ror.org/00s67c790,EE,EE,Tartu,Tartu,University of Tartu,Estonian University of Life Sciences,education,education
1,https://ror.org/03z77qz90 -> https://ror.org/00w0nv972,https://ror.org/03z77qz90,https://ror.org/00w0nv972,EE,EE,Tartu,Tallinn,University of Tartu,Tallinn University of Applied Sciences,education,education
1,https://ror.org/03z77qz90 -> https://ror.org/00wpg5z42,https://ror.org/03z77qz90,https://ror.org/00wpg5z42,EE,EE,Tartu,Tallinn,University of Tartu,East Tallinn Central Hospital,education,healthcare
3,https://ror.org/03z77qz90 -> https://ror.org/011fxed53,https://ror.org/03z77qz90,https://ror.org/011fxed53,EE,EE,Tartu,Tallinn,University of Tartu,Estonian Academy of Security Sciences,education,education
2,https://ror.org/03z77qz90 -> https://ror.org/01dm91j21,https://ror.org/03z77qz90,https://ror.org/01dm91j21,EE,EE,Tartu,Tartu,University of Tartu,Tartu University Hospital,education,healthcare
2,https://ror.org/03z77qz90 -> https://ror.org/01k5wet88,https://ror.org/03z77qz90,https://ror.org/01k5wet88,EE,EE,Tartu,Tallinn,University of Tartu,Institute of Theology of Estonian Evangelical Lutheran Church,education,education
3,https://ror.org/03z77qz90 -> https://ror.org/01y0jpb32,https://ror.org/03z77qz90,https://ror.org/01y0jpb32,EE,EE,Tartu,Tallinn,University of Tartu,Tallinn Health Care College,education,education
2,https://ror.org/03z77qz90 -> https://ror.org/02rkt9d51,https://ror.org/03z77qz90,https://ror.org/02rkt9d51,EE,EE,Tartu,Tartu,University of Tartu,Baltic Defence College,education,education
3,https://ror.org/03z77qz90 -> https://ror.org/03eqd4a41,https://ror.org/03z77qz90,https://ror.org/03eqd4a41,EE,EE,Tartu,Tallinn,University of Tartu,National Institute of Chemical Physics and Biophysics,education,facility
6,https://ror.org/03z77qz90 -> https://ror.org/03gnehp03,https://ror.org/03z77qz90,https://ror.org/03gnehp03,EE,EE,Tartu,Tallinn,University of Tartu,National Institute for Health Development,education,facility
475,https://ror.org/03z77qz90 -> https://ror.org/03z77qz90,https://ror.org/03z77qz90,https://ror.org/03z77qz90,EE,EE,Tartu,Tartu,University of Tartu,University of Tartu,education,education
16,https://ror.org/03z77qz90 -> https://ror.org/0443cwa12,https://ror.org/03z77qz90,https://ror.org/0443cwa12,EE,EE,Tartu,Tallinn,University of Tartu,Tallinn University of Technology,education,education
1,https://ror.org/03z77qz90 -> https://ror.org/046p0fc17,https://ror.org/03z77qz90,https://ror.org/046p0fc17,EE,EE,Tartu,Tallinn,University of Tartu,Estonian Academy of Music and Theatre,education,education
3,https://ror.org/03z77qz90 -> https://ror.org/04e67ap71,https://ror.org/03z77qz90,https://ror.org/04e67ap71,EE,EE,Tartu,Tallinn,University of Tartu,Estonian Business School,education,education
1,https://ror.org/03z77qz90 -> https://ror.org/04twzkg92,https://ror.org/03z77qz90,https://ror.org/04twzkg92,EE,EE,Tartu,Tartu,University of Tartu,Tartu Health Care College,education,education
5,https://ror.org/03z77qz90 -> https://ror.org/04xsf1c37,https://ror.org/03z77qz90,https://ror.org/04xsf1c37,EE,EE,Tartu,Tartu,University of Tartu,Estonian Biocentre,education,facility
1,https://ror.org/03z77qz90 -> https://ror.org/05kagrs11,https://ror.org/03z77qz90,https://ror.org/05kagrs11,EE,EE,Tartu,Tartu,University of Tartu,Competence Centre on Health Technologies (Estonia),education,company
19,https://ror.org/03z77qz90 -> https://ror.org/05mey9k78,https://ror.org/03z77qz90,https://ror.org/05mey9k78,EE,EE,Tartu,Tallinn,University of Tartu,Tallinn University,education,education
1,https://ror.org/0443cwa12 -> https://ror.org/007530q75,https://ror.org/0443cwa12,https://ror.org/007530q75,EE,EE,Tallinn,Tallinn,Tallinn University of Technology,Estonian Academy of Arts,education,education
2,https://ror.org/0443cwa12 -> https://ror.org/00s67c790,https://ror.org/0443cwa12,https://ror.org/00s67c790,EE,EE,Tallinn,Tartu,Tallinn University of Technology,Estonian University of Life Sciences,education,education
6,https://ror.org/0443cwa12 -> https://ror.org/00w0nv972,https://ror.org/0443cwa12,https://ror.org/00w0nv972,EE,EE,Tallinn,Tallinn,Tallinn University of Technology,Tallinn University of Applied Sciences,education,education
1,https://ror.org/0443cwa12 -> https://ror.org/01y0jpb32,https://ror.org/0443cwa12,https://ror.org/01y0jpb32,EE,EE,Tallinn,Tallinn,Tallinn University of Technology,Tallinn Health Care College,education,education
3,https://ror.org/0443cwa12 -> https://ror.org/03eqd4a41,https://ror.org/0443cwa12,https://ror.org/03eqd4a41,EE,EE,Tallinn,Tallinn,Tallinn University of Technology,National Institute of Chemical Physics and Biophysics,education,facility
2,https://ror.org/0443cwa12 -> https://ror.org/03gnehp03,https://ror.org/0443cwa12,https://ror.org/03gnehp03,EE,EE,Tallinn,Tallinn,Tallinn University of Technology,National Institute for Health Development,education,facility
8,https://ror.org/0443cwa12 -> https://ror.org/03z77qz90,https://ror.org/0443cwa12,https://ror.org/03z77qz90,EE,EE,Tallinn,Tartu,Tallinn University of Technology,University of Tartu,education,education
228,https://ror.org/0443cwa12 -> https://ror.org/0443cwa12,https://ror.org/0443cwa12,https://ror.org/0443cwa12,EE,EE,Tallinn,Tallinn,Tallinn University of Technology,Tallinn University of Technology,education,education
5,https://ror.org/0443cwa12 -> https://ror.org/04e67ap71,https://ror.org/0443cwa12,https://ror.org/04e67ap71,EE,EE,Tallinn,Tallinn,Tallinn University of Technology,Estonian Business School,education,education
1,https://ror.org/0443cwa12 -> https://ror.org/050reks70,https://ror.org/0443cwa12,https://ror.org/050reks70,EE,EE,Tallinn,Tallinn,Tallinn University of Technology,NATO Cooperative Cyber Defence Centre of Excellence,education,facility
6,https://ror.org/0443cwa12 -> https://ror.org/05mey9k78,https://ror.org/0443cwa12,https://ror.org/05mey9k78,EE,EE,Tallinn,Tallinn,Tallinn University of Technology,Tallinn University,education,education
2,https://ror.org/046p0fc17 -> https://ror.org/046p0fc17,https://ror.org/046p0fc17,https://ror.org/046p0fc17,EE,EE,Tallinn,Tallinn,Estonian Academy of Music and Theatre,Estonian Academy of Music and Theatre,education,education
4,https://ror.org/04e67ap71 -> https://ror.org/03z77qz90,https://ror.org/04e67ap71,https://ror.org/03z77qz90,EE,EE,Tallinn,Tartu,Estonian Business School,University of Tartu,education,education
3,https://ror.org/04e67ap71 -> https://ror.org/0443cwa12,https://ror.org/04e67ap71,https://ror.org/0443cwa12,EE,EE,Tallinn,Tallinn,Estonian Business School,Tallinn University of Technology,education,education
7,https://ror.org/04e67ap71 -> https://ror.org/04e67ap71,https://ror.org/04e67ap71,https://ror.org/04e67ap71,EE,EE,Tallinn,Tallinn,Estonian Business School,Estonian Business School,education,education
1,https://ror.org/05mey9k78 -> https://ror.org/00jjeja18,https://ror.org/05mey9k78,https://ror.org/00jjeja18,EE,EE,Tallinn,Tartu,Tallinn University,Estonian Research Council,education,government
1,https://ror.org/05mey9k78 -> https://ror.org/011fxed53,https://ror.org/05mey9k78,https://ror.org/011fxed53,EE,EE,Tallinn,Tallinn,Tallinn University,Estonian Academy of Security Sciences,education,education
1,https://ror.org/05mey9k78 -> https://ror.org/02dmsrt53,https://ror.org/05mey9k78,https://ror.org/02dmsrt53,EE,EE,Tallinn,Tallinn,Tallinn University,Estonian-Swedish Mental Health and Suicidology Institute,education,healthcare
2,https://ror.org/05mey9k78 -> https://ror.org/02pagex14,https://ror.org/05mey9k78,https://ror.org/02pagex14,EE,EE,Tallinn,Tallinn,Tallinn University,Archimedes Foundation,education,nonprofit
1,https://ror.org/05mey9k78 -> https://ror.org/03eqd4a41,https://ror.org/05mey9k78,https://ror.org/03eqd4a41,EE,EE,Tallinn,Tallinn,Tallinn University,National Institute of Chemical Physics and Biophysics,education,facility
2,https://ror.org/05mey9k78 -> https://ror.org/03z77qz90,https://ror.org/05mey9k78,https://ror.org/03z77qz90,EE,EE,Tallinn,Tartu,Tallinn University,University of Tartu,education,education
7,https://ror.org/05mey9k78 -> https://ror.org/0443cwa12,https://ror.org/05mey9k78,https://ror.org/0443cwa12,EE,EE,Tallinn,Tallinn,Tallinn University,Tallinn University of Technology,education,education
