OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.5638798950132486,https://ror.org/02ns7ka34,EG,Cairo,Arab Studies and Research Institute,education
1.5638798950132486,https://ror.org/05eq5hq62,EG,Cairo,Tabbin Institute for Metallurgical Studies,government
1.461641614841494,https://ror.org/02ddjw503,EG,Cairo,Academy of Arts,education
1.461641614841494,https://ror.org/04jqt3k72,EG,Al Minyā,Minia University Hospital,healthcare
1.2627323268897865,https://ror.org/02w5pxz31,EG,Asyūţ,Assiut University Hospitals,education
1.2466114406231206,https://ror.org/0176yqn58,EG,Cairo,American University in Cairo,education
0.9684773705607271,https://ror.org/02x66tk73,EG,Alexandria,Egypt-Japan University of Science and Technology,education
0.9485922477014758,https://ror.org/03cg7cp61,EG,Cairo,Nile University,education
0.9033425212353082,https://ror.org/01vx5yq44,EG,Port Said,Port Said University,education
0.7292265721626252,https://ror.org/00h55v928,EG,Cairo,Helwan University,education
0.7000410249548283,https://ror.org/04ynw2g14,EG,Cairo,Information Technology Institute,facility
0.6889636935900965,https://ror.org/03q21mh05,EG,Giza,Cairo University,education
0.653799416011965,https://ror.org/04szvwj50,EG,Cairo,Military Medical Academy,healthcare
0.6520330845270194,https://ror.org/00c8rjz37,EG,Al Manşūrah,Mansoura University Hospital,healthcare
0.651783196760633,https://ror.org/01k8vtd75,EG,Al Mansurah,Mansoura University,education
0.6084270330529504,https://ror.org/03rjt0z37,EG,Cairo,German University in Cairo,education
0.578197608480472,https://ror.org/00cb9w016,EG,Cairo,Ain Shams University,education
0.5709677124977679,https://ror.org/02k284p70,EG,Cairo,Academy of Scientific Research and Technology,nonprofit
0.5635469840247449,https://ror.org/05fnp1145,EG,Cairo,Al Azhar University,education
0.5536911424446389,https://ror.org/04f90ax67,EG,Cairo,Ministry of Health and Population,government
0.5387709526779942,https://ror.org/05sjrb944,EG,Shibīn al Kawm,Menoufia University,education
0.4613925140263223,https://ror.org/02hcv4z63,EG,Minya,Minia University,education
0.4400810642468296,https://ror.org/03tn5ee41,EG,Banhā,Benha University,education
0.391141927918827,https://ror.org/05p2q6194,EG,Sadat,University of Sadat City,education
0.384606754318788,https://ror.org/00mzz1w90,EG,Alexandria,Alexandria University,education
0.3452930518979451,https://ror.org/016jp5b92,EG,Tanda,Tanta University,education
0.2815992256282153,https://ror.org/053g6we49,EG,Zagazig,Zagazig University,education
0.2624153157933873,https://ror.org/01jaj8n65,EG,Assiut,Assiut University,education
0.22838254892960325,https://ror.org/023gzwx10,EG,Al Fayyūm,Fayoum University,education
0.22796645820317385,https://ror.org/00ndhrx30,EG,Suez,Suez University,education
0.17071878611035252,https://ror.org/04w5f4y88,EG,Cairo,Zewail City of Science and Technology,education
0.16308157083618705,https://ror.org/05pn4yv70,EG,Banī Suwayf,Beni-Suef University,education
0.1366841612302181,https://ror.org/02m82p074,EG,Ismailia,Suez Canal University,education
0.11494927720221246,https://ror.org/01337pb37,EG,Cairo,Military Technical College,education
0.11069864901998093,https://ror.org/04d4dr544,EG,Giza,Theodor Bilharz Research Institute,facility
0.1045848637168509,https://ror.org/04a97mm30,EG,Kafr ash Shaykh,Kafrelsheikh University,education
0.07826861074744984,https://ror.org/00p59qs14,EG,Cairo,Ain Shams University Hospital,healthcare
0.00016510771835679972,https://ror.org/0004vyj87,EG,Alexandria,"Arab Academy for Science, Technology, and Maritime Transport",education
0.0,https://ror.org/02nzd5081,EG,Arish,Arish University,education
0.0,https://ror.org/042967d53,EG,Cairo,El Asher University,education
-0.014089016490213999,https://ror.org/048qnr849,EG,Aswān,Aswan University,education
-0.03125071449049745,https://ror.org/05g82f642,EG,Cairo,National Telecommunications Institute,education
-0.03142584063716844,https://ror.org/017n1k193,EG,Cairo,French University of Egypt,education
-0.06491856705595604,https://ror.org/02wgx3e98,EG,Sohag,Sohag University,education
-0.08915463846541377,https://ror.org/01dd13a92,EG,Cairo,Sinai University,education
-0.092550256313573,https://ror.org/04scnnc07,EG,Cairo,Sadat Academy for Management Sciences,education
-0.11959721875563536,https://ror.org/035h3r191,EG,Damietta,Damietta University,education
-0.13373950091105008,https://ror.org/00jxshx33,EG,Qina,South Valley University,education
-0.1465001781918865,https://ror.org/030vg1t69,EG,Cairo,Misr International University,education
-0.1767130278974065,https://ror.org/05debfq75,EG,Cairo,Misr University for Science and Technology,education
-0.19601369225969859,https://ror.org/0066fxv63,EG,Cairo,British University in Egypt,education
-0.1960497938243656,https://ror.org/02t055680,EG,Cairo,Ahram Canadian University,education
-0.23237428903735396,https://ror.org/04349ry21,EG,Al Khārjah,New Valley University,education
-0.23290124400975765,https://ror.org/05y06tg49,EG,Giza,October 6 University,education
-0.23646626953219366,https://ror.org/02fwenk18,EG,Cairo,Thebes Academy,education
-0.26461244739474565,https://ror.org/01nvnhx40,EG,Cairo,October University of Modern Sciences and Arts,education
-0.2705454919989237,https://ror.org/03dtnq041,EG,Dokki,"Arab Academy for Management, Banking and Financial Sciences",education
-0.2705454919989237,https://ror.org/045rvh172,EG,Cairo,Cairo Higher Institute,education
-0.2705454919989237,https://ror.org/04j6ssn11,EG,Cairo,Sinai Higher Institute for Tourism and Hotels,other
-0.2705454919989237,https://ror.org/0512bh102,EG,Cairo,Ministry of Higher Education,government
-0.27653712010918174,https://ror.org/02dmj8v04,EG,Cairo,Modern Academy for Engineering and Technology,education
-0.2794681383337344,https://ror.org/025xjs150,EG,Cairo,El Shorouk Academy,education
-0.2813920381136177,https://ror.org/02pyw9g57,EG,Cairo,Higher Institute of Engineering,education
-0.2931102702475159,https://ror.org/044geq124,EG,Giza,Ministry of Water Resources and Irrigation,government
-0.3059007105467545,https://ror.org/00k4cwq24,EG,Cairo,Ministry of Higher Education and Scientific Research,government
-0.31076128221036414,https://ror.org/03jvx9v69,EG,New Cairo,Egypt University of Informatics,education
-0.31076128221036414,https://ror.org/03nh6bz87,EG,Giza,Vacsera (Egypt),company
-0.31088528281477434,https://ror.org/0338q3942,EG,Cairo,Akhbar El Yom Academy,education
-0.3109407447483863,https://ror.org/058djb788,EG,Cairo,Cairo University hospitals,healthcare
-0.32332906161911196,https://ror.org/02zftm050,EG,Giza,National Institute of Standards,facility
-0.3416001736161808,https://ror.org/02n85j827,EG,Cairo,National Research Centre,facility
-0.34231925967864496,https://ror.org/02tme6r37,EG,Cairo,Heliopolis University,education
-0.34682894654378715,https://ror.org/03562m240,EG,Giza,Housing and Building National Research Center,facility
-0.3478631682184588,https://ror.org/038d53f16,EG,Giza,Agricultural Genetic Engineering Research Institute,facility
-0.353877348404704,https://ror.org/00pft3n23,EG,Alexandria,City of Scientific Research and Technological Applications,facility
-0.36633786958981046,https://ror.org/04tbvjc27,EG,Cairo,Badr University in Cairo,education
-0.38930387309774184,https://ror.org/029me2q51,EG,Cairo,Egyptian Russian University,education
-0.4138404324173,https://ror.org/02exeb428,EG,Cairo,Modern Academy,education
-0.41616637682957824,https://ror.org/03svthf85,EG,Damanhūr,Damanhour University,education
-0.4215455767324295,https://ror.org/007mwgz28,EG,Cairo,National Telecommunication Regulatory Authority,government
-0.4215455767324295,https://ror.org/00jgcnx83,EG,Cairo,Nuclear Materials Authority,government
-0.4215455767324295,https://ror.org/02e957z30,EG,Giza,Ministry of Agriculture and Land Reclamation,government
