Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
51,https://ror.org/0004vyj87 -> https://ror.org/0004vyj87,https://ror.org/0004vyj87,https://ror.org/0004vyj87,EG,EG,Alexandria,Alexandria,"Arab Academy for Science, Technology, and Maritime Transport","Arab Academy for Science, Technology, and Maritime Transport",education,education
4,https://ror.org/0004vyj87 -> https://ror.org/00mzz1w90,https://ror.org/0004vyj87,https://ror.org/00mzz1w90,EG,EG,Alexandria,Alexandria,"Arab Academy for Science, Technology, and Maritime Transport",Alexandria University,education,education
1,https://ror.org/0004vyj87 -> https://ror.org/00qm7b611,https://ror.org/0004vyj87,https://ror.org/00qm7b611,EG,EG,Alexandria,Alexandria,"Arab Academy for Science, Technology, and Maritime Transport",Alexandria Higher Institute of Engineering and Technology,education,education
2,https://ror.org/0004vyj87 -> https://ror.org/01337pb37,https://ror.org/0004vyj87,https://ror.org/01337pb37,EG,EG,Alexandria,Cairo,"Arab Academy for Science, Technology, and Maritime Transport",Military Technical College,education,education
1,https://ror.org/0004vyj87 -> https://ror.org/01nvnhx40,https://ror.org/0004vyj87,https://ror.org/01nvnhx40,EG,EG,Alexandria,Cairo,"Arab Academy for Science, Technology, and Maritime Transport",October University of Modern Sciences and Arts,education,education
1,https://ror.org/0004vyj87 -> https://ror.org/0219pnb09,https://ror.org/0004vyj87,https://ror.org/0219pnb09,EG,EG,Alexandria,Cairo,"Arab Academy for Science, Technology, and Maritime Transport",New Cairo Academy,education,other
1,https://ror.org/0004vyj87 -> https://ror.org/029me2q51,https://ror.org/0004vyj87,https://ror.org/029me2q51,EG,EG,Alexandria,Cairo,"Arab Academy for Science, Technology, and Maritime Transport",Egyptian Russian University,education,education
1,https://ror.org/0004vyj87 -> https://ror.org/030vg1t69,https://ror.org/0004vyj87,https://ror.org/030vg1t69,EG,EG,Alexandria,Cairo,"Arab Academy for Science, Technology, and Maritime Transport",Misr International University,education,education
1,https://ror.org/0004vyj87 -> https://ror.org/03q21mh05,https://ror.org/0004vyj87,https://ror.org/03q21mh05,EG,EG,Alexandria,Giza,"Arab Academy for Science, Technology, and Maritime Transport",Cairo University,education,education
1,https://ror.org/0004vyj87 -> https://ror.org/05debfq75,https://ror.org/0004vyj87,https://ror.org/05debfq75,EG,EG,Alexandria,Cairo,"Arab Academy for Science, Technology, and Maritime Transport",Misr University for Science and Technology,education,education
2,https://ror.org/0066fxv63 -> https://ror.org/0066fxv63,https://ror.org/0066fxv63,https://ror.org/0066fxv63,EG,EG,Cairo,Cairo,British University in Egypt,British University in Egypt,education,education
1,https://ror.org/0066fxv63 -> https://ror.org/00cb9w016,https://ror.org/0066fxv63,https://ror.org/00cb9w016,EG,EG,Cairo,Cairo,British University in Egypt,Ain Shams University,education,education
1,https://ror.org/00c8rjz37 -> https://ror.org/01k8vtd75,https://ror.org/00c8rjz37,https://ror.org/01k8vtd75,EG,EG,Al Manşūrah,Al Mansurah,Mansoura University Hospital,Mansoura University,healthcare,education
10,https://ror.org/00cb9w016 -> https://ror.org/0004vyj87,https://ror.org/00cb9w016,https://ror.org/0004vyj87,EG,EG,Cairo,Alexandria,Ain Shams University,"Arab Academy for Science, Technology, and Maritime Transport",education,education
6,https://ror.org/00cb9w016 -> https://ror.org/0066fxv63,https://ror.org/00cb9w016,https://ror.org/0066fxv63,EG,EG,Cairo,Cairo,Ain Shams University,British University in Egypt,education,education
2,https://ror.org/00cb9w016 -> https://ror.org/00746ch50,https://ror.org/00cb9w016,https://ror.org/00746ch50,EG,EG,Cairo,Cairo,Ain Shams University,Modern University for Information and Technology,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/007mwgz28,https://ror.org/00cb9w016,https://ror.org/007mwgz28,EG,EG,Cairo,Cairo,Ain Shams University,National Telecommunication Regulatory Authority,education,government
376,https://ror.org/00cb9w016 -> https://ror.org/00cb9w016,https://ror.org/00cb9w016,https://ror.org/00cb9w016,EG,EG,Cairo,Cairo,Ain Shams University,Ain Shams University,education,education
6,https://ror.org/00cb9w016 -> https://ror.org/00h55v928,https://ror.org/00cb9w016,https://ror.org/00h55v928,EG,EG,Cairo,Cairo,Ain Shams University,Helwan University,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/00jgcnx83,https://ror.org/00cb9w016,https://ror.org/00jgcnx83,EG,EG,Cairo,Cairo,Ain Shams University,Nuclear Materials Authority,education,government
1,https://ror.org/00cb9w016 -> https://ror.org/00k4cwq24,https://ror.org/00cb9w016,https://ror.org/00k4cwq24,EG,EG,Cairo,Cairo,Ain Shams University,Ministry of Higher Education and Scientific Research,education,government
4,https://ror.org/00cb9w016 -> https://ror.org/00mzz1w90,https://ror.org/00cb9w016,https://ror.org/00mzz1w90,EG,EG,Cairo,Alexandria,Ain Shams University,Alexandria University,education,education
4,https://ror.org/00cb9w016 -> https://ror.org/00ndhrx30,https://ror.org/00cb9w016,https://ror.org/00ndhrx30,EG,EG,Cairo,Suez,Ain Shams University,Suez University,education,education
3,https://ror.org/00cb9w016 -> https://ror.org/00p59qs14,https://ror.org/00cb9w016,https://ror.org/00p59qs14,EG,EG,Cairo,Cairo,Ain Shams University,Ain Shams University Hospital,education,healthcare
3,https://ror.org/00cb9w016 -> https://ror.org/00pft3n23,https://ror.org/00cb9w016,https://ror.org/00pft3n23,EG,EG,Cairo,Alexandria,Ain Shams University,City of Scientific Research and Technological Applications,education,facility
1,https://ror.org/00cb9w016 -> https://ror.org/016jp5b92,https://ror.org/00cb9w016,https://ror.org/016jp5b92,EG,EG,Cairo,Tanda,Ain Shams University,Tanta University,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/0176yqn58,https://ror.org/00cb9w016,https://ror.org/0176yqn58,EG,EG,Cairo,Cairo,Ain Shams University,American University in Cairo,education,education
7,https://ror.org/00cb9w016 -> https://ror.org/01cb2rv04,https://ror.org/00cb9w016,https://ror.org/01cb2rv04,EG,EG,Cairo,Helwan,Ain Shams University,National Research Institute of Astronomy and Geophysics,education,facility
2,https://ror.org/00cb9w016 -> https://ror.org/01jaj8n65,https://ror.org/00cb9w016,https://ror.org/01jaj8n65,EG,EG,Cairo,Assiut,Ain Shams University,Assiut University,education,education
2,https://ror.org/00cb9w016 -> https://ror.org/01k8vtd75,https://ror.org/00cb9w016,https://ror.org/01k8vtd75,EG,EG,Cairo,Al Mansurah,Ain Shams University,Mansoura University,education,education
3,https://ror.org/00cb9w016 -> https://ror.org/01nvnhx40,https://ror.org/00cb9w016,https://ror.org/01nvnhx40,EG,EG,Cairo,Cairo,Ain Shams University,October University of Modern Sciences and Arts,education,education
2,https://ror.org/00cb9w016 -> https://ror.org/023gzwx10,https://ror.org/00cb9w016,https://ror.org/023gzwx10,EG,EG,Cairo,Al Fayyūm,Ain Shams University,Fayoum University,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/025xjs150,https://ror.org/00cb9w016,https://ror.org/025xjs150,EG,EG,Cairo,Cairo,Ain Shams University,El Shorouk Academy,education,education
4,https://ror.org/00cb9w016 -> https://ror.org/029me2q51,https://ror.org/00cb9w016,https://ror.org/029me2q51,EG,EG,Cairo,Cairo,Ain Shams University,Egyptian Russian University,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/02dmj8v04,https://ror.org/00cb9w016,https://ror.org/02dmj8v04,EG,EG,Cairo,Cairo,Ain Shams University,Modern Academy for Engineering and Technology,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/02e957z30,https://ror.org/00cb9w016,https://ror.org/02e957z30,EG,EG,Cairo,Giza,Ain Shams University,Ministry of Agriculture and Land Reclamation,education,government
1,https://ror.org/00cb9w016 -> https://ror.org/02exeb428,https://ror.org/00cb9w016,https://ror.org/02exeb428,EG,EG,Cairo,Cairo,Ain Shams University,Modern Academy,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/02fwenk18,https://ror.org/00cb9w016,https://ror.org/02fwenk18,EG,EG,Cairo,Cairo,Ain Shams University,Thebes Academy,education,education
2,https://ror.org/00cb9w016 -> https://ror.org/02hcv4z63,https://ror.org/00cb9w016,https://ror.org/02hcv4z63,EG,EG,Cairo,Minya,Ain Shams University,Minia University,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/02k284p70,https://ror.org/00cb9w016,https://ror.org/02k284p70,EG,EG,Cairo,Cairo,Ain Shams University,Academy of Scientific Research and Technology,education,nonprofit
1,https://ror.org/00cb9w016 -> https://ror.org/02m82p074,https://ror.org/00cb9w016,https://ror.org/02m82p074,EG,EG,Cairo,Ismailia,Ain Shams University,Suez Canal University,education,education
60,https://ror.org/00cb9w016 -> https://ror.org/02n85j827,https://ror.org/00cb9w016,https://ror.org/02n85j827,EG,EG,Cairo,Cairo,Ain Shams University,National Research Centre,education,facility
2,https://ror.org/00cb9w016 -> https://ror.org/02pyw9g57,https://ror.org/00cb9w016,https://ror.org/02pyw9g57,EG,EG,Cairo,Cairo,Ain Shams University,Higher Institute of Engineering,education,education
2,https://ror.org/00cb9w016 -> https://ror.org/02t055680,https://ror.org/00cb9w016,https://ror.org/02t055680,EG,EG,Cairo,Cairo,Ain Shams University,Ahram Canadian University,education,education
2,https://ror.org/00cb9w016 -> https://ror.org/02wgx3e98,https://ror.org/00cb9w016,https://ror.org/02wgx3e98,EG,EG,Cairo,Sohag,Ain Shams University,Sohag University,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/02x66tk73,https://ror.org/00cb9w016,https://ror.org/02x66tk73,EG,EG,Cairo,Alexandria,Ain Shams University,Egypt-Japan University of Science and Technology,education,education
7,https://ror.org/00cb9w016 -> https://ror.org/030vg1t69,https://ror.org/00cb9w016,https://ror.org/030vg1t69,EG,EG,Cairo,Cairo,Ain Shams University,Misr International University,education,education
2,https://ror.org/00cb9w016 -> https://ror.org/03374t109,https://ror.org/00cb9w016,https://ror.org/03374t109,EG,EG,Cairo,Cairo,Ain Shams University,Canadian International College,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/033ttrk34,https://ror.org/00cb9w016,https://ror.org/033ttrk34,EG,EG,Cairo,Cairo,Ain Shams University,Armed Forces College of Medicine,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/035h3r191,https://ror.org/00cb9w016,https://ror.org/035h3r191,EG,EG,Cairo,Damietta,Ain Shams University,Damietta University,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/038d53f16,https://ror.org/00cb9w016,https://ror.org/038d53f16,EG,EG,Cairo,Giza,Ain Shams University,Agricultural Genetic Engineering Research Institute,education,facility
1,https://ror.org/00cb9w016 -> https://ror.org/03gtqhp76,https://ror.org/00cb9w016,https://ror.org/03gtqhp76,EG,EG,Cairo,Giza,Ain Shams University,Central Laboratory for Agricultural Climate,education,facility
17,https://ror.org/00cb9w016 -> https://ror.org/03q21mh05,https://ror.org/00cb9w016,https://ror.org/03q21mh05,EG,EG,Cairo,Giza,Ain Shams University,Cairo University,education,education
2,https://ror.org/00cb9w016 -> https://ror.org/03qv51n94,https://ror.org/00cb9w016,https://ror.org/03qv51n94,EG,EG,Cairo,Cairo,Ain Shams University,National Authority for Remote Sensing and Space Sciences,education,government
2,https://ror.org/00cb9w016 -> https://ror.org/03rjt0z37,https://ror.org/00cb9w016,https://ror.org/03rjt0z37,EG,EG,Cairo,Cairo,Ain Shams University,German University in Cairo,education,education
10,https://ror.org/00cb9w016 -> https://ror.org/03s8c2x09,https://ror.org/00cb9w016,https://ror.org/03s8c2x09,EG,EG,Cairo,Cairo,Ain Shams University,Future University in Egypt,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/03tn5ee41,https://ror.org/00cb9w016,https://ror.org/03tn5ee41,EG,EG,Cairo,Banhā,Ain Shams University,Benha University,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/040ejvh72,https://ror.org/00cb9w016,https://ror.org/040ejvh72,EG,EG,Cairo,Cairo,Ain Shams University,General Organization For Teaching Hospitals and Institutes,education,government
18,https://ror.org/00cb9w016 -> https://ror.org/044panr52,https://ror.org/00cb9w016,https://ror.org/044panr52,EG,EG,Cairo,Cairo,Ain Shams University,Egyptian Petroleum Research Institute,education,facility
2,https://ror.org/00cb9w016 -> https://ror.org/045ms0x79,https://ror.org/00cb9w016,https://ror.org/045ms0x79,EG,EG,Cairo,Cairo,Ain Shams University,Egyptian e-Learning University,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/048qnr849,https://ror.org/00cb9w016,https://ror.org/048qnr849,EG,EG,Cairo,Aswān,Ain Shams University,Aswan University,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/04a97mm30,https://ror.org/00cb9w016,https://ror.org/04a97mm30,EG,EG,Cairo,Kafr ash Shaykh,Ain Shams University,Kafrelsheikh University,education,education
5,https://ror.org/00cb9w016 -> https://ror.org/04dzf3m45,https://ror.org/00cb9w016,https://ror.org/04dzf3m45,EG,EG,Cairo,Cairo,Ain Shams University,Desert Research Center,education,government
8,https://ror.org/00cb9w016 -> https://ror.org/04hd0yz67,https://ror.org/00cb9w016,https://ror.org/04hd0yz67,EG,EG,Cairo,Cairo,Ain Shams University,Egyptian Atomic Energy Authority,education,government
1,https://ror.org/00cb9w016 -> https://ror.org/04scnnc07,https://ror.org/00cb9w016,https://ror.org/04scnnc07,EG,EG,Cairo,Cairo,Ain Shams University,Sadat Academy for Management Sciences,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/04tbvjc27,https://ror.org/00cb9w016,https://ror.org/04tbvjc27,EG,EG,Cairo,Cairo,Ain Shams University,Badr University in Cairo,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/04w5f4y88,https://ror.org/00cb9w016,https://ror.org/04w5f4y88,EG,EG,Cairo,Cairo,Ain Shams University,Zewail City of Science and Technology,education,education
6,https://ror.org/00cb9w016 -> https://ror.org/051q8jk17,https://ror.org/00cb9w016,https://ror.org/051q8jk17,EG,EG,Cairo,Cairo,Ain Shams University,Higher Technological Institute,education,education
4,https://ror.org/00cb9w016 -> https://ror.org/052cjbe24,https://ror.org/00cb9w016,https://ror.org/052cjbe24,EG,EG,Cairo,Alexandria,Ain Shams University,National Institute of Oceanography and Fisheries,education,facility
1,https://ror.org/00cb9w016 -> https://ror.org/053g6we49,https://ror.org/00cb9w016,https://ror.org/053g6we49,EG,EG,Cairo,Zagazig,Ain Shams University,Zagazig University,education,education
3,https://ror.org/00cb9w016 -> https://ror.org/05debfq75,https://ror.org/00cb9w016,https://ror.org/05debfq75,EG,EG,Cairo,Cairo,Ain Shams University,Misr University for Science and Technology,education,education
1,https://ror.org/00cb9w016 -> https://ror.org/05f93c840,https://ror.org/00cb9w016,https://ror.org/05f93c840,EG,EG,Cairo,Cairo,Ain Shams University,International Academy for Engineering and Media Science,education,education
2,https://ror.org/00cb9w016 -> https://ror.org/05fnp1145,https://ror.org/00cb9w016,https://ror.org/05fnp1145,EG,EG,Cairo,Cairo,Ain Shams University,Al Azhar University,education,education
6,https://ror.org/00cb9w016 -> https://ror.org/05hcacp57,https://ror.org/00cb9w016,https://ror.org/05hcacp57,EG,EG,Cairo,Giza,Ain Shams University,Agricultural Research Center,education,facility
3,https://ror.org/00cb9w016 -> https://ror.org/05pn4yv70,https://ror.org/00cb9w016,https://ror.org/05pn4yv70,EG,EG,Cairo,Banī Suwayf,Ain Shams University,Beni-Suef University,education,education
4,https://ror.org/00cb9w016 -> https://ror.org/05sjrb944,https://ror.org/00cb9w016,https://ror.org/05sjrb944,EG,EG,Cairo,Shibīn al Kawm,Ain Shams University,Menoufia University,education,education
4,https://ror.org/00cb9w016 -> https://ror.org/05y06tg49,https://ror.org/00cb9w016,https://ror.org/05y06tg49,EG,EG,Cairo,Giza,Ain Shams University,October 6 University,education,education
3,https://ror.org/00h55v928 -> https://ror.org/0004vyj87,https://ror.org/00h55v928,https://ror.org/0004vyj87,EG,EG,Cairo,Alexandria,Helwan University,"Arab Academy for Science, Technology, and Maritime Transport",education,education
1,https://ror.org/00h55v928 -> https://ror.org/00746ch50,https://ror.org/00h55v928,https://ror.org/00746ch50,EG,EG,Cairo,Cairo,Helwan University,Modern University for Information and Technology,education,education
3,https://ror.org/00h55v928 -> https://ror.org/00cb9w016,https://ror.org/00h55v928,https://ror.org/00cb9w016,EG,EG,Cairo,Cairo,Helwan University,Ain Shams University,education,education
104,https://ror.org/00h55v928 -> https://ror.org/00h55v928,https://ror.org/00h55v928,https://ror.org/00h55v928,EG,EG,Cairo,Cairo,Helwan University,Helwan University,education,education
7,https://ror.org/00h55v928 -> https://ror.org/00jxshx33,https://ror.org/00h55v928,https://ror.org/00jxshx33,EG,EG,Cairo,Qina,Helwan University,South Valley University,education,education
1,https://ror.org/00h55v928 -> https://ror.org/00k4cwq24,https://ror.org/00h55v928,https://ror.org/00k4cwq24,EG,EG,Cairo,Cairo,Helwan University,Ministry of Higher Education and Scientific Research,education,government
1,https://ror.org/00h55v928 -> https://ror.org/01cb2rv04,https://ror.org/00h55v928,https://ror.org/01cb2rv04,EG,EG,Cairo,Helwan,Helwan University,National Research Institute of Astronomy and Geophysics,education,facility
2,https://ror.org/00h55v928 -> https://ror.org/01jaj8n65,https://ror.org/00h55v928,https://ror.org/01jaj8n65,EG,EG,Cairo,Assiut,Helwan University,Assiut University,education,education
1,https://ror.org/00h55v928 -> https://ror.org/01k8vtd75,https://ror.org/00h55v928,https://ror.org/01k8vtd75,EG,EG,Cairo,Al Mansurah,Helwan University,Mansoura University,education,education
1,https://ror.org/00h55v928 -> https://ror.org/025xjs150,https://ror.org/00h55v928,https://ror.org/025xjs150,EG,EG,Cairo,Cairo,Helwan University,El Shorouk Academy,education,education
2,https://ror.org/00h55v928 -> https://ror.org/029me2q51,https://ror.org/00h55v928,https://ror.org/029me2q51,EG,EG,Cairo,Cairo,Helwan University,Egyptian Russian University,education,education
2,https://ror.org/00h55v928 -> https://ror.org/02hcv4z63,https://ror.org/00h55v928,https://ror.org/02hcv4z63,EG,EG,Cairo,Minya,Helwan University,Minia University,education,education
7,https://ror.org/00h55v928 -> https://ror.org/02n85j827,https://ror.org/00h55v928,https://ror.org/02n85j827,EG,EG,Cairo,Cairo,Helwan University,National Research Centre,education,facility
3,https://ror.org/00h55v928 -> https://ror.org/030vg1t69,https://ror.org/00h55v928,https://ror.org/030vg1t69,EG,EG,Cairo,Cairo,Helwan University,Misr International University,education,education
1,https://ror.org/00h55v928 -> https://ror.org/03374t109,https://ror.org/00h55v928,https://ror.org/03374t109,EG,EG,Cairo,Cairo,Helwan University,Canadian International College,education,education
1,https://ror.org/00h55v928 -> https://ror.org/03dtnq041,https://ror.org/00h55v928,https://ror.org/03dtnq041,EG,EG,Cairo,Dokki,Helwan University,"Arab Academy for Management, Banking and Financial Sciences",education,education
9,https://ror.org/00h55v928 -> https://ror.org/03q21mh05,https://ror.org/00h55v928,https://ror.org/03q21mh05,EG,EG,Cairo,Giza,Helwan University,Cairo University,education,education
2,https://ror.org/00h55v928 -> https://ror.org/03rjt0z37,https://ror.org/00h55v928,https://ror.org/03rjt0z37,EG,EG,Cairo,Cairo,Helwan University,German University in Cairo,education,education
2,https://ror.org/00h55v928 -> https://ror.org/03tn5ee41,https://ror.org/00h55v928,https://ror.org/03tn5ee41,EG,EG,Cairo,Banhā,Helwan University,Benha University,education,education
4,https://ror.org/00h55v928 -> https://ror.org/044geq124,https://ror.org/00h55v928,https://ror.org/044geq124,EG,EG,Cairo,Giza,Helwan University,Ministry of Water Resources and Irrigation,education,government
1,https://ror.org/00h55v928 -> https://ror.org/045rvh172,https://ror.org/00h55v928,https://ror.org/045rvh172,EG,EG,Cairo,Cairo,Helwan University,Cairo Higher Institute,education,education
1,https://ror.org/00h55v928 -> https://ror.org/04j6ssn11,https://ror.org/00h55v928,https://ror.org/04j6ssn11,EG,EG,Cairo,Cairo,Helwan University,Sinai Higher Institute for Tourism and Hotels,education,other
1,https://ror.org/00h55v928 -> https://ror.org/04szvwj50,https://ror.org/00h55v928,https://ror.org/04szvwj50,EG,EG,Cairo,Cairo,Helwan University,Military Medical Academy,education,healthcare
7,https://ror.org/00h55v928 -> https://ror.org/04tbvjc27,https://ror.org/00h55v928,https://ror.org/04tbvjc27,EG,EG,Cairo,Cairo,Helwan University,Badr University in Cairo,education,education
1,https://ror.org/00h55v928 -> https://ror.org/04ynw2g14,https://ror.org/00h55v928,https://ror.org/04ynw2g14,EG,EG,Cairo,Cairo,Helwan University,Information Technology Institute,education,facility
1,https://ror.org/00h55v928 -> https://ror.org/0512bh102,https://ror.org/00h55v928,https://ror.org/0512bh102,EG,EG,Cairo,Cairo,Helwan University,Ministry of Higher Education,education,government
1,https://ror.org/00h55v928 -> https://ror.org/05debfq75,https://ror.org/00h55v928,https://ror.org/05debfq75,EG,EG,Cairo,Cairo,Helwan University,Misr University for Science and Technology,education,education
1,https://ror.org/00h55v928 -> https://ror.org/05fnp1145,https://ror.org/00h55v928,https://ror.org/05fnp1145,EG,EG,Cairo,Cairo,Helwan University,Al Azhar University,education,education
5,https://ror.org/00h55v928 -> https://ror.org/05pn4yv70,https://ror.org/00h55v928,https://ror.org/05pn4yv70,EG,EG,Cairo,Banī Suwayf,Helwan University,Beni-Suef University,education,education
1,https://ror.org/00h55v928 -> https://ror.org/05y06tg49,https://ror.org/00h55v928,https://ror.org/05y06tg49,EG,EG,Cairo,Giza,Helwan University,October 6 University,education,education
81,https://ror.org/00jxshx33 -> https://ror.org/00jxshx33,https://ror.org/00jxshx33,https://ror.org/00jxshx33,EG,EG,Qina,Qina,South Valley University,South Valley University,education,education
3,https://ror.org/00jxshx33 -> https://ror.org/01jaj8n65,https://ror.org/00jxshx33,https://ror.org/01jaj8n65,EG,EG,Qina,Assiut,South Valley University,Assiut University,education,education
1,https://ror.org/00jxshx33 -> https://ror.org/03q21mh05,https://ror.org/00jxshx33,https://ror.org/03q21mh05,EG,EG,Qina,Giza,South Valley University,Cairo University,education,education
4,https://ror.org/00jxshx33 -> https://ror.org/048qnr849,https://ror.org/00jxshx33,https://ror.org/048qnr849,EG,EG,Qina,Aswān,South Valley University,Aswan University,education,education
1,https://ror.org/00jxshx33 -> https://ror.org/05hcacp57,https://ror.org/00jxshx33,https://ror.org/05hcacp57,EG,EG,Qina,Giza,South Valley University,Agricultural Research Center,education,facility
1,https://ror.org/00k4cwq24 -> https://ror.org/00k4cwq24,https://ror.org/00k4cwq24,https://ror.org/00k4cwq24,EG,EG,Cairo,Cairo,Ministry of Higher Education and Scientific Research,Ministry of Higher Education and Scientific Research,government,government
5,https://ror.org/00mzz1w90 -> https://ror.org/0004vyj87,https://ror.org/00mzz1w90,https://ror.org/0004vyj87,EG,EG,Alexandria,Alexandria,Alexandria University,"Arab Academy for Science, Technology, and Maritime Transport",education,education
1,https://ror.org/00mzz1w90 -> https://ror.org/0019h0z47,https://ror.org/00mzz1w90,https://ror.org/0019h0z47,EG,EG,Alexandria,Al ‘Alamayn,Alexandria University,AlAlamein International University,education,education
2,https://ror.org/00mzz1w90 -> https://ror.org/00cb9w016,https://ror.org/00mzz1w90,https://ror.org/00cb9w016,EG,EG,Alexandria,Cairo,Alexandria University,Ain Shams University,education,education
1,https://ror.org/00mzz1w90 -> https://ror.org/00jxshx33,https://ror.org/00mzz1w90,https://ror.org/00jxshx33,EG,EG,Alexandria,Qina,Alexandria University,South Valley University,education,education
112,https://ror.org/00mzz1w90 -> https://ror.org/00mzz1w90,https://ror.org/00mzz1w90,https://ror.org/00mzz1w90,EG,EG,Alexandria,Alexandria,Alexandria University,Alexandria University,education,education
1,https://ror.org/00mzz1w90 -> https://ror.org/00ndhrx30,https://ror.org/00mzz1w90,https://ror.org/00ndhrx30,EG,EG,Alexandria,Suez,Alexandria University,Suez University,education,education
6,https://ror.org/00mzz1w90 -> https://ror.org/00pft3n23,https://ror.org/00mzz1w90,https://ror.org/00pft3n23,EG,EG,Alexandria,Alexandria,Alexandria University,City of Scientific Research and Technological Applications,education,facility
2,https://ror.org/00mzz1w90 -> https://ror.org/016jp5b92,https://ror.org/00mzz1w90,https://ror.org/016jp5b92,EG,EG,Alexandria,Tanda,Alexandria University,Tanta University,education,education
1,https://ror.org/00mzz1w90 -> https://ror.org/01dd13a92,https://ror.org/00mzz1w90,https://ror.org/01dd13a92,EG,EG,Alexandria,Cairo,Alexandria University,Sinai University,education,education
1,https://ror.org/00mzz1w90 -> https://ror.org/029me2q51,https://ror.org/00mzz1w90,https://ror.org/029me2q51,EG,EG,Alexandria,Cairo,Alexandria University,Egyptian Russian University,education,education
1,https://ror.org/00mzz1w90 -> https://ror.org/02m82p074,https://ror.org/00mzz1w90,https://ror.org/02m82p074,EG,EG,Alexandria,Ismailia,Alexandria University,Suez Canal University,education,education
3,https://ror.org/00mzz1w90 -> https://ror.org/02x66tk73,https://ror.org/00mzz1w90,https://ror.org/02x66tk73,EG,EG,Alexandria,Alexandria,Alexandria University,Egypt-Japan University of Science and Technology,education,education
