Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
15,https://ror.org/0008xqs48 -> https://ror.org/0008xqs48,https://ror.org/0008xqs48,https://ror.org/0008xqs48,ES,ES,Barcelona,Barcelona,Institut d'Investigació Biomédica de Bellvitge,Institut d'Investigació Biomédica de Bellvitge,facility,facility
1,https://ror.org/0008xqs48 -> https://ror.org/006zjws59,https://ror.org/0008xqs48,https://ror.org/006zjws59,ES,ES,Barcelona,Vic,Institut d'Investigació Biomédica de Bellvitge,Universitat de Vic - Universitat Central de Catalunya,facility,education
6,https://ror.org/0008xqs48 -> https://ror.org/00btzwk36,https://ror.org/0008xqs48,https://ror.org/00btzwk36,ES,ES,Barcelona,Barcelona,Institut d'Investigació Biomédica de Bellvitge,Josep Carreras Leukaemia Research Institute,facility,facility
3,https://ror.org/0008xqs48 -> https://ror.org/01bkbaq61,https://ror.org/0008xqs48,https://ror.org/01bkbaq61,ES,ES,Barcelona,Barcelona,Institut d'Investigació Biomédica de Bellvitge,CERCA Institution,facility,government
3,https://ror.org/0008xqs48 -> https://ror.org/021018s57,https://ror.org/0008xqs48,https://ror.org/021018s57,ES,ES,Barcelona,Barcelona,Institut d'Investigació Biomédica de Bellvitge,Universitat de Barcelona,facility,education
1,https://ror.org/0008xqs48 -> https://ror.org/02f3ts956,https://ror.org/0008xqs48,https://ror.org/02f3ts956,ES,ES,Barcelona,Sant Boi de Llobregat,Institut d'Investigació Biomédica de Bellvitge,Parc Sanitari Sant Joan de Déu,facility,healthcare
2,https://ror.org/0008xqs48 -> https://ror.org/02gfc7t72,https://ror.org/0008xqs48,https://ror.org/02gfc7t72,ES,ES,Barcelona,Madrid,Institut d'Investigació Biomédica de Bellvitge,Consejo Superior de Investigaciones Científicas,facility,government
1,https://ror.org/0008xqs48 -> https://ror.org/037xbgq12,https://ror.org/0008xqs48,https://ror.org/037xbgq12,ES,ES,Barcelona,Palma,Institut d'Investigació Biomédica de Bellvitge,Health Research Institute of the Balearic Islands,facility,facility
1,https://ror.org/0008xqs48 -> https://ror.org/03e10x626,https://ror.org/0008xqs48,https://ror.org/03e10x626,ES,ES,Barcelona,Palma,Institut d'Investigació Biomédica de Bellvitge,Universitat de les Illes Balears,facility,education
1,https://ror.org/0008xqs48 -> https://ror.org/04n0g0b29,https://ror.org/0008xqs48,https://ror.org/04n0g0b29,ES,ES,Barcelona,Barcelona,Institut d'Investigació Biomédica de Bellvitge,Pompeu Fabra University,facility,education
1,https://ror.org/0008xqs48 -> https://ror.org/05n7xcf53,https://ror.org/0008xqs48,https://ror.org/05n7xcf53,ES,ES,Barcelona,Santiago de Compostela,Institut d'Investigació Biomédica de Bellvitge,Instituto de Investigación Sanitaria de Santiago,facility,facility
1,https://ror.org/000f0z454 -> https://ror.org/02p0gd045,https://ror.org/000f0z454,https://ror.org/02p0gd045,ES,ES,Córdoba,Madrid,Universidad Laboral de Córdoba,Universidad Complutense de Madrid,education,education
17,https://ror.org/000nhpy59 -> https://ror.org/000nhpy59,https://ror.org/000nhpy59,https://ror.org/000nhpy59,ES,ES,Alicante,Alicante,Instituto de Neurociencias,Instituto de Neurociencias,facility,facility
1,https://ror.org/000nhpy59 -> https://ror.org/0174shg90,https://ror.org/000nhpy59,https://ror.org/0174shg90,ES,ES,Alicante,Badajoz,Instituto de Neurociencias,Universidad de Extremadura,facility,education
1,https://ror.org/000nhpy59 -> https://ror.org/01nry9c15,https://ror.org/000nhpy59,https://ror.org/01nry9c15,ES,ES,Alicante,Barcelona,Instituto de Neurociencias,Pasqual Maragall Foundation,facility,nonprofit
1,https://ror.org/000nhpy59 -> https://ror.org/01z1gye03,https://ror.org/000nhpy59,https://ror.org/01z1gye03,ES,ES,Alicante,Barcelona,Instituto de Neurociencias,Institute for Research in Biomedicine,facility,healthcare
3,https://ror.org/000nhpy59 -> https://ror.org/021018s57,https://ror.org/000nhpy59,https://ror.org/021018s57,ES,ES,Alicante,Barcelona,Instituto de Neurociencias,Universitat de Barcelona,facility,education
1,https://ror.org/000nhpy59 -> https://ror.org/02gfc7t72,https://ror.org/000nhpy59,https://ror.org/02gfc7t72,ES,ES,Alicante,Madrid,Instituto de Neurociencias,Consejo Superior de Investigaciones Científicas,facility,government
1,https://ror.org/000nhpy59 -> https://ror.org/02ybsz607,https://ror.org/000nhpy59,https://ror.org/02ybsz607,ES,ES,Alicante,Alicante,Instituto de Neurociencias,Hospital General Universitario de Alicante Doctor Balmis,facility,healthcare
