OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.611636260240947,https://ror.org/02hzmab58,ET,Addis Ababa,St. Mary's University,education
1.596015285628594,https://ror.org/02x9fwx10,ET,Addis Ababa,Ethiopian Space Science and Technology Institute,government
1.336843159708647,https://ror.org/00409ce90,ET,Addis Ababa,Ethiopian Civil Service University,education
1.181570941665886,https://ror.org/0207c0t18,ET,Addis Ababa,Admas University,education
0.9869168734169623,https://ror.org/02psd9228,ET,Addis Ababa,Addis Ababa Science and Technology University,education
0.9778365347825669,https://ror.org/038b8e254,ET,Addis Ababa,Addis Ababa University,education
0.7419955772613763,https://ror.org/02ax94a12,ET,Addis Ababa,Addis Continental Institute of Public Health,facility
0.6090795851566092,https://ror.org/059yk7s89,ET,Dire Dawa,Haramaya University,education
0.5954511533613351,https://ror.org/00kga6267,ET,Jimma,Rift Valley University,education
0.47256262469863436,https://ror.org/04ye60n79,ET,Addis Ababa,Tikur Anbessa Hospital,healthcare
0.45480588770933644,https://ror.org/01670bg46,ET,Bahir Dar,Bahir Dar University,education
0.42485731738576127,https://ror.org/05eer8g02,ET,Jimma,Jimma University,education
0.33299719553383317,https://ror.org/0595gz585,ET,Gondar,University of Gondar,education
0.2621792636932352,https://ror.org/00ssp9h11,ET,Arba Minch,Arba Minch University,education
0.24556235759624964,https://ror.org/04r15fz20,ET,Awasa,Hawassa University,education
0.2411922756816721,https://ror.org/04bpyvy69,ET,Mek'ele,Mekelle University,education
0.2264426215203238,https://ror.org/04ahz4692,ET,Dīla,Dilla University,education
0.1584708541836713,https://ror.org/02e6z0y17,ET,Hāgere Hiywet,Ambo University,education
0.1454415067123929,https://ror.org/02ccba128,ET,Nazrēt,Adama Science and Technology University,education
0.1054172127386081,https://ror.org/003659f07,ET,Aksum,Aksum University,education
0.030381324833227696,https://ror.org/04sbsx707,ET,Debre Mark’os,Debre Markos University,education
0.005532875270547545,https://ror.org/04e72vw61,ET,Debre Birhan,Debre Berhan University,education
0.0020726457126002515,https://ror.org/01ktt8y73,ET,Dessie,Wollo University,education
-1.6545782578157413e-05,https://ror.org/00316zc91,ET,Nek’emtē,Wollega University,education
-0.012536036740905277,https://ror.org/0106a2j17,ET,Āreka,Wolaita Sodo University,education
-0.02226618632044657,https://ror.org/01mhm6x57,ET,Addis Ababa,Ethiopian Institute of Agricultural Research,education
-0.0222705208311153,https://ror.org/05jnrzf43,ET,Addis Ababa,Unity University College,education
-0.0222705208311153,https://ror.org/05rvzq326,ET,Addis Ababa,Ethiopian Biodiversity Institute,government
-0.03853231494524237,https://ror.org/02nkn4852,ET,Assosa / Asosa,Asossa University,education
-0.047196423633745085,https://ror.org/01gcmye25,ET,Metu,Mattu University,education
-0.04780352880318813,https://ror.org/033v2cg93,ET,Jijiga,Jigjiga University,education
-0.09804799688665526,https://ror.org/0034mdn74,ET,Ādīgrat,Adigrat University,education
-0.16662584691293117,https://ror.org/013fn6665,ET,Semera,Samara University,education
-0.22245930827684965,https://ror.org/01n8adr31,ET,Addis Ababa,Kotebe Metropolitan University,education
-0.2307439350791275,https://ror.org/04zte5g15,ET,Bale Robe,Madda Walabu University,education
-0.2554291470619934,https://ror.org/04ax47y98,ET,Addis Ababa,St. Paul's Hospital Millennium Medical College,healthcare
-0.27990875762500433,https://ror.org/01wfzer83,ET,Dire Dawa,Dire Dawa University,education
-0.2837498915681674,https://ror.org/03bs4te22,ET,Mīzan Teferī,Mizan Tepi University,education
-0.39121653712779214,https://ror.org/05vhwn119,ET,Addis Ababa,Ethiopian Economic Association,nonprofit
-0.41040797721160316,https://ror.org/02bzfxf13,ET,Debre Tabor,Debre Tabor University,education
-0.47659977776204915,https://ror.org/0058xky36,ET,Hosa’ina,Wachemo University,education
-0.4813113706476641,https://ror.org/05mfff588,ET,Addis Ababa,Armauer Hansen Research Institute,facility
-0.5104571753442109,https://ror.org/038n8fg68,ET,Hagere Maryam,Bule Hora University,education
-0.6638657711081334,https://ror.org/05a7f9k79,ET,Weldiya,Woldia University,education
-0.7549222513851941,https://ror.org/03k2bxj15,ET,Addis Ababa,Ethiopian Environment and Forest Research Institute,facility
-1.055021920193025,https://ror.org/009msm672,ET,Welk’īt’ē,Wolkite University,education
