Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
10,https://ror.org/00316zc91 -> https://ror.org/00316zc91,https://ror.org/00316zc91,https://ror.org/00316zc91,ET,ET,Nek’emtē,Nek’emtē,Wollega University,Wollega University,education,education
1,https://ror.org/00316zc91 -> https://ror.org/02ccba128,https://ror.org/00316zc91,https://ror.org/02ccba128,ET,ET,Nek’emtē,Nazrēt,Wollega University,Adama Science and Technology University,education,education
1,https://ror.org/00316zc91 -> https://ror.org/038b8e254,https://ror.org/00316zc91,https://ror.org/038b8e254,ET,ET,Nek’emtē,Addis Ababa,Wollega University,Addis Ababa University,education,education
1,https://ror.org/00316zc91 -> https://ror.org/04r15fz20,https://ror.org/00316zc91,https://ror.org/04r15fz20,ET,ET,Nek’emtē,Awasa,Wollega University,Hawassa University,education,education
1,https://ror.org/00316zc91 -> https://ror.org/0595gz585,https://ror.org/00316zc91,https://ror.org/0595gz585,ET,ET,Nek’emtē,Gondar,Wollega University,University of Gondar,education,education
2,https://ror.org/00316zc91 -> https://ror.org/059yk7s89,https://ror.org/00316zc91,https://ror.org/059yk7s89,ET,ET,Nek’emtē,Dire Dawa,Wollega University,Haramaya University,education,education
1,https://ror.org/00316zc91 -> https://ror.org/05eer8g02,https://ror.org/00316zc91,https://ror.org/05eer8g02,ET,ET,Nek’emtē,Jimma,Wollega University,Jimma University,education,education
1,https://ror.org/0034mdn74 -> https://ror.org/0595gz585,https://ror.org/0034mdn74,https://ror.org/0595gz585,ET,ET,Ādīgrat,Gondar,Adigrat University,University of Gondar,education,education
1,https://ror.org/003659f07 -> https://ror.org/003659f07,https://ror.org/003659f07,https://ror.org/003659f07,ET,ET,Aksum,Aksum,Aksum University,Aksum University,education,education
4,https://ror.org/003659f07 -> https://ror.org/038b8e254,https://ror.org/003659f07,https://ror.org/038b8e254,ET,ET,Aksum,Addis Ababa,Aksum University,Addis Ababa University,education,education
1,https://ror.org/003659f07 -> https://ror.org/0595gz585,https://ror.org/003659f07,https://ror.org/0595gz585,ET,ET,Aksum,Gondar,Aksum University,University of Gondar,education,education
