OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.7945982624016596,https://ror.org/04eb9e087,FI,Helsinki,Finnish Foundation for Alcohol Studies,other
1.6645543577854183,https://ror.org/019xaj585,FI,Vaasa,Vaasa Central Hospital,healthcare
1.6533457272645609,https://ror.org/05jb57h29,FI,Tampere,Hatanpää Hospital,healthcare
1.6337436370542915,https://ror.org/03ht5e806,FI,Oulu,Northern Ostrobothnia Hospital District,healthcare
1.4300757402006623,https://ror.org/02v92t976,FI,Lahti,Päijät-Hämeen Keskussairaala,healthcare
1.288086436531806,https://ror.org/05p6qqk79,FI,Tampere,University of Tampere,education
1.209595704164396,https://ror.org/0421ba211,FI,Turku,Turku Centre for Biotechnology,facility
1.1472704235566775,https://ror.org/05n3dz165,FI,Jyväskylä,University of Jyväskylä,education
1.102490848218426,https://ror.org/040af2s02,FI,Helsinki,University of Helsinki,education
1.0865647159659142,https://ror.org/05anqtc62,FI,Helsinki,University of the Arts Helsinki,education
1.0667707567953069,https://ror.org/02ba3pt07,FI,Tampere,Tampere University of Technology,education
1.0539958648881416,https://ror.org/03yj89h83,FI,Oulu,University of Oulu,education
1.041163937220002,https://ror.org/029pk6x14,FI,Turku,Åbo Akademi University,education
1.0222689693760636,https://ror.org/0208vgz68,FI,Lappeenranta,Lappeenranta-Lahti University of Technology,education
0.9956070066822675,https://ror.org/05kph4940,FI,Espoo,Helsinki Institute for Information Technology,facility
0.9860838620512781,https://ror.org/05vghhr25,FI,Turku,University of Turku,education
0.977119006455425,https://ror.org/05jzt8766,FI,Rovaniemi,University of Lapland,education
0.9450782549546085,https://ror.org/03769b225,FI,Vaasa,University of Vaasa,education
0.9091446391604856,https://ror.org/01761e930,FI,Turku,Turku PET Centre,facility
0.8710405653371606,https://ror.org/00cyydd11,FI,Kuopio,University of Eastern Finland,education
0.8254546647705473,https://ror.org/020hwjq30,FI,Espoo,Aalto University,education
0.6923754093148349,https://ror.org/026086s92,FI,Helsinki,Hanken School of Economics,education
0.6532665585083183,https://ror.org/033003e23,FI,Tampere,Tampere University,education
0.5692481968873956,https://ror.org/047h64h89,FI,Kemi,Lapland University of Applied Sciences,education
0.5024485221134387,https://ror.org/01jbjy689,FI,Helsinki,Wihuri Research Institute,nonprofit
0.4522716442997271,https://ror.org/01x2x1522,FI,Helsinki,Helsinki Institute of Physics,facility
0.4434640403574545,https://ror.org/01js4x705,FI,Helsinki,National Defence University,education
0.43030528882592156,https://ror.org/020cpqb94,FI,Helsinki,Hospital District of Helsinki and Uusimaa,healthcare
0.4293567523948741,https://ror.org/03vdzkx92,FI,Helsinki,City of Helsinki,government
