Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/008d1xp69 -> https://ror.org/020hwjq30,https://ror.org/008d1xp69,https://ror.org/020hwjq30,FI,FI,Helsinki,Espoo,Ministry of Economic Affairs and Employment,Aalto University,government,education
1,https://ror.org/008wzdf98 -> https://ror.org/008wzdf98,https://ror.org/008wzdf98,https://ror.org/008wzdf98,FI,FI,Pori,Pori,Satakunta University of Applied Sciences,Satakunta University of Applied Sciences,education,education
1,https://ror.org/00bwtjf83 -> https://ror.org/00bwtjf83,https://ror.org/00bwtjf83,https://ror.org/00bwtjf83,FI,FI,Tampere,Tampere,Tampere University of Applied Sciences,Tampere University of Applied Sciences,education,education
1,https://ror.org/00bwtjf83 -> https://ror.org/01dn2ng71,https://ror.org/00bwtjf83,https://ror.org/01dn2ng71,FI,FI,Tampere,Jyväskylä,Tampere University of Applied Sciences,JAMK University of Applied Sciences,education,education
1,https://ror.org/00cyydd11 -> https://ror.org/000rak666,https://ror.org/00cyydd11,https://ror.org/000rak666,FI,FI,Kuopio,Helsinki,University of Eastern Finland,Humak University of Applied Sciences,education,education
1,https://ror.org/00cyydd11 -> https://ror.org/002nhnx25,https://ror.org/00cyydd11,https://ror.org/002nhnx25,FI,FI,Kuopio,Lappeenranta,University of Eastern Finland,Saimaa University of Applied Sciences,education,education
4,https://ror.org/00cyydd11 -> https://ror.org/008d1xp69,https://ror.org/00cyydd11,https://ror.org/008d1xp69,FI,FI,Kuopio,Helsinki,University of Eastern Finland,Ministry of Economic Affairs and Employment,education,government
1,https://ror.org/00cyydd11 -> https://ror.org/008wzdf98,https://ror.org/00cyydd11,https://ror.org/008wzdf98,FI,FI,Kuopio,Pori,University of Eastern Finland,Satakunta University of Applied Sciences,education,education
2,https://ror.org/00cyydd11 -> https://ror.org/00bwtjf83,https://ror.org/00cyydd11,https://ror.org/00bwtjf83,FI,FI,Kuopio,Tampere,University of Eastern Finland,Tampere University of Applied Sciences,education,education
399,https://ror.org/00cyydd11 -> https://ror.org/00cyydd11,https://ror.org/00cyydd11,https://ror.org/00cyydd11,FI,FI,Kuopio,Kuopio,University of Eastern Finland,University of Eastern Finland,education,education
