Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/0002cnv45 -> https://ror.org/0002cnv45,https://ror.org/0002cnv45,https://ror.org/0002cnv45,FR,FR,Roubaix,Roubaix,École Nationale Supérieure des Arts et Industries Textiles,École Nationale Supérieure des Arts et Industries Textiles,education,education
1,https://ror.org/000d5zy28 -> https://ror.org/00adwkx90,https://ror.org/000d5zy28,https://ror.org/00adwkx90,FR,FR,Marseille,Rennes,Institut de Chimie Radicalaire,Institut des Sciences Chimiques de Rennes,facility,facility
2,https://ror.org/000d5zy28 -> https://ror.org/01k40cz91,https://ror.org/000d5zy28,https://ror.org/01k40cz91,FR,FR,Marseille,Caen,Institut de Chimie Radicalaire,Normandie Université,facility,education
1,https://ror.org/000d5zy28 -> https://ror.org/036eg1q44,https://ror.org/000d5zy28,https://ror.org/036eg1q44,FR,FR,Marseille,Montpellier,Institut de Chimie Radicalaire,Institut de Recherche en Infectiologie de Montpellier,facility,facility
1,https://ror.org/000d5zy28 -> https://ror.org/04vhgtv41,https://ror.org/000d5zy28,https://ror.org/04vhgtv41,FR,FR,Marseille,Paris,Institut de Chimie Radicalaire,UniCancer Group,facility,healthcare
1,https://ror.org/000d5zy28 -> https://ror.org/05d1e6v30,https://ror.org/000d5zy28,https://ror.org/05d1e6v30,FR,FR,Marseille,Montpellier,Institut de Chimie Radicalaire,Institut des Biomolécules Max Mousseron,facility,facility
1,https://ror.org/000nhq538 -> https://ror.org/04t0gwh46,https://ror.org/000nhq538,https://ror.org/04t0gwh46,FR,FR,Paris,Paris,Institut Necker Enfants Malades,Institute Curie,facility,nonprofit
2,https://ror.org/000p29f53 -> https://ror.org/032j53342,https://ror.org/000p29f53,https://ror.org/032j53342,FR,FR,Palaiseau,Bordeaux,Laboratory for Optics & Biosciences,Interdisciplinary Institute for NeuroScience,facility,facility
1,https://ror.org/000p29f53 -> https://ror.org/03vdg7e33,https://ror.org/000p29f53,https://ror.org/03vdg7e33,FR,FR,Palaiseau,Talence,Laboratory for Optics & Biosciences,"Laboratoire Photonique, Numérique et Nanosciences",facility,facility
1,https://ror.org/000pvc513 -> https://ror.org/000pvc513,https://ror.org/000pvc513,https://ror.org/000pvc513,FR,FR,Nice,Nice,Institut de Chimie de Nice,Institut de Chimie de Nice,facility,facility
2,https://ror.org/0015ws592 -> https://ror.org/0015ws592,https://ror.org/0015ws592,https://ror.org/0015ws592,FR,FR,Illkirch-Graffenstaden,Illkirch-Graffenstaden,Institute of Genetics and Molecular and Cellular Biology,Institute of Genetics and Molecular and Cellular Biology,facility,facility
1,https://ror.org/0015ws592 -> https://ror.org/00pg6eq24,https://ror.org/0015ws592,https://ror.org/00pg6eq24,FR,FR,Illkirch-Graffenstaden,Strasbourg,Institute of Genetics and Molecular and Cellular Biology,University of Strasbourg,facility,education
1,https://ror.org/0019x5d05 -> https://ror.org/02n6c9837,https://ror.org/0019x5d05,https://ror.org/02n6c9837,FR,FR,Lyon,Paris,Institut de Biologie et de Chimie des Protéines,Sanofi (France),facility,company
