Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
11,https://ror.org/0003e4m70 -> https://ror.org/0003e4m70,https://ror.org/0003e4m70,https://ror.org/0003e4m70,GB,GB,Heslington,Heslington,Hull York Medical School,Hull York Medical School,education,education
1,https://ror.org/0003e4m70 -> https://ror.org/00v4dac24,https://ror.org/0003e4m70,https://ror.org/00v4dac24,GB,GB,Heslington,Leeds,Hull York Medical School,Leeds Teaching Hospitals NHS Trust,education,healthcare
2,https://ror.org/0003e4m70 -> https://ror.org/00vs8d940,https://ror.org/0003e4m70,https://ror.org/00vs8d940,GB,GB,Heslington,Bradford,Hull York Medical School,University of Bradford,education,education
1,https://ror.org/0003e4m70 -> https://ror.org/00z5fkj61,https://ror.org/0003e4m70,https://ror.org/00z5fkj61,GB,GB,Heslington,York,Hull York Medical School,York St John University,education,education
1,https://ror.org/0003e4m70 -> https://ror.org/013meh722,https://ror.org/0003e4m70,https://ror.org/013meh722,GB,GB,Heslington,Cambridge,Hull York Medical School,University of Cambridge,education,education
1,https://ror.org/0003e4m70 -> https://ror.org/01b11x021,https://ror.org/0003e4m70,https://ror.org/01b11x021,GB,GB,Heslington,Kingston upon Hull,Hull York Medical School,Hull and East Yorkshire Hospitals NHS Trust,education,healthcare
1,https://ror.org/0003e4m70 -> https://ror.org/01kj2bm70,https://ror.org/0003e4m70,https://ror.org/01kj2bm70,GB,GB,Heslington,Newcastle upon Tyne,Hull York Medical School,Newcastle University,education,education
2,https://ror.org/0003e4m70 -> https://ror.org/01ryk1543,https://ror.org/0003e4m70,https://ror.org/01ryk1543,GB,GB,Heslington,Southampton,Hull York Medical School,University of Southampton,education,education
1,https://ror.org/0003e4m70 -> https://ror.org/02qrg5a24,https://ror.org/0003e4m70,https://ror.org/02qrg5a24,GB,GB,Heslington,London,Hull York Medical School,Royal College of Surgeons of England,education,nonprofit
1,https://ror.org/0003e4m70 -> https://ror.org/03angcq70,https://ror.org/0003e4m70,https://ror.org/03angcq70,GB,GB,Heslington,Birmingham,Hull York Medical School,University of Birmingham,education,education
1,https://ror.org/0003e4m70 -> https://ror.org/03ykbk197,https://ror.org/0003e4m70,https://ror.org/03ykbk197,GB,GB,Heslington,Portsmouth,Hull York Medical School,University of Portsmouth,education,education
1,https://ror.org/0003e4m70 -> https://ror.org/041kmwe10,https://ror.org/0003e4m70,https://ror.org/041kmwe10,GB,GB,Heslington,London,Hull York Medical School,Imperial College London,education,education
1,https://ror.org/0003e4m70 -> https://ror.org/04cw6st05,https://ror.org/0003e4m70,https://ror.org/04cw6st05,GB,GB,Heslington,London,Hull York Medical School,University of London,education,education
3,https://ror.org/0003e4m70 -> https://ror.org/04m01e293,https://ror.org/0003e4m70,https://ror.org/04m01e293,GB,GB,Heslington,York,Hull York Medical School,University of York,education,education
2,https://ror.org/0003e4m70 -> https://ror.org/04nkhwh30,https://ror.org/0003e4m70,https://ror.org/04nkhwh30,GB,GB,Heslington,Hull,Hull York Medical School,University of Hull,education,education
1,https://ror.org/0003e4m70 -> https://ror.org/05gekvn04,https://ror.org/0003e4m70,https://ror.org/05gekvn04,GB,GB,Heslington,Bradford,Hull York Medical School,Bradford Teaching Hospitals NHS Foundation Trust,education,healthcare
1,https://ror.org/0003e4m70 -> https://ror.org/05t1h8f27,https://ror.org/0003e4m70,https://ror.org/05t1h8f27,GB,GB,Heslington,Huddersfield,Hull York Medical School,University of Huddersfield,education,education
1,https://ror.org/0003e4m70 -> https://ror.org/05v62cm79,https://ror.org/0003e4m70,https://ror.org/05v62cm79,GB,GB,Heslington,Reading,Hull York Medical School,University of Reading,education,education
37,https://ror.org/0009t4v78 -> https://ror.org/0009t4v78,https://ror.org/0009t4v78,https://ror.org/0009t4v78,GB,GB,Cambridge,Cambridge,Anglia Ruskin University,Anglia Ruskin University,education,education
3,https://ror.org/0009t4v78 -> https://ror.org/0038jbq24,https://ror.org/0009t4v78,https://ror.org/0038jbq24,GB,GB,Cambridge,Bath,Anglia Ruskin University,Bath Spa University,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/00bmj0a71,https://ror.org/0009t4v78,https://ror.org/00bmj0a71,GB,GB,Cambridge,London,Anglia Ruskin University,University of Greenwich,education,education
2,https://ror.org/0009t4v78 -> https://ror.org/00t67pt25,https://ror.org/0009t4v78,https://ror.org/00t67pt25,GB,GB,Cambridge,Birmingham,Anglia Ruskin University,Birmingham City University,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/010jbqd54,https://ror.org/0009t4v78,https://ror.org/010jbqd54,GB,GB,Cambridge,Preston,Anglia Ruskin University,University of Central Lancashire,education,education
2,https://ror.org/0009t4v78 -> https://ror.org/013meh722,https://ror.org/0009t4v78,https://ror.org/013meh722,GB,GB,Cambridge,Cambridge,Anglia Ruskin University,University of Cambridge,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/015m2p889,https://ror.org/0009t4v78,https://ror.org/015m2p889,GB,GB,Cambridge,Aberystwyth,Anglia Ruskin University,Aberystwyth University,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/019wt1929,https://ror.org/0009t4v78,https://ror.org/019wt1929,GB,GB,Cambridge,Sheffield,Anglia Ruskin University,Sheffield Hallam University,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/01cy0sz82,https://ror.org/0009t4v78,https://ror.org/01cy0sz82,GB,GB,Cambridge,Ipswich,Anglia Ruskin University,University of Suffolk,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/01ee9ar58,https://ror.org/0009t4v78,https://ror.org/01ee9ar58,GB,GB,Cambridge,Nottingham,Anglia Ruskin University,University of Nottingham,education,education
2,https://ror.org/0009t4v78 -> https://ror.org/01tgmhj36,https://ror.org/0009t4v78,https://ror.org/01tgmhj36,GB,GB,Cambridge,Coventry,Anglia Ruskin University,Coventry University,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/01v29qb04,https://ror.org/0009t4v78,https://ror.org/01v29qb04,GB,GB,Cambridge,Durham,Anglia Ruskin University,Durham University,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/024ew1n76,https://ror.org/0009t4v78,https://ror.org/024ew1n76,GB,GB,Cambridge,London,Anglia Ruskin University,"Richmond, The American International University in London",education,education
1,https://ror.org/0009t4v78 -> https://ror.org/026k5mg93,https://ror.org/0009t4v78,https://ror.org/026k5mg93,GB,GB,Cambridge,Norwich,Anglia Ruskin University,University of East Anglia,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/027m9bs27,https://ror.org/0009t4v78,https://ror.org/027m9bs27,GB,GB,Cambridge,Manchester,Anglia Ruskin University,University of Manchester,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/02f9n2c91,https://ror.org/0009t4v78,https://ror.org/02f9n2c91,GB,GB,Cambridge,Chelmsford,Anglia Ruskin University,Writtle University College,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/02nkf1q06,https://ror.org/0009t4v78,https://ror.org/02nkf1q06,GB,GB,Cambridge,Colchester,Anglia Ruskin University,University of Essex,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/02vwnat91,https://ror.org/0009t4v78,https://ror.org/02vwnat91,GB,GB,Cambridge,London,Anglia Ruskin University,London South Bank University,education,education
2,https://ror.org/0009t4v78 -> https://ror.org/02xsh5r57,https://ror.org/0009t4v78,https://ror.org/02xsh5r57,GB,GB,Cambridge,Leeds,Anglia Ruskin University,Leeds Beckett University,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/03yeq9x20,https://ror.org/0009t4v78,https://ror.org/03yeq9x20,GB,GB,Cambridge,Lincoln,Anglia Ruskin University,University of Lincoln,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/040ch0e11,https://ror.org/0009t4v78,https://ror.org/040ch0e11,GB,GB,Cambridge,Cambridge,Anglia Ruskin University,Cambridgeshire and Peterborough NHS Foundation Trust,education,healthcare
1,https://ror.org/0009t4v78 -> https://ror.org/0497xq319,https://ror.org/0009t4v78,https://ror.org/0497xq319,GB,GB,Cambridge,London,Anglia Ruskin University,Anna Freud Centre,education,nonprofit
8,https://ror.org/0009t4v78 -> https://ror.org/04cw6st05,https://ror.org/0009t4v78,https://ror.org/04cw6st05,GB,GB,Cambridge,London,Anglia Ruskin University,University of London,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/04h699437,https://ror.org/0009t4v78,https://ror.org/04h699437,GB,GB,Cambridge,Leicester,Anglia Ruskin University,University of Leicester,education,education
3,https://ror.org/0009t4v78 -> https://ror.org/04jp2hx10,https://ror.org/0009t4v78,https://ror.org/04jp2hx10,GB,GB,Cambridge,Northampton,Anglia Ruskin University,University of Northampton,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/04m01e293,https://ror.org/0009t4v78,https://ror.org/04m01e293,GB,GB,Cambridge,York,Anglia Ruskin University,University of York,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/04p55hr04,https://ror.org/0009t4v78,https://ror.org/04p55hr04,GB,GB,Cambridge,Sunderland,Anglia Ruskin University,University of Sunderland,education,education
3,https://ror.org/0009t4v78 -> https://ror.org/04xyxjd90,https://ror.org/0009t4v78,https://ror.org/04xyxjd90,GB,GB,Cambridge,Nottingham,Anglia Ruskin University,Nottingham Trent University,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/052gg0110,https://ror.org/0009t4v78,https://ror.org/052gg0110,GB,GB,Cambridge,Oxford,Anglia Ruskin University,University of Oxford,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/05gd22996,https://ror.org/0009t4v78,https://ror.org/05gd22996,GB,GB,Cambridge,Carlisle,Anglia Ruskin University,University of Cumbria,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/05gkzcc88,https://ror.org/0009t4v78,https://ror.org/05gkzcc88,GB,GB,Cambridge,Swansea,Anglia Ruskin University,University of Wales Trinity Saint David,education,education
3,https://ror.org/0009t4v78 -> https://ror.org/05mzfcs16,https://ror.org/0009t4v78,https://ror.org/05mzfcs16,GB,GB,Cambridge,Milton Keynes,Anglia Ruskin University,The Open University,education,education
1,https://ror.org/0009t4v78 -> https://ror.org/05v62cm79,https://ror.org/0009t4v78,https://ror.org/05v62cm79,GB,GB,Cambridge,Reading,Anglia Ruskin University,University of Reading,education,education
