OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.0188756848141547,https://ror.org/02gkgrd84,GE,Tbilisi,Abastumani Astrophysical Observatory,facility
1.0057933703029602,https://ror.org/05aav2h42,GE,Tbilisi,Georgian National Academy of Sciences,education
0.992505277232323,https://ror.org/00ebk5277,GE,Tbilisi,Tbilisi Humanitarian Teaching University,education
0.6551790981120494,https://ror.org/01pnsd879,GE,Tbilisi,Sulkhan-Saba Orbeliani University,education
0.48349264579277057,https://ror.org/039avsx35,GE,Tbilisi,Georgian Institute of Public Affairs,education
0.4697536097130088,https://ror.org/020jbrt22,GE,Tbilisi,Tbilisi State Medical University,education
0.2818010779266128,https://ror.org/00n6web48,GE,Kutaisi,Georgian State University of Subtropical Agriculture,education
0.200610849080339,https://ror.org/05fd1hd85,GE,Tbilisi,Tbilisi State University,education
0.10476443154807588,https://ror.org/009erme80,GE,Tbilisi,Tbilisi State Academy of Arts,education
0.10476197634865088,https://ror.org/00ggmmz77,GE,Telavi,Iakob Gogebashvili Telavi State University,education
0.09044939779925687,https://ror.org/0094xtm76,GE,Tbilisi,"Ministry of Labour, Health and Social Affairs",government
0.018877586430784143,https://ror.org/04cymw545,GE,Tbilisi,Shota Rustaveli Theatre and Film Georgia State University,education
0.018871697095077977,https://ror.org/051qn8h41,GE,Tbilisi,Ilia State University,education
0.008906321161477333,https://ror.org/00aamz256,GE,Tbilisi,Georgian Technical University,education
1.7745354020014035e-06,https://ror.org/003ag3w45,GE,Tbilisi,Saint Andrew First-Called Georgian University of the Patriarchate of Georgia,education
0.0,https://ror.org/05xkw0e31,GE,Tbilisi,V. Sarajishvili Tbilisi State Conservation,education
-0.007507444805274835,https://ror.org/01mdqeh78,GE,Tbilisi,Agricultural University of Georgia,education
-0.28650570750786997,https://ror.org/02bjhwk41,GE,Tbilisi,University of Georgia,education
-0.37804225716865386,https://ror.org/00atp1s12,GE,Tbilisi,Caucasus International University,education
-0.47208282885963687,https://ror.org/05rr3y439,GE,Tbilisi,Free University of Tbilisi,education
-0.5302340969357259,https://ror.org/01yxrjg25,GE,Tbilisi,National Center for Disease Control and Public Health,healthcare
-0.5419180045994023,https://ror.org/053fxhf38,GE,Tbilisi,International Black Sea University,education
-0.5517560717528525,https://ror.org/03hd23385,GE,Sokhumi,Sokhumi State University,education
-0.5992086698022472,https://ror.org/04w893s72,GE,Tbilisi,David Tvildiani Medical University,education
-0.6071043263174956,https://ror.org/04qb0r423,GE,Tbilisi,Georgian American University,education
-0.6199566504569596,https://ror.org/02j33yq05,GE,Tbilisi,AIDS and Clinical Immunology Research Center,government
-0.6742493732878991,https://ror.org/00d9pfn36,GE,Tbilisi,"George Eliava Institute of Bacteriophage, Microbiology and Virology",facility
-0.6997212886271471,https://ror.org/02hph8r17,GE,Tbilisi,Grigol Robakidze University,education
-0.7102692179648721,https://ror.org/050d9qs96,GE,Tbilisi,Business and Technology University,education
-0.7182099515736339,https://ror.org/05986n320,GE,Kutaisi,Akaki Tsereteli State University,education
-0.7405638102891213,https://ror.org/02tc4et63,GE,Tbilisi,Caucasus University,education
-0.7695170329233083,https://ror.org/0212gyx73,GE,Batumi,Batumi Shota Rustaveli State University,education
-0.777534872163846,https://ror.org/032pgwm02,GE,Tbilisi,Petre Shotadze Tbilisi Medical Academy,education
-0.7993768672541071,https://ror.org/0083yee78,GE,Zugdidi,Shota Meskhia State Teaching University of Zugdidi,education
-0.7993768672541071,https://ror.org/00vk9xr10,GE,Tbilisi,Caucasus Research Resource Centers,nonprofit
-0.7993768672541071,https://ror.org/00xc87681,GE,Tbilisi,Shota Rustaveli National Science Foundation,other
-0.7993768672541071,https://ror.org/04m6gem67,GE,Tbilisi,Ministry of Education and Science of Georgia,government
-0.799385206189061,https://ror.org/00ae67970,GE,Tbilisi,National Environmental Agency,government
-1.1107539219312823,https://ror.org/03xpxn276,GE,Tbilisi,David Agmashenebeli University of Georgia,education
-1.1866627307544473,https://ror.org/03bqf3w07,GE,Batumi,Batumi State Maritime Academy,education
-1.3536082996433958,https://ror.org/000nnmz85,GE,Tbilisi,Ministry of Environment Protection and Agriculture of Georgia,government
-1.3538008643996136,https://ror.org/02ztfnz06,GE,Gori,Gori State Teaching University,education
-1.5991970576475207,https://ror.org/00hcdm003,GE,Tbilisi,Curatio International Foundation,nonprofit
-1.7181995125448837,https://ror.org/04q6x6x06,GE,Kutaisi,Kutaisi University,education
-1.7181995125448837,https://ror.org/00pwhet45,GE,Tbilisi,Georgian National University SEU,education
-1.7438578189876794,https://ror.org/03xj6g968,GE,Batumi,Batumi Navigation Teaching University,education
